symbol,timeframe_min,arm,feature,feature_role,early_closed_n,q1_tercile,q2_tercile,q90_top10,threshold_status
BTC_USDT_SWAP,1,joint,pre12_opp,primary,751,0.00317734206257,0.0416745997876,0.119469630181,ready
BTC_USDT_SWAP,1,joint,pre12_trend,single_feature,751,-0.00856010329508,0.0189216140802,0.0481492537063,ready
BTC_USDT_SWAP,1,joint,pre12_inward,single_feature,751,0.00455766084578,0.0389436017762,0.106063745684,ready
BTC_USDT_SWAP,1,joint,now12_opp,lag_diagnostic,751,0.00302697637466,0.0386757835007,0.115606268438,ready
BTC_USDT_SWAP,1,joint,pre3_opp,lag_diagnostic,751,0.00220724966402,0.0318702476973,0.105752766458,ready
BTC_USDT_SWAP,1,joint,pre24_opp,lag_diagnostic,751,0.00769401505193,0.0483305760838,0.138201171972,ready
BTC_USDT_SWAP,1,joint,episode12_opp,lag_diagnostic,721,0.00484443113594,0.0433761905422,0.123264843154,ready
BTC_USDT_SWAP,1,v9_both,pre12_opp,primary,1939,0.00305007223707,0.0390393163192,0.117850951268,ready
BTC_USDT_SWAP,1,v9_both,pre12_trend,single_feature,1939,-0.0135084433795,0.0138641924533,0.0434229207477,ready
BTC_USDT_SWAP,1,v9_both,pre12_inward,single_feature,1939,0.00566334102775,0.0392668529787,0.106577427437,ready
BTC_USDT_SWAP,1,v9_both,now12_opp,lag_diagnostic,1939,0.00293109271119,0.0367612415893,0.113730911675,ready
BTC_USDT_SWAP,1,v9_both,pre3_opp,lag_diagnostic,1939,0.00356281581794,0.0344779743304,0.106210352089,ready
BTC_USDT_SWAP,1,v9_both,pre24_opp,lag_diagnostic,1939,0.00590690809841,0.043175993459,0.131315435504,ready
BTC_USDT_SWAP,1,v9_both,episode12_opp,lag_diagnostic,1939,0.00354714247789,0.0390456240517,0.117850951268,ready
BTC_USDT_SWAP,3,joint,pre12_opp,primary,336,0.00581918152681,0.0350952263075,0.102470475159,ready
BTC_USDT_SWAP,3,joint,pre12_trend,single_feature,336,-0.00414298274742,0.0168401207107,0.0371524244952,ready
BTC_USDT_SWAP,3,joint,pre12_inward,single_feature,336,0.00337259024625,0.0318883470807,0.0811867676622,ready
BTC_USDT_SWAP,3,joint,now12_opp,lag_diagnostic,336,0.00463080351274,0.0335197869515,0.097689118765,ready
BTC_USDT_SWAP,3,joint,pre3_opp,lag_diagnostic,336,0.00117216408395,0.0283736871109,0.092740732684,ready
BTC_USDT_SWAP,3,joint,pre24_opp,lag_diagnostic,336,0.00873056540881,0.036256701532,0.107138557911,ready
BTC_USDT_SWAP,3,joint,episode12_opp,lag_diagnostic,328,0.00654047427245,0.0357482998563,0.102151997398,ready
BTC_USDT_SWAP,3,v9_both,pre12_opp,primary,752,0.00338710239322,0.0348195920823,0.108806034414,ready
BTC_USDT_SWAP,3,v9_both,pre12_trend,single_feature,752,-0.00966233369437,0.01117040213,0.0351725977718,ready
BTC_USDT_SWAP,3,v9_both,pre12_inward,single_feature,752,0.00393980442682,0.0343010657186,0.0908794290713,ready
BTC_USDT_SWAP,3,v9_both,now12_opp,lag_diagnostic,752,0.00244564452468,0.0335861037071,0.102625014124,ready
BTC_USDT_SWAP,3,v9_both,pre3_opp,lag_diagnostic,752,0.00138973963288,0.0291576527734,0.0974617654841,ready
BTC_USDT_SWAP,3,v9_both,pre24_opp,lag_diagnostic,752,0.00627478482146,0.0390702613354,0.110934538544,ready
BTC_USDT_SWAP,3,v9_both,episode12_opp,lag_diagnostic,752,0.00360609501288,0.0356394751939,0.108806034414,ready
BTC_USDT_SWAP,5,joint,pre12_opp,primary,161,0.00409758329328,0.0411606668955,0.152650972978,ready
BTC_USDT_SWAP,5,joint,pre12_trend,single_feature,161,-0.00156968043645,0.0216214417829,0.0515974283619,ready
