symbol,timeframe_min,arm,feature,feature_role,cohort,bucket,early_closed_n,q1_tercile,q2_tercile,q90_top10,n_rows,n_closed,n_censored,net_win_rate,mean_gross_bp,mean_net_bp,mean_net_r,net_r_ge_3_count,mfe_known_r_ge_3_count,net_r_ge_5_count,mfe_known_r_ge_5_count,net_r_ge_10_count,mfe_known_r_ge_10_count,matched_control_n,matched_target_net_bp,control_net_bp,paired_excess_bp
BTC_USDT_SWAP,1,joint,pre12_opp,primary,all,baseline,751,0.00317734206257,0.0416745997876,0.119469630181,1239,1239,0,0.179176755448,2.09231877964,-17.9076812204,-1.50974693135,45,240,23,98,7,25,1239,-17.9076812204,-18.264261008,0.356579787615
BTC_USDT_SWAP,1,joint,pre12_opp,primary,all,low,751,0.00317734206257,0.0416745997876,0.119469630181,402,402,0,0.199004975124,6.54056099284,-13.4594390072,-1.28326495587,16,88,8,31,5,8,402,-13.4594390072,-18.6533634533,5.19392444615
BTC_USDT_SWAP,1,joint,pre12_opp,primary,all,middle,751,0.00317734206257,0.0416745997876,0.119469630181,441,441,0,0.167800453515,0.523314596802,-19.4766854032,-1.611663995,16,75,9,36,2,8,441,-19.4766854032,-17.2600231175,-2.21666228568
BTC_USDT_SWAP,1,joint,pre12_opp,primary,all,high,751,0.00317734206257,0.0416745997876,0.119469630181,396,396,0,0.171717171717,-0.676020930134,-20.6760209301,-1.62616190377,13,77,6,31,0,9,396,-20.6760209301,-18.9876189036,-1.68840202655
BTC_USDT_SWAP,1,joint,pre12_opp,primary,all,top10,751,0.00317734206257,0.0416745997876,0.119469630181,130,130,0,0.169230769231,-0.315825592663,-20.3158255927,-1.6733275415,4,28,1,12,0,4,130,-20.3158255927,-20.7763600912,0.460534498552
BTC_USDT_SWAP,1,joint,pre12_opp,primary,earlier,baseline,751,0.00317734206257,0.0416745997876,0.119469630181,751,751,0,0.202396804261,4.14708456818,-15.8529154318,-1.31133757988,31,153,16,62,4,16,751,-15.8529154318,-17.2893748227,1.43645939089
BTC_USDT_SWAP,1,joint,pre12_opp,primary,earlier,low,751,0.00317734206257,0.0416745997876,0.119469630181,250,250,0,0.212,8.36315081823,-11.6368491818,-1.10864502503,11,54,6,16,3,5,250,-11.6368491818,-16.9528921943,5.31604301257
BTC_USDT_SWAP,1,joint,pre12_opp,primary,earlier,middle,751,0.00317734206257,0.0416745997876,0.119469630181,250,250,0,0.18,2.08299916534,-17.9170008347,-1.5029378908,9,46,5,21,1,4,250,-17.9170008347,-17.6606347284,-0.256366106302
BTC_USDT_SWAP,1,joint,pre12_opp,primary,earlier,high,751,0.00317734206257,0.0416745997876,0.119469630181,251,251,0,0.215139442231,2.00367734985,-17.9963226502,-1.32238563161,11,53,5,25,0,7,251,-17.9963226502,-17.2547361003,-0.741586549838
BTC_USDT_SWAP,1,joint,pre12_opp,primary,earlier,top10,751,0.00317734206257,0.0416745997876,0.119469630181,76,76,0,0.223684210526,2.91005539193,-17.0899446081,-1.38572459647,4,17,1,9,0,4,76,-17.0899446081,-20.6536667686,3.56372216057
BTC_USDT_SWAP,1,joint,pre12_opp,primary,later,baseline,751,0.00317734206257,0.0416745997876,0.119469630181,488,488,0,0.143442622951,-1.06983103018,-21.0698310302,-1.81508591282,14,87,7,36,3,9,488,-21.0698310302,-19.7645469201,-1.30528411005
BTC_USDT_SWAP,1,joint,pre12_opp,primary,later,low,751,0.00317734206257,0.0416745997876,0.119469630181,152,152,0,0.177631578947,3.54288035897,-16.457119641,-1.57046878948,5,34,2,15,2,3,152,-16.457119641,-21.4501911819,4.99307154083
BTC_USDT_SWAP,1,joint,pre12_opp,primary,later,middle,751,0.00317734206257,0.0416745997876,0.119469630181,191,191,0,0.151832460733,-1.51815735154,-21.5181573515,-1.75397564972,7,29,4,15,1,4,191,-21.5181573515,-16.7356623704,-4.78249498119
BTC_USDT_SWAP,1,joint,pre12_opp,primary,later,high,751,0.00317734206257,0.0416745997876,0.119469630181,145,145,0,0.0965517241379,-5.31467105617,-25.3146710562,-2.15200910592,2,24,1,6,0,2,145,-25.3146710562,-21.9872987906,-3.32737226554
