comparison,left,right,shared,only_left,only_right,diff_signal_i,diff_entry_i,diff_entry_time,diff_entry_price,diff_initial_stop,diff_initial_risk,diff_exit_i,diff_exit_time,diff_exit_price,diff_exit_reason,diff_mfe_r,diff_net_r,diff_status,diff_matched,diff_control_net_r,diff_control_net_return,passed
published_baseline,570,570,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
shared_entries,570,450,450,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
