timeframe,period,net_r_delta,net_r_low,net_r_high,net_r_blocks,net_bp_delta,net_bp_low,net_bp_high,net_bp_blocks
15m,full,0.05334458958864601,-0.02828327372341532,0.13464787727911312,20,7.332112450880317,-18.336609083029664,33.39296084592848,20
15m,earlier,0.0012940659290356232,-0.10660144582831255,0.11354484333287528,13,-8.65969654137821,-46.526316352752204,26.53484475976055,13
15m,later,0.12476279777533342,0.049049475555250445,0.18845604640376373,8,28.755604133842454,7.494142562642314,54.37765940230737,8
15m,cross_split,,,,0,,,,0
1h,full,0.10187988998987264,-0.06273803775934012,0.26372956444877205,20,49.891101997006416,-25.40126845566842,132.09294652419368,20
1h,earlier,0.1176416656547497,-0.07458144171344398,0.3575557778776731,13,64.10060316221835,-37.2899697500857,193.4174444691575,13
1h,later,0.046875701603471265,-0.2875197267528968,0.2663927343525008,8,18.746408164590235,-106.55203260024774,89.41787557195757,8
1h,cross_split,0.2474257604051635,,,1,21.802231855166497,,,1
4h,full,0.5341005090619289,-0.07828430977066698,1.4367164002385837,11,244.62165667074635,-84.62210383741133,699.843150102655,11
4h,earlier,0.7395809293241582,0.06507860207387647,1.9086351360610916,7,382.12401169081704,37.595251910240904,1000.6907977221844,7
4h,later,-0.26580561856491075,-0.5706720241885964,0.006486954224871555,4,-268.2640167228016,-470.3202052360415,-52.27078095789284,4
4h,cross_split,,,,0,,,,0
