timeframe,period,arm,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip
15m,full,box_any,409,29,129,280,31.54034229828851,-0.019492293216677732,-1.072218444538886,-7.972347925621193,0.1061211249579715,38.39999386824233,-139.480046164124,15705.597492111114,58.39999386824235,2.192194752820206,1.0384481108550991,2.1110296507882964,32.1436987830255,0.972581517684608,551.3669527629689,197.93121219397096,2.785649350859499,1.2833884509316975,14.343520782396087,9.75,1.83908045977009,6.0,220,143,188,92,25,3,0,409,100.0,-0.019492293216677732,-0.13676368043358542,0.1172713872169077,38.39999386824233,-43.0025889569918,81.40258282523412,20,-0.09298937195537627,0.34682911605830913,0.16391804097951024
15m,full,extension_le1,331,29,108,223,32.62839879154079,0.03385229637196828,-1.0700371057513915,11.205110099121502,0.1621680331464052,45.73210631912265,-135.57512383048902,15137.327191629596,65.73210631912266,2.2343223413786544,1.031846200761315,2.1653637332095914,31.59194595895707,1.0486963371598021,546.2874801906905,196.68933035410305,2.7774128835926186,1.3451147597668287,14.068731117824774,9.75,1.80856051979368,3.0,185,121,146,77,21,2,0,331,100.0,0.03385229637196828,-0.15474373110561734,0.18859602747758566,45.73210631912265,-41.248722127762576,86.98082844688524,20,-0.07296243030533862,0.4639012583792844,0.08395802098950525
15m,earlier,box_any,249,27,81,168,32.53012048192771,-0.078769715875584,-1.0700371057513915,-19.613659253020415,0.0462391423829764,14.16263863894648,-137.306397306398,3526.4970210976735,34.16263863894649,1.8843858039808457,1.0252911272349339,1.8379031612833414,35.23728412028638,0.8861318813330397,451.8903325873601,196.88464237189586,2.2952035625703266,1.1066160033821217,14.1285140562249,9.25,1.81842672413792,5.0,135,86,113,55,13,2,0,249,100.0,-0.078769715875584,-0.17942117418920897,0.10065145831362497,14.16263863894648,-52.39351021538311,66.55614885432956,13,-0.18107179277227345,0.3874811070079104,0.27386306846576713
15m,earlier,extension_le1,197,26,65,132,32.99492385786802,-0.07747564994654838,-1.062368421052632,-15.26270303947003,0.05015341020896652,5.502942097568269,-137.306397306398,1084.079593220949,25.50294209756829,1.8444427486644699,1.0238748613837922,1.8014337671809422,35.69600722726674,0.8870696580815245,414.1137804980762,195.7069404481364,2.115989241617208,1.0419643992812009,13.444162436548224,9.0,1.79719703215168,3.0,109,70,88,44,11,1,0,197,100.0,-0.07747564994654838,-0.15677003793667035,0.07929438799012194,5.502942097568269,-42.13915234035295,47.642094437921216,13,-0.28531382694321034,0.4221781922968619,0.3373313343328336
15m,later,box_any,160,29,48,112,30.0,0.07275819579624512,-1.0785144139228073,11.641311327399219,0.19931246034030758,76.119377943834,-142.38536411708,12179.10047101344,96.11937794383402,2.711622353986628,1.0581835862853477,2.5625254342731956,28.069975034550566,1.0982251861170838,719.2337493093087,199.50106692708368,3.6051624203703323,1.5450696087301425,14.678125,10.25,1.8857980529251201,6.0,85,57,75,37,12,1,0,160,100.0,0.07275819579624512,-0.07037795577639634,0.14313615157264148,76.119377943834,-28.387967748620323,104.50734569245432,8,-0.1709559950152463,0.5919524947340047,0.23438280859570215
15m,later,extension_le1,134,29,43,91,32.08955223880597,0.19752099357157854,-1.0714877632872315,26.467813138591524,0.3268462474648784,104.87498207767645,-134.58829878966802,14053.247598408645,124.87498207767648,2.8236752140861427,1.0434090227155233,2.706201645388679,26.981802278465274,1.2787546236451999,746.0849332144102,198.1143354924285,3.7659310789396354,1.7795058944440036,14.986940298507463,11.625,1.8349527517031352,4.5,76,51,58,33,10,1,0,134,100.0,0.19752099357157854,-0.15176475763011407,0.3492857512016927,104.87498207767645,-39.93965681522302,144.8146388928995,8,0.007211967422536244,0.8588218371484974,0.06846576711644178
1h,full,box_any,122,29,40,82,32.78688524590164,-0.012058007529321154,-1.0405004240673594,-1.4710769185771808,0.05409583732376946,-23.33702121749844,-265.082768022534,-2847.1165885348096,-3.3370212174984473,2.0638299221064,1.0246862658882092,2.0141090895928517,33.17729950295465,0.9824922388257813,734.7536628790679,393.13735492314055,1.8689489911807395,0.9116824347223119,48.85245901639344,41.0,3.46663250683296,8.0,69,46,53,29,6,1,0,122,100.0,-0.012058007529321154,-0.21049206944842494,0.19843406191910382,-23.33702121749844,-69.29362968590773,45.956608468409286,20,-0.13547508872027572,0.6020995861627729,0.16441779110444776
1h,full,extension_le1,90,26,32,58,35.55555555555556,0.08982188246055149,-1.0387704187704179,8.083969421449634,0.16011566219456647,26.55408077950798,-243.5784431597295,2389.8672701557184,46.55408077950797,2.1081110262644707,1.0237169555002317,2.059271378614959,32.68752183903135,1.1361497261323912,748.8636551461435,371.9615464572564,2.01328245427165,1.1107765264947034,48.67777777777778,38.5,3.3521257674589,3.0,50,36,40,18,4,1,0,90,100.0,0.08982188246055149,-0.16940562643824775,0.2592275088987992,26.55408077950798,-63.633518677518545,90.18759945702654,20,-0.09179297900015299,0.6338953423721816,0.10844577711144428
1h,earlier,box_any,67,23,26,41,38.80597014925373,0.17964807434958424,-1.0383516483516475,12.036420981422145,0.24711330721130828,64.20978682635614,-205.97309909415202,4302.055717365861,84.20978682635612,2.099868300364397,1.0380525567817607,2.0228920844572147,33.08090305776027,1.2828096145338437,795.1454661777092,399.3104000793799,1.9912966604917883,1.2627734920191829,46.1044776119403,39.0,3.5557016102530397,8.0,38,29,29,12,3,1,0,65,97.01492537313433,0.21736387182921502,-0.19838666366954674,0.41575053549876173,80.27288216365397,-48.32716632738104,128.60004849103507,13,-0.09844016991810034,0.9362159273665528,0.0944527736131934
1h,earlier,extension_le1,52,21,21,31,40.38461538461539,0.29728974000433395,-1.0342894605394601,15.459066480225365,0.37002996744808425,128.31038998857449,-194.550877111175,6672.140279405873,148.31038998857449,2.2941854616312423,1.055446071420346,2.173664314789563,31.50931859238892,1.4724822777606716,858.1010513938371,366.06392902789366,2.3441289440141775,1.5879583169128297,45.71153846153846,36.0,3.3521257674589,2.0,28,23,24,7,2,1,0,50,96.15384615384616,0.35102594335404386,-0.09207680509635834,0.4431027484504023,151.75643805355045,1.2887058234674382,150.467732230083,13,-0.13111260745552555,0.9548439370804577,0.09545227386306847
