timeframe,period,removed,direct_reject,removed_occupancy,removed_losses,removed_wins,saved_loss_r,lost_profit_r,added,added_r,delta_total_r,delta_total_bp
15m,full,78,78,0,57,21,60.663768269654625,41.48631024491195,0,0.0,19.177458024742695,-568.2703004815176
15m,earlier,52,52,0,36,16,37.0974276728083,32.74647145925793,0,0.0,4.350956213550386,-2442.4174278767246
15m,later,26,26,0,21,5,23.566340596846313,8.739838785654008,0,0.0,14.826501811192305,1874.1471273952047
15m,cross_split,0,0,0,0,0,-0.0,0.0,0,0.0,0.0,0.0
1h,full,32,32,0,24,8,24.648690383819737,15.093644043792922,0,0.0,9.555046340026815,5236.983858690528
1h,earlier,15,15,0,10,5,9.841326614021467,6.418681115218247,0,0.0,3.42264549880322,2370.0845620400123
1h,later,16,16,0,14,2,14.807363769798272,6.490135664335631,0,0.0,8.31722810546264,3490.4702493487184
1h,cross_split,1,1,0,0,1,-0.0,2.184827264239045,0,0.0,-2.1848272642390443,-623.5709526982021
4h,full,10,10,0,7,3,5.452677593719887,5.506078397079564,0,0.0,-0.05340080335967201,-343.41225911809306
4h,earlier,5,5,0,4,1,2.3591067259707788,1.7289412915851263,0,0.0,0.6301654343856526,73.8002288728967
4h,later,5,5,0,3,2,3.0935708677491074,3.777137105494438,0,0.0,-0.68356623774533,-417.21248799098976
4h,cross_split,0,0,0,0,0,-0.0,0.0,0,0.0,0.0,0.0
