timeframe,period,arm,removed_top,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip
15m,full,box_any,1,408,29,128,280,31.372549019607842,-0.044952943940175745,-1.072463388936109,-18.340801127591703,0.0806857751604063,34.08562258770167,-139.777901869941,13906.93401578228,54.08562258770167,2.1283177336862202,1.0384481108550994,2.0495176518099485,32.7920712118679,0.9369223551131193,541.6224486726106,197.93121219397096,2.7364175799712935,1.25093375084402,14.287377450980392,9.625,1.83935155063976,6.0,219,142,188,92,25,3,0,408,100.0,-0.044952943940175745,-0.14005223834817254,0.09509929440799683,34.08562258770167,-43.55692586539406,77.64254845309573,20,-0.10558321378237676,0.30775364118802917,0.19790104947526238
15m,full,box_any,2,407,29,127,280,31.203931203931205,-0.067684928337774,-1.072708333333332,-27.547765833474017,0.057788197212397314,31.82559914606221,-140.075757575758,12953.01885244732,51.825599146062245,2.0725803559523914,1.0384481108550994,1.995843927382897,33.379575980567786,0.9052577813486712,538.3760493445607,197.93121219397096,2.720015925618424,1.2337215091197853,14.26965601965602,9.5,1.8396226415094301,6.0,218,141,188,92,25,3,0,407,100.0,-0.067684928337774,-0.1376306771166583,0.06994574877888407,31.82559914606221,-43.22364900092462,75.04924814698684,20,-0.15288297268166698,0.29455274592281305,0.2783608195902049
15m,full,extension_le1,1,330,29,107,223,32.42424242424242,0.002535323930760655,-1.0701318862090292,0.8366568971510162,0.13089053069422893,40.420193076668966,-136.44076056844352,13338.663715300758,60.42019307666897,2.158302426793684,1.0318462007613147,2.0916900456688694,32.34476888784159,1.0036360308814756,534.5830316286518,196.68933035410313,2.7179055959275114,1.3041071693463846,13.998484848484848,9.625,1.81021703707494,3.0,184,120,146,77,21,2,0,330,100.0,0.002535323930760655,-0.15886406952932514,0.16139939346008556,40.420193076668966,-41.928769375638026,82.348962452307,20,-0.09314491536887415,0.41410210679705817,0.10944527736131934
15m,full,extension_le1,2,329,29,106,223,32.21884498480243,-0.02544166507213195,-1.070226666666667,-8.370307808731411,0.10271694568114137,37.643612619956826,-137.306397306398,12384.748551965797,57.64361261995686,2.091805612840017,1.0318462007613147,2.027245544245494,33.03332965179864,0.9636234425561542,530.6270681219886,196.68933035410313,2.6977928450246473,1.2823589308188907,13.975683890577507,9.5,1.8118735543562001,3.0,183,119,146,77,21,2,0,329,100.0,-0.02544166507213195,-0.15592557837417273,0.13048391330204073,37.643612619956826,-41.511529739380215,79.15514235933706,20,-0.15535240500094133,0.4059176040769852,0.18840579710144928
15m,later,box_any,1,159,29,47,112,29.559748427672954,0.015310356110168701,-1.0794934743102595,2.4343466215168235,0.14144650097137848,70.59864973382696,-142.819508721965,11225.185307678486,90.59864973382693,2.573423580542038,1.0581835862853477,2.4319254370366825,29.138162187563623,1.0205401387564648,714.2405277342949,199.50106692708368,3.580133874649127,1.5023776081116873,14.635220125786164,9.75,1.8970893970894,6.0,84,56,75,37,12,1,0,159,100.0,0.015310356110168701,-0.06374116518647137,0.07905152129664014,70.59864973382696,-27.43946056650812,98.03811030033506,8,-0.3352347575651237,0.5497021244245563,0.38130934532733635
15m,later,box_any,2,158,29,46,112,29.11392405063291,-0.03672946825535683,-1.0799134038217972,-5.803255984346379,0.09001830808386356,35.696592612448235,-142.98237977735403,5640.061632766821,55.696592612448235,2.450289253904621,1.0581835862853477,2.315561577085246,30.160803132454966,0.9510342191600116,608.3517636652217,199.50106692708368,3.0493659659853862,1.2524181646011407,14.509493670886076,9.75,1.8857980529251201,6.0,83,55,75,37,12,1,0,158,100.0,-0.03672946825535683,-0.05748018582933218,0.020750717573975223,35.696592612448235,-25.097114530964518,60.79370714341278,8,-0.3621723700597374,0.4511232501844313,0.45577211394302847
15m,later,extension_le1,1,133,29,42,91,31.57894736842105,0.12978081528352714,-1.0716957001102545,17.26084843270911,0.2586270463179974,98.49122131634354,-135.57512383048902,13099.332435073691,118.49122131634356,2.671692130948137,1.0434090227155235,2.5605415256951933,28.085615426286896,1.1817883964747045,741.1365944020163,198.1143354924285,3.7409538919021887,1.7265941039548562,14.93796992481203,11.25,1.8396226415094301,4.0,75,50,58,33,10,1,0,133,100.0,0.12978081528352714,-0.14444248017188588,0.2742232954554133,98.49122131634354,-38.89258198146934,137.38380329781288,8,-0.20138616089597705,0.8244502791693299,0.14942528735632185
15m,later,extension_le1,2,132,29,41,91,31.060606060606062,0.06835792293065082,-1.072635350055127,9.023245826845908,0.19795678926587076,56.925823940621406,-138.45332982979352,7514.208760162026,76.92582394062141,2.535938216925818,1.0434090227155235,2.430435391794786,29.150818650946963,1.0950313303690795,622.9905680481224,198.1143354924285,3.1446011541750942,1.4167983222107565,14.789772727272727,11.125,1.8349527517031352,4.0,74,49,58,33,10,1,0,132,100.0,0.06835792293065082,-0.13755965120641186,0.20591757413706285,56.925823940621406,-36.17563082843202,93.1014547690534,8,-0.23025444730155772,0.7173467263413156,0.1969015492253873
1h,full,box_any,1,121,29,39,82,32.231404958677686,-0.08141077448624434,-1.0407517915309448,-9.850703712835566,-0.015052565934537866,-56.96463350527998,-267.64061910154703,-6892.720654138877,-36.96463350527997,1.9018864125640413,1.0246862658882094,1.856067047912919,35.01318362714046,0.8827635959585833,649.8600628091962,393.1373549231405,1.6530102130240096,0.7861877842431265,48.32231404958678,41.0,3.4643458731049903,8.0,68,45,53,29,6,1,0,121,100.0,-0.08141077448624434,-0.34302219847946236,0.2616114239932181,-56.96463350527998,-110.6680647983059,53.70343129302596,20,-0.0849250248626648,0.66187969970368,0.09395302348825588
1h,full,box_any,2,120,28,38,82,31.666666666666664,-0.12944904609181127,-1.0411899166229461,-15.53388553101735,-0.0630315393375274,-73.42782983308396,-269.10436648176255,-8811.339579970076,-53.42782983308395,1.802378638731995,1.0246862658882094,1.7589565691794193,36.24558687045314,0.8151262149855846,616.4716716770382,393.1373549231405,1.5680821574372148,0.7266722193001727,47.425,40.5,3.46663250683296,8.0,67,44,53,29,6,1,0,120,100.0,-0.12944904609181127,-0.34907751814692584,0.21962847205511465,-73.42782983308396,-112.85068629939622,39.4228564663123,20,-0.11763539074346695,0.6080266941177972,0.13693153423288357
1h,full,extension_le1,1,89,26,31,58,34.831460674157306,-0.0033219929529072602,-1.0391891891891885,-0.29565737280874616,0.06729614568462951,-18.60378421852074,-248.780289698117,-1655.736795448346,1.3962157814792655,1.9058040660066027,1.0237169555002317,1.8616513634624188,34.94485781070349,0.9950205563333618,642.5171902926623,371.96154645725653,1.7273753064323716,0.9232523189552332,47.95505617977528,37.0,3.32226916113457,3.0,49,35,40,18,4,1,0,89,100.0,-0.0033219929529072602,-0.34912539239044266,0.34580339943753535,-18.60378421852074,-119.82055842574093,101.21677420722014,20,-0.014162098830283134,0.7232285091351448,0.053973013493253376
1h,full,extension_le1,2,88,26,30,58,34.090909090909086,-0.05745839989761981,-1.0393556867447649,-5.056339190990544,0.012947238249227862,-30.928885051214426,-249.548152347719,-2721.7418845068696,-10.928885051214422,1.8106414742674297,1.0237169555002317,1.7686934504104928,36.118119174650325,0.9148414398674962,628.4009270004668,371.96154645725653,1.6894244391272815,0.8738402271348008,46.78409090909091,36.0,3.3521257674589,3.5,48,34,40,18,4,1,0,88,100.0,-0.05745839989761981,-0.42442286993554923,0.3669644700379294,-30.928885051214426,-135.18290699537977,104.25402194416533,20,0.016354469428918744,0.7336476101138637,0.041979010494752625
1h,later,box_any,1,51,25,10,41,19.607843137254903,-0.5339160014378278,-1.048088467614535,-27.229716073329218,-0.4699580783627973,-217.04544080308773,-328.605341246289,-11069.317480957474,-197.04544080308773,1.4234402901451766,1.0113199749946582,1.4075073422263762,41.53673729091252,0.34329447371375027,479.62192194854725,386.9643097669011,1.2394474369935073,0.3023042529252457,45.21568627450981,40.0,3.59859024299758,9.0,27,13,24,17,3,0,0,51,100.0,-0.5339160014378278,-0.47940201383328795,-0.05451398760453985,-217.04544080308773,-163.6354168876568,-53.41002391543099,8,-0.25729754915813474,0.24214297523767975,0.6701649175412294
