timeframe,source,extension_bucket,extension_le1_status,n
15m,chart,0-1,closed,139
15m,chart,<=0,closed,109
15m,chart,<=0,skipped_in_position,1
15m,chart,>1,rejected_extension,42
15m,htf,0-1,closed,55
15m,htf,<=0,closed,28
15m,htf,>1,rejected_extension,36
1h,chart,0-1,closed,37
1h,chart,<=0,closed,35
1h,chart,>1,rejected_extension,22
1h,htf,0-1,closed,15
1h,htf,<=0,closed,3
1h,htf,>1,rejected_extension,10
4h,chart,0-1,closed,9
4h,chart,<=0,censored_boundary,2
4h,chart,<=0,closed,14
4h,chart,>1,rejected_extension,7
4h,htf,0-1,closed,3
4h,htf,<=0,closed,1
4h,htf,>1,rejected_extension,3
