timeframe,period,feature,bucket,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip
15m,full,extension_bin,<=0,137,29,51,86,37.22627737226277,0.14051947215062568,-0.8336633165829147,19.251167684635718,0.25185908612255087,48.71238678677576,-141.0399825213,6673.596989788279,68.7123867867758,2.015501277314014,0.9713883425392907,2.074866651215233,32.52173552322294,1.2304441768834524,484.4436681501538,209.68639634732045,2.3103247353620917,1.3700762965519382,16.177007299270073,13.5,2.1058882072769203,0.0,82,54,55,31,9,1,0,137,100.0,0.14051947215062568,-0.3849879600491943,0.52550743219982,48.71238678677576,-84.57032701891279,133.28271380568853,20,0.15027092915462698,0.8890802999380387,0.0074962518740629685
15m,full,extension_bin,0-.5,126,28,37,89,29.365079365079367,-0.1079502008716837,-1.0912304147465433,-13.601725309832146,0.03930270489680499,6.835791963690245,-126.6152351992105,861.3097874249709,26.835791963690237,2.1937104844986828,1.0648203734413866,2.060169526442139,32.677928178790644,0.8564749716669565,442.0690552307684,174.10387928217378,2.539110886290465,1.0555854246376093,12.52579365079365,8.375,1.5986139056094348,8.0,71,45,55,34,10,1,0,126,100.0,-0.1079502008716837,-0.06185209352318726,-0.04609810734849632,6.835791963690245,-19.503845852020444,26.339637815710667,20,-0.41638727898740097,0.3020375487090328,0.6036981509245377
15m,full,extension_bin,.5-1,68,26,20,48,29.411764705882355,0.08170099594585162,-1.0820883190883186,5.55566772431791,0.2091291669951943,111.80030021200506,-144.391211275662,7602.420414416344,131.80030021200508,2.867447989971435,1.079026918231475,2.6574387918618214,27.341537532360167,1.107266163275759,896.7932870699154,215.28011097879096,4.165704314219097,1.7357101309246237,12.680147058823529,7.625,1.7380535037194202,13.0,32,22,36,12,2,0,0,68,100.0,0.08170099594585162,0.13700793109855708,-0.05530693515270535,111.80030021200506,5.73959345082667,106.06070676117842,20,-0.8795401152300019,0.7045743731538938,0.553223388305847
15m,full,extension_bin,1-2,51,24,12,39,23.52941176470588,-0.42261816023949017,-1.1018483412322302,-21.553526172214,-0.3004699078468332,-49.37732972110322,-152.050209205022,-2518.2438157762645,-29.377329721103205,1.7243293699065356,1.0832174002844213,1.59185900212993,38.582345690032646,0.48980276988613225,394.278080608862,185.88668674570792,2.121066804252811,0.6526359397700957,12.294117647058824,6.25,1.7909204498125602,34.0,19,12,31,8,2,0,0,51,100.0,-0.42261816023949017,-0.05388243283481328,-0.36873572740467697,-49.37732972110322,-56.70075963813206,7.323429917028848,18,-1.1425536649085135,0.35084539674749715,0.8340829585207397
15m,full,extension_bin,>2,27,19,9,18,33.33333333333333,0.08800252398041924,-1.0699653979238748,2.3760681474713197,0.1870328309829153,114.31533763917713,-135.110167194657,3086.5141162577825,134.31533763917716,2.31048420067039,1.0232383143645662,2.258011812336412,30.693565818684732,1.1290059061682063,821.7724531691175,239.41322012579298,3.4324439257670907,1.7162219628835453,21.583333333333332,15.25,2.33966745843231,41.0,16,10,11,7,2,1,0,27,100.0,0.08800252398041924,-0.07289504543709711,0.1608975694175163,114.31533763917713,-38.62937472501837,152.9447123641955,14,-0.5930523014832703,1.273425951598238,0.36031984007996004
15m,earlier,extension_bin,<=0,85,25,33,52,38.82352941176471,0.15010258528151457,-0.6491145833333328,12.758719748928739,0.2584804816129067,34.33323850688459,-128.667736757625,2918.3252730851905,54.333238506884655,1.8755042470797143,0.9448638539365739,1.9849465499879433,33.50143740443323,1.2596776182615794,424.7333698446718,213.42069099594192,1.9901227376906387,1.262962506611367,16.688235294117646,14.25,2.15547703180211,0.0,51,33,34,18,5,0,0,85,100.0,0.15010258528151457,-0.5115423527237151,0.6616449380052297,34.33323850688459,-96.79081827626764,131.1240567831523,13,0.28529924266453743,1.0545905075963944,0.00399800099950025
15m,earlier,extension_bin,0-.5,75,24,21,54,28.000000000000004,-0.26591002262157293,-1.0959733840304204,-19.94325169661797,-0.12181536638263592,-17.75196536097912,-125.826541783237,-1331.397402073434,2.2480346390208714,1.7737533417279383,1.0591124420908276,1.674754512586327,37.38660857639081,0.6512934215613494,378.9922805811538,172.04139433847524,2.2029133281466096,0.8566885165014594,11.02,7.0,1.51692753223469,7.0,40,25,35,19,5,1,0,75,100.0,-0.26591002262157293,-0.07478103049089029,-0.19112899213068274,-17.75196536097912,-34.37524800074799,16.623282639768863,12,-0.7242120690547487,0.2952595442194125,0.7396301849075462
15m,earlier,extension_bin,.5-1,37,19,11,26,29.72972972972973,-0.21832894842650807,-1.09091891891892,-8.0781710917808,-0.07985044992521546,-13.590493994346158,-161.56013123656402,-502.84827779080786,6.409506005653849,1.8862107575702962,1.1087111317328484,1.7012643813021548,37.019701104485975,0.7197656997816809,449.3051486633227,209.43095819566759,2.145361662546303,0.907653011077282,10.905405405405405,7.25,1.68621951636624,13.0,18,12,19,7,1,0,0,37,100.0,-0.21832894842650807,0.49205350796779745,-0.7103824563943054,-13.590493994346158,67.674328175387,-81.26482216973316,12,-1.7592535861857008,0.427643086367221,0.8385807096451774
15m,earlier,extension_bin,1-2,36,22,11,25,30.555555555555557,-0.17911321026046892,-1.0993615221987332,-6.448075569376881,-0.05537000385828283,5.160049097901976,-135.844100587927,185.76176752447114,25.160049097901975,1.8267874651179794,1.061709507426986,1.7206095003756081,36.7564694551695,0.7570681801652674,415.05195674136775,175.19239026522297,2.369120919653088,1.0424132046473586,13.833333333333334,7.75,1.816339158602995,42.0,15,10,20,5,1,0,0,36,100.0,-0.17911321026046892,-0.2182194502368026,0.039106239976333654,5.160049097901976,-84.21442194163384,89.37447103953579,12,-0.9683774968951803,0.8148427530316874,0.48575712143928035
15m,earlier,extension_bin,>2,16,12,5,11,31.25,0.13106995973915664,-1.046803202709715,2.097119355826506,0.22666529881830538,141.04097877201576,-140.03705355402,2256.655660352252,161.04097877201576,2.5303618685920313,0.9595172715576047,2.637119667981006,27.494283699362242,1.1986907581731847,1024.029936609236,260.31763842672075,3.9337708454876745,1.7880776570398522,23.21875,18.625,2.39062742904139,42.5,11,6,5,6,1,1,0,16,100.0,0.13106995973915664,-0.3710171681915053,0.502087127930662,141.04097877201576,-107.0532401676278,248.0942189396435,9,-0.572774288398065,2.142252188584133,0.25037481259370314
