stream,exit_reason,n,wins,sum_net_r
ETH 3m OKX,initial_stop,906,0,-1509.8414742876016
ETH 3m OKX,opposite_v6_next_open,208,14,-182.38702529927264
ETH 3m OKX,trailing_stop,457,377,756.9243393571571
ETH 5m Binance,initial_stop,1131,0,-1611.8860429912947
ETH 5m Binance,opposite_v6_next_open,259,20,-171.0929385509678
ETH 5m Binance,trailing_stop,564,488,1158.4951080972887
