stream,period,n,net_wins,gross_wins,net_win_rate,gross_win_rate,net_flat,sum_net_r,mean_net_r,median_net_r,pf_net_r,best_net_r,worst_net_r,first_entry,last_exit_bar,mfe_r_ge1_n,mfe_r_ge1_rate,gross_r_ge1_n,gross_r_ge1_rate,net_r_ge1_n,net_r_ge1_rate,mfe_r_ge2_n,mfe_r_ge2_rate,gross_r_ge2_n,gross_r_ge2_rate,net_r_ge2_n,net_r_ge2_rate,mfe_r_ge3_n,mfe_r_ge3_rate,gross_r_ge3_n,gross_r_ge3_rate,net_r_ge3_n,net_r_ge3_rate,mfe_r_ge5_n,mfe_r_ge5_rate,gross_r_ge5_n,gross_r_ge5_rate,net_r_ge5_n,net_r_ge5_rate,mfe_r_ge10_n,mfe_r_ge10_rate,gross_r_ge10_n,gross_r_ge10_rate,net_r_ge10_n,net_r_ge10_rate,net_loss_n,gross_loss_n,net_loss_stop_n,gross_loss_stop_n,initial_stop_n,net_win_n,max_consecutive_net_loss,max_consecutive_gross_loss,max_consecutive_net_loss_stop,max_consecutive_gross_loss_stop,max_consecutive_initial_stop,max_consecutive_net_win
ETH 3m OKX,development,1460,355,428,0.24315068493150685,0.29315068493150687,0,-909.0212829189345,-0.6226173170677634,-1.3100037759413492,0.44619494488203276,28.221558897244787,-5.964081081081137,2023-08-03 04:30:00+00:00,2026-05-03 23:27:00+00:00,712,0.4876712328767123,281,0.19246575342465752,197,0.13493150684931507,465,0.3184931506849315,152,0.10410958904109589,111,0.07602739726027398,295,0.20205479452054795,87,0.05958904109589041,69,0.04726027397260274,127,0.08698630136986302,39,0.02671232876712329,30,0.02054794520547945,26,0.01780821917808219,10,0.00684931506849315,9,0.0061643835616438354,1105,1032,923,864,848,355,27,25,13,12,12,5
ETH 3m OKX,later,111,36,40,0.32432432432432434,0.36036036036036034,0,-26.282877310782634,-0.23678267847551923,-1.293504934210531,0.7632814490873318,13.09382119205301,-2.697303370786439,2026-05-05 11:39:00+00:00,2026-07-28 11:18:00+00:00,59,0.5315315315315315,35,0.3153153153153153,24,0.21621621621621623,42,0.3783783783783784,18,0.16216216216216217,13,0.11711711711711711,33,0.2972972972972973,10,0.09009009009009009,6,0.05405405405405406,15,0.13513513513513514,4,0.036036036036036036,4,0.036036036036036036,3,0.02702702702702703,2,0.018018018018018018,2,0.018018018018018018,75,71,63,60,58,36,11,11,10,10,10,5
ETH 5m Binance,development,1261,324,367,0.25693893735130846,0.29103885804916735,0,-433.9207514320864,-0.34410844681370845,-1.1592301850972873,0.6328098323516009,18.951503448275854,-4.001618181817877,2020-01-04 05:00:00+00:00,2023-12-31 07:25:00+00:00,649,0.514670896114195,237,0.1879460745440127,195,0.15463917525773196,416,0.32989690721649484,141,0.11181601903251388,124,0.09833465503568596,267,0.21173671689135606,82,0.06502775574940524,73,0.05789056304520222,119,0.0943695479777954,38,0.03013481363996828,32,0.025376685170499604,26,0.020618556701030927,9,0.007137192704203013,8,0.006344171292624901,937,894,782,750,735,324,25,17,15,14,10,5
ETH 5m Binance,later,693,184,208,0.26551226551226553,0.30014430014430016,0,-190.56312201288748,-0.2749828600474567,-1.215677469738383,0.7052747143335469,30.123183505153765,-3.2276992481200844,2024-01-03 09:45:00+00:00,2026-04-28 21:40:00+00:00,354,0.5108225108225108,144,0.2077922077922078,106,0.15295815295815296,232,0.3347763347763348,80,0.11544011544011544,67,0.09668109668109669,153,0.22077922077922077,56,0.08080808080808081,46,0.06637806637806638,61,0.08802308802308802,25,0.03607503607503607,23,0.03318903318903319,17,0.024531024531024532,9,0.012987012987012988,8,0.011544011544011544,509,485,425,405,396,184,19,19,14,14,13,7
ETH 3m OKX,all_observed_folds,1571,391,468,0.24888605983450032,0.2978994271164863,0,-935.3041602297171,-0.595355926307904,-1.3079633204633248,0.4662847230034986,28.221558897244787,-5.964081081081137,2023-08-03 04:30:00+00:00,2026-07-28 11:18:00+00:00,771,0.4907702100572883,316,0.2011457670273711,221,0.1406747294716741,507,0.3227243793761935,170,0.10821133036282622,124,0.0789306174411203,328,0.20878421387651178,97,0.061744112030553785,75,0.047740292807129214,142,0.09038828771483132,43,0.02737110120942075,34,0.021642266072565246,29,0.018459579885423297,12,0.0076384468491406746,11,0.007001909611712286,1180,1103,986,924,906,391,27,25,13,12,12,5
ETH 5m Binance,all_observed_folds,1954,508,575,0.2599795291709314,0.29426816786079835,0,-624.4838734449738,-0.3195925657343776,-1.1730552059545423,0.6584368920245155,30.123183505153765,-4.001618181817877,2020-01-04 05:00:00+00:00,2026-04-28 21:40:00+00:00,1003,0.5133060388945753,381,0.19498464687819858,301,0.15404298874104402,648,0.33162743091095187,221,0.11310133060388945,191,0.0977482088024565,420,0.21494370522006143,138,0.07062436028659161,119,0.0609007164790174,180,0.09211873080859775,63,0.03224155578300921,55,0.028147389969293755,43,0.022006141248720572,18,0.009211873080859774,16,0.008188331627430911,1446,1379,1207,1155,1131,508,25,19,15,14,13,7
