stream,period,kind,length,first_entry,last_exit_bar,sum_net_r,first_entry_beijing,last_exit_bar_beijing
ETH 3m OKX,development,gross_loss,25,2025-12-16T03:15:00+00:00,2025-12-30T03:24:00+00:00,-42.47773008471988,2025-12-16T11:15:00+08:00,2025-12-30T11:24:00+08:00
ETH 3m OKX,development,gross_loss,17,2023-09-21T06:24:00+00:00,2023-09-26T16:39:00+00:00,-39.459064557154974,2023-09-21T14:24:00+08:00,2023-09-27T00:39:00+08:00
ETH 3m OKX,development,gross_loss,14,2024-10-15T04:09:00+00:00,2024-10-20T11:09:00+00:00,-26.074893633834584,2024-10-15T12:09:00+08:00,2024-10-20T19:09:00+08:00
ETH 3m OKX,development,gross_loss,13,2025-08-18T21:03:00+00:00,2025-08-21T14:15:00+00:00,-16.82735412717244,2025-08-19T05:03:00+08:00,2025-08-21T22:15:00+08:00
ETH 3m OKX,development,gross_loss,12,2023-08-24T06:06:00+00:00,2023-08-27T14:03:00+00:00,-28.09796875720334,2023-08-24T14:06:00+08:00,2023-08-27T22:03:00+08:00
ETH 3m OKX,development,gross_loss,12,2024-01-06T20:15:00+00:00,2024-01-14T15:06:00+00:00,-18.122243291665846,2024-01-07T04:15:00+08:00,2024-01-14T23:06:00+08:00
ETH 3m OKX,development,gross_loss,11,2024-01-16T08:12:00+00:00,2024-01-18T10:36:00+00:00,-17.320804628813924,2024-01-16T16:12:00+08:00,2024-01-18T18:36:00+08:00
ETH 3m OKX,later,gross_loss,11,2026-06-10T02:18:00+00:00,2026-06-17T02:42:00+00:00,-15.694957825218287,2026-06-10T10:18:00+08:00,2026-06-17T10:42:00+08:00
ETH 3m OKX,development,gross_loss,10,2023-09-03T07:42:00+00:00,2023-09-06T14:00:00+00:00,-23.73131511930853,2023-09-03T15:42:00+08:00,2023-09-06T22:00:00+08:00
ETH 3m OKX,development,gross_loss,10,2024-06-21T00:12:00+00:00,2024-06-25T13:45:00+00:00,-17.29256793471559,2024-06-21T08:12:00+08:00,2024-06-25T21:45:00+08:00
ETH 3m OKX,development,gross_loss,10,2024-10-08T03:00:00+00:00,2024-10-11T12:39:00+00:00,-12.969480395923659,2024-10-08T11:00:00+08:00,2024-10-11T20:39:00+08:00
ETH 3m OKX,development,gross_loss,10,2026-04-21T06:39:00+00:00,2026-04-25T07:54:00+00:00,-16.891332475005747,2026-04-21T14:39:00+08:00,2026-04-25T15:54:00+08:00
ETH 3m OKX,development,gross_loss,9,2024-03-26T14:24:00+00:00,2024-03-30T08:45:00+00:00,-10.537081526343488,2024-03-26T22:24:00+08:00,2024-03-30T16:45:00+08:00
ETH 3m OKX,development,gross_loss,9,2024-06-04T03:12:00+00:00,2024-06-06T16:30:00+00:00,-14.71356877130023,2024-06-04T11:12:00+08:00,2024-06-07T00:30:00+08:00
ETH 3m OKX,development,gross_loss,9,2024-10-26T09:27:00+00:00,2024-10-31T01:48:00+00:00,-15.96176430598314,2024-10-26T17:27:00+08:00,2024-10-31T09:48:00+08:00
ETH 3m OKX,development,gross_loss,9,2025-09-06T13:48:00+00:00,2025-09-11T14:21:00+00:00,-15.798772993251875,2025-09-06T21:48:00+08:00,2025-09-11T22:21:00+08:00
ETH 3m OKX,development,gross_loss,9,2025-10-15T02:15:00+00:00,2025-10-18T21:06:00+00:00,-11.342551305643127,2025-10-15T10:15:00+08:00,2025-10-19T05:06:00+08:00
ETH 3m OKX,development,gross_loss,9,2026-01-14T09:57:00+00:00,2026-01-17T06:00:00+00:00,-16.87975954444265,2026-01-14T17:57:00+08:00,2026-01-17T14:00:00+08:00
ETH 3m OKX,development,gross_loss,9,2026-01-22T06:30:00+00:00,2026-01-24T12:30:00+00:00,-15.980043514099073,2026-01-22T14:30:00+08:00,2026-01-24T20:30:00+08:00
ETH 3m OKX,development,gross_loss,9,2026-04-03T01:45:00+00:00,2026-04-04T13:36:00+00:00,-14.010957328464364,2026-04-03T09:45:00+08:00,2026-04-04T21:36:00+08:00
ETH 3m OKX,development,gross_loss,8,2023-09-09T04:24:00+00:00,2023-09-15T09:00:00+00:00,-21.213917778956215,2023-09-09T12:24:00+08:00,2023-09-15T17:00:00+08:00
ETH 3m OKX,development,gross_loss,8,2023-10-31T12:51:00+00:00,2023-11-06T20:03:00+00:00,-9.013338443082711,2023-10-31T20:51:00+08:00,2023-11-07T04:03:00+08:00
ETH 3m OKX,development,gross_loss,8,2024-04-05T12:36:00+00:00,2024-04-07T15:36:00+00:00,-12.090542264015355,2024-04-05T20:36:00+08:00,2024-04-07T23:36:00+08:00
ETH 3m OKX,development,gross_loss,8,2025-02-05T11:18:00+00:00,2025-02-08T17:36:00+00:00,-9.795862666390772,2025-02-05T19:18:00+08:00,2025-02-09T01:36:00+08:00
ETH 3m OKX,development,gross_loss,8,2025-07-18T11:24:00+00:00,2025-07-21T05:12:00+00:00,-9.801200031153574,2025-07-18T19:24:00+08:00,2025-07-21T13:12:00+08:00
ETH 3m OKX,development,gross_loss,8,2025-12-07T07:15:00+00:00,2025-12-10T16:12:00+00:00,-9.216162995033748,2025-12-07T15:15:00+08:00,2025-12-11T00:12:00+08:00
ETH 3m OKX,development,gross_loss,7,2023-12-30T22:27:00+00:00,2024-01-03T02:39:00+00:00,-9.7541130949405,2023-12-31T06:27:00+08:00,2024-01-03T10:39:00+08:00
ETH 3m OKX,development,gross_loss,7,2024-01-27T14:18:00+00:00,2024-01-30T10:24:00+00:00,-12.188637770721167,2024-01-27T22:18:00+08:00,2024-01-30T18:24:00+08:00
ETH 3m OKX,development,gross_loss,7,2024-02-19T16:24:00+00:00,2024-02-24T14:06:00+00:00,-10.251576068272417,2024-02-20T00:24:00+08:00,2024-02-24T22:06:00+08:00
ETH 3m OKX,development,gross_loss,7,2024-02-27T15:48:00+00:00,2024-02-29T12:06:00+00:00,-10.101490781961548,2024-02-27T23:48:00+08:00,2024-02-29T20:06:00+08:00
ETH 3m OKX,development,gross_loss,7,2024-03-13T23:00:00+00:00,2024-03-15T19:48:00+00:00,-9.655405847882662,2024-03-14T07:00:00+08:00,2024-03-16T03:48:00+08:00
ETH 3m OKX,development,gross_loss,7,2024-04-11T23:27:00+00:00,2024-04-16T06:51:00+00:00,-8.991749518359452,2024-04-12T07:27:00+08:00,2024-04-16T14:51:00+08:00
ETH 3m OKX,development,gross_loss,7,2024-08-30T06:03:00+00:00,2024-08-31T10:15:00+00:00,-10.41668880278374,2024-08-30T14:03:00+08:00,2024-08-31T18:15:00+08:00
ETH 3m OKX,development,gross_loss,7,2025-01-04T07:15:00+00:00,2025-01-08T15:33:00+00:00,-10.30480711905312,2025-01-04T15:15:00+08:00,2025-01-08T23:33:00+08:00
ETH 3m OKX,development,gross_loss,7,2025-10-22T09:21:00+00:00,2025-10-28T11:45:00+00:00,-11.572325175137948,2025-10-22T17:21:00+08:00,2025-10-28T19:45:00+08:00
ETH 3m OKX,development,gross_loss,7,2026-01-04T11:15:00+00:00,2026-01-06T11:06:00+00:00,-12.706814140083841,2026-01-04T19:15:00+08:00,2026-01-06T19:06:00+08:00
ETH 3m OKX,later,gross_loss,7,2026-05-16T19:51:00+00:00,2026-05-20T05:00:00+00:00,-12.629159813080395,2026-05-17T03:51:00+08:00,2026-05-20T13:00:00+08:00
ETH 3m OKX,development,gross_loss,6,2023-08-04T07:54:00+00:00,2023-08-06T06:09:00+00:00,-21.97180473963668,2023-08-04T15:54:00+08:00,2023-08-06T14:09:00+08:00
ETH 3m OKX,development,gross_loss,6,2023-09-16T13:21:00+00:00,2023-09-19T06:36:00+00:00,-12.259840026202282,2023-09-16T21:21:00+08:00,2023-09-19T14:36:00+08:00
ETH 3m OKX,development,gross_loss,6,2023-12-15T23:24:00+00:00,2023-12-21T06:24:00+00:00,-10.0566474464799,2023-12-16T07:24:00+08:00,2023-12-21T14:24:00+08:00
ETH 3m OKX,development,gross_loss,6,2024-05-02T20:36:00+00:00,2024-05-06T04:48:00+00:00,-8.605819736954604,2024-05-03T04:36:00+08:00,2024-05-06T12:48:00+08:00
ETH 3m OKX,development,gross_loss,6,2024-05-18T23:42:00+00:00,2024-05-23T06:09:00+00:00,-9.738530390235692,2024-05-19T07:42:00+08:00,2024-05-23T14:09:00+08:00
ETH 3m OKX,development,gross_loss,6,2024-05-25T23:21:00+00:00,2024-05-29T07:06:00+00:00,-10.003807766829674,2024-05-26T07:21:00+08:00,2024-05-29T15:06:00+08:00
ETH 3m OKX,development,gross_loss,6,2024-06-15T20:09:00+00:00,2024-06-18T14:18:00+00:00,-10.534425885145277,2024-06-16T04:09:00+08:00,2024-06-18T22:18:00+08:00
ETH 3m OKX,development,gross_loss,6,2024-07-09T13:45:00+00:00,2024-07-11T05:57:00+00:00,-7.370506389720408,2024-07-09T21:45:00+08:00,2024-07-11T13:57:00+08:00
ETH 3m OKX,development,gross_loss,6,2024-08-15T00:39:00+00:00,2024-08-22T18:39:00+00:00,-7.855662744409007,2024-08-15T08:39:00+08:00,2024-08-23T02:39:00+08:00
ETH 3m OKX,development,gross_loss,6,2024-11-03T13:51:00+00:00,2024-11-09T16:15:00+00:00,-8.356631226879722,2024-11-03T21:51:00+08:00,2024-11-10T00:15:00+08:00
