symbol,decision_i,decision_time,window_start_i,window_start_time,window_len,conf,x1n,y1n,x2n,y2n,core_start_i,core_end_i,core_mid_i,core_start_time,core_end_time,core_mid_time,predicted_core_bars,decision_delay_bars
AEVO_USDT_SWAP,412,2026-05-03T22:00:00+00:00,399,2026-05-03T18:45:00+00:00,14,0.6578056812286377,0.3434904217720032,0.3957642912864685,0.7789372801780701,0.5694658756256104,403,409,406.0,2026-05-03T19:45:00+00:00,2026-05-03T21:15:00+00:00,2026-05-03T20:30:00+00:00,7,3
AEVO_USDT_SWAP,412,2026-05-03T22:00:00+00:00,398,2026-05-03T18:30:00+00:00,15,0.7461190223693848,0.342983216047287,0.39432090520858765,0.8019081354141235,0.5706314444541931,403,409,406.0,2026-05-03T19:45:00+00:00,2026-05-03T21:15:00+00:00,2026-05-03T20:30:00+00:00,7,3
AEVO_USDT_SWAP,412,2026-05-03T22:00:00+00:00,397,2026-05-03T18:15:00+00:00,16,0.49148547649383545,0.31406867504119873,0.3929913341999054,0.7502118945121765,0.5134208798408508,402,408,405.0,2026-05-03T19:30:00+00:00,2026-05-03T21:00:00+00:00,2026-05-03T20:15:00+00:00,7,4
AEVO_USDT_SWAP,412,2026-05-03T22:00:00+00:00,396,2026-05-03T18:00:00+00:00,17,0.7371764779090881,0.3555716574192047,0.3915826082229614,0.7610437273979187,0.5145886540412903,402,408,405.0,2026-05-03T19:30:00+00:00,2026-05-03T21:00:00+00:00,2026-05-03T20:15:00+00:00,7,4
AEVO_USDT_SWAP,412,2026-05-03T22:00:00+00:00,396,2026-05-03T18:00:00+00:00,17,0.2982049882411957,0.29738232493400574,0.39922231435775757,0.7011901140213013,0.47607988119125366,401,407,404.0,2026-05-03T19:15:00+00:00,2026-05-03T20:45:00+00:00,2026-05-03T20:00:00+00:00,7,5
AEVO_USDT_SWAP,412,2026-05-03T22:00:00+00:00,395,2026-05-03T17:45:00+00:00,18,0.434620201587677,0.3364350199699402,0.3928881883621216,0.7228005528450012,0.47894591093063354,401,407,404.0,2026-05-03T19:15:00+00:00,2026-05-03T20:45:00+00:00,2026-05-03T20:00:00+00:00,7,5
AEVO_USDT_SWAP,412,2026-05-03T22:00:00+00:00,395,2026-05-03T17:45:00+00:00,18,0.372720330953598,0.3922182023525238,0.3961057662963867,0.7776582837104797,0.5119306445121765,402,408,405.0,2026-05-03T19:30:00+00:00,2026-05-03T21:00:00+00:00,2026-05-03T20:15:00+00:00,7,4
AEVO_USDT_SWAP,412,2026-05-03T22:00:00+00:00,394,2026-05-03T17:30:00+00:00,19,0.47958481311798096,0.36355939507484436,0.39680418372154236,0.7328856587409973,0.4778914153575897,400,407,403.5,2026-05-03T19:00:00+00:00,2026-05-03T20:45:00+00:00,2026-05-03T20:00:00+00:00,8,5
AEVO_USDT_SWAP,412,2026-05-03T22:00:00+00:00,394,2026-05-03T17:30:00+00:00,19,0.28766706585884094,0.3071626126766205,0.40780141949653625,0.6876115202903748,0.4827415943145752,399,406,402.5,2026-05-03T18:45:00+00:00,2026-05-03T20:30:00+00:00,2026-05-03T19:30:00+00:00,8,6
AEVO_USDT_SWAP,413,2026-05-03T22:15:00+00:00,402,2026-05-03T19:30:00+00:00,12,0.47185203433036804,0.4342207908630371,0.41226112842559814,0.7463976740837097,0.6066505908966064,407,410,408.5,2026-05-03T20:45:00+00:00,2026-05-03T21:30:00+00:00,2026-05-03T21:00:00+00:00,4,3
AEVO_USDT_SWAP,413,2026-05-03T22:15:00+00:00,401,2026-05-03T19:15:00+00:00,13,0.3313039541244507,0.39412352442741394,0.3930216431617737,0.7705274820327759,0.6076545119285583,406,410,408.0,2026-05-03T20:30:00+00:00,2026-05-03T21:30:00+00:00,2026-05-03T21:00:00+00:00,5,3
AEVO_USDT_SWAP,413,2026-05-03T22:15:00+00:00,400,2026-05-03T19:00:00+00:00,14,0.32275837659835815,0.3368028402328491,0.38798409700393677,0.7822234034538269,0.6221374273300171,404,410,407.0,2026-05-03T20:00:00+00:00,2026-05-03T21:30:00+00:00,2026-05-03T20:45:00+00:00,7,3
