variant,phase,training_quantile,threshold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,pool_events,pool_runner_arm_rate,runner_arm_auc,runner_arm_average_precision,runner_arm_precision,runner_arm_precision_lift_pp,runner_arm_recall,profitable_runner_precision,positive_net_auc,selection_rate
lgb_arm_all103,development,0.5,0.4930150779474566,1767,27.452484622216453,7.452484622216518,-35.535244229124004,0.2682512733446519,1.194035226660768,-0.4408660785340247,-0.9890517138159184,30.0,156.32725811964687,1746.22574087176,0.379350617057305,3533,0.3877724313614492,0.7941238007498372,0.7049949592914732,0.597623089983022,20.98506586215729,0.7708029197080292,0.266553480475382,0.7087211545119139,0.5001415227851684
lgb_arm_all103,development,0.7,0.529092911173679,1060,41.125367590879144,21.125367590879225,-27.937766329689,0.3198113207547169,1.635431486666743,7.808688006330815,-0.8583607361245396,34.0,192.83752728355051,1746.22574087176,0.3714032801449979,3533,0.3877724313614492,0.7941238007498372,0.7049949592914732,0.6933962264150944,30.56237950536452,0.5364963503649635,0.3179245283018868,0.7087211545119139,0.3000283045570336
lgb_arm_all103,development,0.8,0.550456125418796,707,50.042295037802255,30.04229503780235,-25.831876523587,0.3422913719943423,1.9727243746357763,16.964194240706217,-0.6398793850987128,38.0,216.15306058648252,1746.22574087176,0.3809602481110659,3533,0.3877724313614492,0.7941238007498372,0.7049949592914732,0.7482319660537482,36.0459534692299,0.3861313868613139,0.3408769448373409,0.7087211545119139,0.2001132182281347
lgb_arm_all103,development,0.9,0.5807545206793576,354,63.53891114038721,43.53891114038732,-22.348628021787,0.3700564971751412,2.62172349450285,10.798285575743751,-0.3580637729596208,44.5,234.99228403639285,1746.22574087176,0.3908030573326985,3533,0.3877724313614492,0.7941238007498372,0.7049949592914732,0.8305084745762712,44.2736043214822,0.2145985401459854,0.3700564971751412,0.7087211545119139,0.1001981318992357
lgb_arm_all103,development,0.95,0.6039609581282852,177,68.25396890726867,48.25396890726877,-15.189714909774,0.4180790960451977,2.940756993148903,3.5086123929130375,-0.2048858144159738,48.0,237.28317212915744,1249.295955292932,0.3847156994570542,3533,0.3877724313614492,0.7941238007498372,0.7049949592914732,0.8700564971751412,48.22840658136921,0.1124087591240875,0.4180790960451977,0.7087211545119139,0.0500990659496178
lgb_arm_all103,development,0.975,0.6271162178542559,89,73.06352802408882,53.06352802408893,-8.231668671194,0.4606741573033708,3.30130851664413,1.417684572057301,-0.0669681885543614,49.0,236.3484269618612,1096.825160707646,0.3743153798397063,3533,0.3877724313614492,0.7941238007498372,0.7049949592914732,0.9101123595505618,52.233992818911254,0.0591240875912408,0.4606741573033708,0.7087211545119139,0.0251910557599773
lgb_arm_all103,development,0.99,0.645913268642362,36,95.24649933660378,75.2464993366039,3.976249060945,0.5277777777777778,4.76739770591966,0.7295215552922081,-0.0410139213538376,54.5,231.161870455647,1096.825160707646,0.3431030643563446,3533,0.3877724313614492,0.7941238007498372,0.7049949592914732,0.9166666666666666,52.88942353052175,0.0240875912408759,0.5277777777777778,0.7087211545119139,0.0101896405321256
lgb_arm_all103,confirmation,0.5,0.4930150779474566,1844,2.650595173057323,-17.34940482694264,-58.2051774908085,0.227765726681128,0.6886777297680362,-0.9981014933116786,-0.9985923237539346,23.0,111.7960875797791,1218.165301415947,0.3944948238459714,3437,0.4210066918824556,0.5184926012231164,0.4345413027245676,0.4403470715835141,1.9340379701058452,0.5611610228058052,0.2234273318872017,0.5210178306318609,0.5365144020948501
lgb_arm_all103,confirmation,0.7,0.529092911173679,1084,2.835240813085131,-17.16475918691483,-58.966495481216995,0.2250922509225092,0.6904973146986911,-0.9803794038658812,-0.9825245072049126,23.0,114.11133192828989,1218.165301415947,0.4036542394304893,3437,0.4210066918824556,0.5184926012231164,0.4345413027245676,0.4298892988929889,0.8882607010533283,0.322045611610228,0.2204797047970479,0.5210178306318609,0.3153913296479488
lgb_arm_all103,confirmation,0.8,0.550456125418796,698,2.3373080634964434,-17.66269193650352,-58.1720450362715,0.2177650429799427,0.6806289474570347,-0.9362505963828692,-0.937616755867781,23.5,109.66399541922408,905.214157384561,0.4088376131925201,3437,0.4210066918824556,0.5184926012231164,0.4345413027245676,0.4255014326647564,0.4494740782300777,0.2052522460262612,0.2120343839541547,0.5210178306318609,0.203084084957812
lgb_arm_all103,confirmation,0.9,0.5807545206793576,320,4.233819760549585,-15.766180239450392,-60.103338064358,0.221875,0.7170163679159075,-0.6749506702322019,-0.682586204231981,23.0,132.15072253174478,787.695892323627,0.4610221838088771,3437,0.4210066918824556,0.5184926012231164,0.4345413027245676,0.415625,-0.538169188245563,0.0919143054595715,0.21875,0.5210178306318609,0.09310445155659
lgb_arm_all103,confirmation,0.95,0.6039609581282852,154,3.0401463028305904,-16.95985369716939,-58.991043011145,0.2402597402597402,0.7018270335076311,-0.4194335413780905,-0.4346245329981304,24.0,126.27406068947134,787.695892323627,0.4727341542786218,3437,0.4210066918824556,0.5184926012231164,0.4345413027245676,0.448051948051948,2.704525616949238,0.0476848652384243,0.2402597402597402,0.5210178306318609,0.0448065173116089
lgb_arm_all103,confirmation,0.975,0.6271162178542559,68,13.56197770063748,-6.4380222993624745,-61.3823710158165,0.2352941176470588,0.8776462393552802,-0.205997807549333,-0.205997807549333,23.5,134.61992532500597,787.695892323627,0.4909176518981447,3437,0.4210066918824556,0.5184926012231164,0.4345413027245676,0.4852941176470588,6.4287425764603165,0.022805805114029,0.2352941176470588,0.5210178306318609,0.0197846959557753
