variant,phase,evidence_role,threshold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,pool_events,pool_runner_arm_rate,runner_arm_auc,runner_arm_average_precision,runner_arm_precision,runner_arm_precision_lift_pp,runner_arm_recall,profitable_runner_precision,positive_net_auc,selection_rate
signal_score,confirmation,exact_replay,0.7980809449680217,368,-3.343128594966543,-23.34312859496651,-66.303881079609,0.2146739130434782,0.630541787201697,-0.6508608992119445,-0.7656987273813763,20.0,122.20045342269614,904.397966036649,0.4288409625476018,3437,0.4210066918824556,0.4972943501196376,0.4161549196009794,0.3994565217391304,-2.155017014332522,0.1015894955079474,0.2065217391304347,0.4952143750641454,0.1070701192900785
signal_score,audit,diagnostic_audit,0.7980809449680217,460,15.94620668869982,-4.053793311300155,-52.036404059160496,0.2608695652173913,0.9193067740416508,-0.4406983844259445,-0.7220949009801083,20.0,154.1285609510824,1210.9709334192692,0.449052205652121,3746,0.4287239722370528,0.4874713399518162,0.4296695949364461,0.4391304347826087,1.0406462545555883,0.1257783312577833,0.2608695652173913,0.5008922629414537,0.1227976508275493
best_single_feature_arm,confirmation,exact_replay,-0.2,415,4.0586679799962235,-15.94133202000374,-58.63811962537101,0.2240963855421686,0.7174306398884595,-0.6544676545560414,-0.6941804096753066,21.0,157.614010475285,1218.165301415947,0.4335950243450839,3437,0.4210066918824556,0.4922801637767274,0.4166928320709617,0.4240963855421686,0.3089693659713011,0.1216309606081548,0.2240963855421686,0.4958009558039738,0.1207448356124527
best_single_feature_arm,audit,diagnostic_audit,-0.2,430,3.4595486164777167,-16.54045138352222,-50.437147050019504,0.227906976744186,0.6719978066834961,-0.7128128736984463,-0.729754085759957,19.5,119.9455231073044,667.041430055946,0.4028439001085222,3746,0.4287239722370528,0.5305030202162451,0.4459414449427801,0.4418604651162791,1.3136492879226247,0.1183063511830635,0.2209302325581395,0.5102277485481258,0.1147891083822744
strict_k1k2_rule,confirmation,exact_replay,0.5,209,-2.2806019630314807,-22.280601963031422,-53.461896638863,0.2248803827751196,0.5976233571590772,-0.5725606564009099,-0.5973493923868225,25.0,88.87975912309302,623.4945012639209,0.3734944465718876,3437,0.4210066918824556,0.5011102506311794,0.4301356442724583,0.4784688995215311,5.746220763907544,0.0691085003455425,0.2105263157894736,0.4981881793692263,0.0608088449228978
strict_k1k2_rule,audit,diagnostic_audit,0.5,221,-8.402787545152218,-28.402787545152183,-57.35968354362,0.1990950226244343,0.4820395172452146,-0.6971043097582231,-0.7258220690978262,19.0,83.30762306792701,824.963177275118,0.3770523038240929,3746,0.4287239722370528,0.4819144912186776,0.416834258883801,0.3665158371040724,-6.2208135132980455,0.0504358655043586,0.1945701357466063,0.4990025507675565,0.0589962626801922
lgb_arm_all103,confirmation,exact_replay,0.5807545206793576,320,4.233819760549585,-15.766180239450392,-60.103338064358,0.221875,0.7170163679159075,-0.6749506702322019,-0.682586204231981,23.0,132.15072253174478,787.695892323627,0.4610221838088771,3437,0.4210066918824556,0.5184926012231164,0.4345413027245676,0.415625,-0.538169188245563,0.0919143054595715,0.21875,0.5210178306318609,0.09310445155659
lgb_arm_all103,audit,diagnostic_audit,0.5807545206793576,358,2.4010450245206725,-17.598954975479295,-50.5612405625565,0.2458100558659217,0.6496735772464504,-0.7614415993466016,-0.8158309219170764,21.0,111.96092560150412,721.6839460831869,0.4109168555825011,3746,0.4287239722370528,0.5289254082238335,0.4526361484755963,0.4692737430167598,4.054977077970695,0.1046077210460772,0.2402234636871508,0.5336848982828338,0.0955686065136145
lgb_profitable_runner_all103,confirmation,exact_replay,0.617447363341371,378,5.263155453393465,-14.736844546606518,-83.27085279701649,0.2883597883597883,0.7927358919215334,-0.5127226757653873,-0.5314378584902703,29.0,218.2637358576326,829.788275535686,0.4585089766240517,3437,0.4210066918824556,0.5054873538389946,0.429710264949291,0.4126984126984127,-0.8308279184042977,0.1078092605390463,0.2777777777777778,0.5729168889525684,0.109979633401222
lgb_profitable_runner_all103,audit,diagnostic_audit,0.617447363341371,498,5.751951823765224,-14.248048176234718,-60.70459762795499,0.3012048192771084,0.7573825609184179,-0.6830178245924505,-0.7265699673427066,32.0,139.6814077823193,1382.55925700049,0.3799203142379236,3746,0.4287239722370528,0.5333128687980819,0.4612479733147236,0.4879518072289157,5.922783499186285,0.1513075965130759,0.2931726907630522,0.5762962693254525,0.1329418045915643
