phase,policy,mean_net_bp
development,Frozen runner baseline,-18.634752440133962
confirmation,Frozen runner baseline,-20.58171549034596
audit,Frozen runner baseline,-15.436000857205958
development,4-bar progress stop,-16.01452459798078
confirmation,4-bar progress stop,-20.89553050321981
audit,4-bar progress stop,-16.3658437538747
development,2-bar learned gate,-12.581048890245258
confirmation,2-bar learned gate,-18.309785948967505
audit,2-bar learned gate,-17.615837500149457
