arm,native_management_minutes,decision_minutes,zones,selected_zones,skipped_zones,skipped_emitted_requests,skipped_winners,skipped_losers,skipped_unknown_requests,unknown_selected_zones,finite_intentions,mean_net_bp_per_original_zone,net_event_sum_bp
5m_native40,5,5,959,959,0,0,0,0,0,0,959,-5.30481008053405,-5087.3128672321545
5m_native40_check15m,5,15,959,959,0,0,0,0,0,0,959,-4.900789068472343,-4699.856716664977
