outcome_check5m,outcome_check15m,n,delta_mean_bp
hard_stop,hard_stop,23,0.0
transition_colour_exit,hard_stop,3,-16.319994632575757
transition_colour_exit,transition_colour_exit,260,1.6785235940957857
