bar,runner_fraction,first_take_fraction,candidate_rows,decision_rows,runner_activated,runner_tp,all_folds_gross_positive,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H1_mean_net_bp,2023H2_events,2023H2_mean_net_bp,2024H1_events,2024H1_mean_net_bp,2024H2_events,2024H2_mean_net_bp,matched_events,matched_control_excess_bp,paired_signflip_p_one_sided
15m,0.0,1.0,1661,1661,79,0,False,345,6.489742328008792,-13.51025767199121,-38.492220228117915,0.34492753623188405,0.5799928777317725,-0.8976624218491099,-0.900150283264797,79,221,39,6,62,True,-16.35105745947292,-20.540228852589394,89,-7.700339681729633,62,-20.540228852589394,87,-7.9114617540423255,107,-18.821657043932763,345,6.8062548849782845,0.046509534904650957
15m,0.1,0.9,1661,1661,79,10,False,345,5.726640936270281,-14.273359063729721,-38.492220228117915,0.34492753623188405,0.5562695685748024,-0.9050145484138932,-0.9071891769704576,10,222,94,19,62,True,-17.10927370870427,-20.877053673376444,89,-8.50848360616376,62,-20.877053673376444,87,-9.258784549647098,107,-19.319273387565822,345,5.6282604657054485,0.07860921390786092
15m,0.25,0.75,1661,1661,79,10,False,345,4.58198884866251,-15.418011151337494,-38.492220228117915,0.34492753623188405,0.5206846048393476,-0.9151469330341331,-0.9169087031383212,10,222,94,19,62,True,-18.254003981692257,-21.382290904557014,89,-9.720699492814955,62,-21.382290904557014,87,-11.279768743054262,107,-20.06569790301541,345,3.861268836796191,0.16065839341606583
15m,0.5,0.5,1661,1661,79,10,False,345,2.6742353693162255,-17.32576463068378,-38.492220228117915,0.34202898550724636,0.4614155596960244,-0.9298713605415021,-0.9311551890071462,10,222,94,19,62,True,-20.18870102608725,-22.22435295652464,89,-11.741059303900277,62,-22.22435295652464,87,-14.648075732066191,107,-21.309738762098057,345,0.9162827886140973,0.4050659493405066
15m,0.75,0.25,1661,1661,79,10,False,345,0.7664818899699419,-19.23351811003006,-38.492220228117915,0.34202898550724636,0.4031437157735001,-0.9422269508579045,-0.9434498916788601,10,222,94,19,62,True,-22.173974940109836,-23.066415008492257,89,-13.761419114985605,62,-23.066415008492257,87,-18.016382721078127,107,-22.553779621180702,345,-2.028703259567997,0.6982430175698243
15m,1.0,0.0,1661,1661,79,10,False,345,-1.1412715893763417,-21.14127158937635,-38.60226645281627,0.33043478260869563,0.34507270961672437,-0.952557995416454,-0.9536892368905254,10,222,94,19,62,True,-24.23963356735344,-23.90847706045988,89,-15.781778926070928,62,-23.90847706045988,87,-21.384689710090065,107,-23.797820480263358,345,-4.973689307750089,0.8917110828891711
5m,0.0,1.0,9343,9343,141,0,False,755,2.6821426984126386,-17.317857301587363,-37.26734624236448,0.3827814569536424,0.35497442311556615,-0.9971106401265801,-0.9971106401265801,141,454,158,2,114,True,-17.684396079586293,-21.06814222464793,180,-21.06814222464793,114,-16.264488351127813,227,-16.911908113441832,234,-15.34000789949558,664,2.0490790586980765,0.12477875221247788
5m,0.1,0.9,9343,9343,141,49,False,755,2.8282029278677547,-17.17179707213225,-37.26734624236448,0.3827814569536424,0.3604146217569721,-0.9969134724996673,-0.9969134724996673,49,455,244,7,114,True,-17.56095909463167,-20.990290997720756,180,-20.990290997720756,114,-16.246861221332423,227,-16.660242242433508,234,-15.181355733358153,664,2.2518454728060298,0.1059989400105999
5m,0.25,0.75,9343,9343,141,49,False,755,3.0472932720504255,-16.95270672794958,-37.26734624236448,0.3827814569536424,0.3685749197190811,-0.996602114532442,-0.996602114532442,49,455,244,7,114,True,-17.37881311153666,-20.873514157330003,180,-20.873514157330003,114,-16.220420526639344,227,-16.28274343592102,234,-14.943377484152021,664,2.5559950939679608,0.08591914080859192
5m,0.5,0.5,9343,9343,141,49,False,755,3.4124438456882134,-16.587556154311788,-37.26734624236448,0.38145695364238413,0.3822648786712498,-0.9960423579360642,-0.9960423579360642,49,455,244,7,114,True,-17.082787107127654,-20.678886090012078,180,-20.678886090012078,114,-16.176352702150883,227,-15.653578758400217,234,-14.546747068808457,664,3.0629111292378446,0.06551934480655193
5m,0.75,0.25,9343,9343,141,49,False,755,3.7775944193260003,-16.222405580674003,-37.26734624236448,0.38145695364238413,0.3963714867053925,-0.9954338727181573,-0.9954338727181573,49,455,244,7,114,True,-16.79536219985714,-20.484258022694156,180,-20.484258022694156,114,-16.132284877662418,227,-15.024414080879401,234,-14.150116653464893,664,3.569827164507728,0.056469435305646944
5m,1.0,0.0,9343,9343,141,49,False,755,4.142744992963786,-15.857255007036219,-37.26734624236448,0.37350993377483444,0.410454387272439,-0.9947808056610056,-0.9947808056610056,49,455,244,7,114,True,-16.5155423201349,-20.289629955376235,180,-20.289629955376235,114,-16.088217053173953,227,-14.395249403358592,234,-13.753486238121335,664,4.076743199777613,0.05262947370526295
