symbol,timeframe_min,fold,variant,raw_events,admitted,actual_positions,censored_positions,a0_to_a_warmup_excluded,trades,win_rate,profit_factor,net_r,gross_return,net_return,max_drawdown_closed_trade
BTC,15,development,A0,460,460,310,0,0,310,0.2967741935483871,0.738140571357305,-55.976863501893384,-0.0572146551092223,-0.49325924390371445,0.5074858542342007
BTC,15,development,A,460,460,310,0,0,310,0.2967741935483871,0.738140571357305,-55.976863501893384,-0.0572146551092223,-0.49325924390371445,0.5074858542342007
BTC,15,development,B,460,142,111,0,0,111,0.2702702702702703,0.7877364774036545,-12.338615865631224,0.06373577919418594,-0.14814222849110503,0.24223610518188354
BTC,15,development,C,460,69,60,0,0,60,0.25,0.862087372611477,-6.589500498388161,0.0562954654696024,-0.06317510096210666,0.1994684669190786
BTC,15,development,D,460,69,60,0,0,60,0.25,0.862087372611477,-6.589500498388161,0.0562954654696024,-0.06317510096210666,0.1994684669190786
BTC,15,validation,A0,485,485,331,1,0,330,0.2515151515151515,0.7946789802719673,15.210849705142984,0.06089980109465021,-0.4520446221691782,0.5852864371869599
BTC,15,validation,A,485,485,331,1,0,330,0.2515151515151515,0.7946789802719673,15.210849705142984,0.06089980109465021,-0.4520446221691782,0.5852864371869599
BTC,15,validation,B,485,146,114,0,0,114,0.2543859649122807,0.8655287780521707,-2.950511724285984,0.09919752497332612,-0.12496915953472798,0.25492327477878984
BTC,15,validation,C,485,78,73,0,0,73,0.2876712328767123,0.9482678099197002,7.749214930345122,0.11311097625649791,-0.03805355947659639,0.19074616996367377
BTC,15,validation,D,485,78,73,0,0,73,0.2876712328767123,0.9482678099197002,7.749214930345122,0.11311097625649791,-0.03805355947659639,0.19074616996367377
BTC,30,development,A0,231,231,162,1,0,161,0.2857142857142857,0.7467492554294897,-23.339647608235907,-0.14884060730095794,-0.3836230196858169,0.4870157050516104
BTC,30,development,A,231,231,162,1,0,161,0.2857142857142857,0.7467492554294897,-23.339647608235907,-0.14884060730095794,-0.3836230196858169,0.4870157050516104
BTC,30,development,B,231,81,64,0,0,64,0.203125,0.34715135346860065,-40.40176318799618,-0.25399159723509546,-0.34410189892509735,0.34440983122926216
BTC,30,development,C,231,44,36,0,0,36,0.2777777777777778,0.32378570733533074,-16.48778639294722,-0.1886897495225469,-0.24542939894352123,0.2596012509103506
BTC,30,development,D,231,44,36,0,0,36,0.2777777777777778,0.32378570733533074,-16.48778639294722,-0.1886897495225469,-0.24542939894352123,0.2596012509103506
BTC,30,validation,A0,238,238,164,1,0,163,0.26993865030674846,0.8533020516528975,-5.835971190850556,0.011891476003276003,-0.26992068293685345,0.4290735119675648
BTC,30,validation,A,238,238,164,1,0,163,0.26993865030674846,0.8533020516528975,-5.835971190850556,0.011891476003276003,-0.26992068293685345,0.4290735119675648
BTC,30,validation,B,238,72,57,0,0,57,0.19298245614035087,0.6385255396211045,-6.482019196005586,-0.12034778784564881,-0.21544509266744571,0.3000535318871145
BTC,30,validation,C,238,38,33,0,0,33,0.21212121212121213,0.6509651257937743,-5.02751248650256,-0.09271532523365533,-0.15090814589053436,0.20755283303089822
BTC,30,validation,D,238,38,33,0,0,33,0.21212121212121213,0.6509651257937743,-5.02751248650256,-0.09271532523365533,-0.15090814589053436,0.20755283303089822
BTC,60,development,A0,131,131,84,1,0,83,0.2289156626506024,0.8149878413665327,-15.037550317875311,-0.13148402987862784,-0.26475081008351475,0.367778440696232
BTC,60,development,A,131,131,84,1,0,83,0.2289156626506024,0.8149878413665327,-15.037550317875311,-0.13148402987862784,-0.26475081008351475,0.367778440696232
BTC,60,development,B,131,37,28,1,0,27,0.18518518518518517,0.4879435786524358,-4.612794664163533,-0.16020272282485137,-0.20468918187956486,0.22652127648071896
BTC,60,development,C,131,23,22,0,0,22,0.18181818181818182,0.24176947367546836,-12.536780334903781,-0.2183130609786854,-0.2523720172141487,0.2523720172141487
BTC,60,development,D,131,23,22,0,0,22,0.18181818181818182,0.24176947367546836,-12.536780334903781,-0.2183130609786854,-0.2523720172141487,0.2523720172141487
BTC,60,validation,A0,124,124,81,0,0,81,0.2839506172839506,0.89714033407291,1.9829762898528918,-0.049299476880162896,-0.1918194841922869,0.31444917883080126
BTC,60,validation,A,124,124,81,0,0,81,0.2839506172839506,0.89714033407291,1.9829762898528918,-0.049299476880162896,-0.1918194841922869,0.31444917883080126
BTC,60,validation,B,124,34,27,0,0,27,0.2962962962962963,0.8370380661963619,1.3666169384053843,-0.05075933180877734,-0.10085259213173348,0.22724895155436153
