bar_open_utc,v5,v6,v6_evidence,v6_evidence_i,v6_reason,close
2026-08-19 12:00:00+00:00,False,False,True,2651.0,await_body,2.616e-06
2026-08-19 13:00:00+00:00,False,False,True,2651.0,await_body,2.596e-06
2026-08-19 14:00:00+00:00,False,False,True,2654.0,await_body,2.65e-06
2026-08-19 15:00:00+00:00,False,False,True,2654.0,await_momentum,2.691e-06
2026-08-19 16:00:00+00:00,True,True,False,,confirmed,2.714e-06
2026-08-19 17:00:00+00:00,False,False,False,,await_legacy,2.704e-06
2026-08-19 18:00:00+00:00,False,False,False,,await_legacy,2.706e-06
2026-08-19 19:00:00+00:00,False,False,False,,await_legacy,2.716e-06
2026-08-19 20:00:00+00:00,False,False,False,,await_legacy,2.755e-06
2026-08-19 21:00:00+00:00,False,False,False,,await_legacy,2.916e-06
2026-08-19 22:00:00+00:00,False,False,False,,await_legacy,2.89e-06
2026-08-19 23:00:00+00:00,False,False,False,,await_legacy,2.875e-06
2026-08-20 00:00:00+00:00,False,False,False,,await_legacy,2.908e-06
2026-08-20 01:00:00+00:00,False,False,False,,await_legacy,2.925e-06
2026-08-20 02:00:00+00:00,False,False,False,,await_legacy,2.906e-06
2026-08-20 03:00:00+00:00,False,False,False,,await_legacy,2.914e-06
2026-08-20 04:00:00+00:00,False,False,False,,await_legacy,2.952e-06
2026-08-20 05:00:00+00:00,False,False,False,,await_legacy,2.889e-06
2026-08-20 06:00:00+00:00,False,False,False,,await_legacy,2.936e-06
2026-08-20 07:00:00+00:00,False,False,False,,await_legacy,2.971e-06
2026-08-20 08:00:00+00:00,False,False,False,,await_legacy,3.191e-06
2026-08-20 09:00:00+00:00,False,False,False,,await_legacy,3.084e-06
2026-08-20 10:00:00+00:00,False,False,False,,await_legacy,3.116e-06
2026-08-20 11:00:00+00:00,False,False,False,,await_legacy,3.151e-06
