bar,entry_rule,max_wait_minutes,candidate_rows,decision_rows,all_folds_gross_positive,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H1_mean_net_bp,2023H2_events,2023H2_mean_net_bp,2024H1_events,2024H1_mean_net_bp,2024H2_events,2024H2_mean_net_bp,matched_events,matched_control_excess_bp,paired_signflip_p_one_sided
15m,immediate_next_open,0,1661,1661,False,345,6.4897423280088145,-13.510257671991193,-38.492220228117915,0.34492753623188405,0.579992877731773,-0.8976624218491096,-0.9001502832647967,79,221,39,6,62,True,-16.3510574594729,-20.540228852589355,89,-7.700339681729607,62,-20.540228852589355,87,-7.911461754042345,107,-18.821657043932724,345,7.6248229592965275,0.034489655103448966
15m,sweep_reclaim_15m,15,1661,1661,False,47,12.24798247899495,-7.752017521005055,-37.234390075645535,0.425531914893617,0.7188940923563264,-0.18100160164091994,-0.23110960209853282,13,27,7,0,7,False,-20.336534631126728,-39.0229339725082,13,15.637348087375576,7,-39.0229339725082,12,-8.147956965591396,15,-13.112955148564392,47,19.625962025650363,0.02003979960200398
15m,sweep_reclaim_30m,30,1661,1661,False,80,7.418643482877213,-12.58135651712279,-38.171436092598306,0.375,0.575252798219373,-0.39646018099061675,-0.4226662260044064,19,50,11,0,11,False,-16.045923858576103,-28.147634507985114,21,-5.9142370967406785,11,-28.147634507985114,25,-12.477128027353352,23,-11.33727661159126,80,5.90406036168579,0.1940580594194058
15m,sweep_reclaim_60m,60,1661,1661,False,115,5.258889962073296,-14.74111003792671,-38.75968278802986,0.3739130434782609,0.4902813844369251,-0.5486889561864642,-0.5682785268544117,25,72,18,0,14,True,-19.373878021711622,-28.713049277378648,26,-15.765618994887653,14,-28.713049277378648,33,-7.287701771848658,42,-15.305826479528221,115,2.51738137210999,0.3233167668323317
15m,sweep_reclaim_120m,120,1661,1661,False,145,1.3954177544800632,-18.60458224551994,-39.55620821360693,0.33793103448275863,0.4122029111378841,-0.6882515127327796,-0.7017832423584126,28,96,20,1,18,True,-21.101084901768154,-29.032185046758833,37,-18.51728766003217,18,-29.032185046758833,42,-14.565557677442396,48,-18.29566726843669,145,1.7312123977665883,0.35805641943580563
5m,immediate_next_open,0,9343,9343,False,755,2.6821426984126413,-17.317857301587363,-37.26734624236448,0.3827814569536424,0.3549744231155662,-0.9971106401265801,-0.9971106401265801,141,454,158,2,114,True,-17.6843960795863,-21.06814222464793,180,-21.06814222464793,114,-16.264488351127824,227,-16.91190811344184,234,-15.34000789949557,664,0.8643445014663956,0.3192068079319207
5m,sweep_reclaim_15m,15,9343,9343,True,241,3.805903019951188,-16.19409698004882,-37.37157110739629,0.38589211618257263,0.3964278385365257,-0.8418408055037445,-0.8418408055037445,47,147,47,0,28,True,-17.701485875155587,-17.269773419057156,53,-17.269773419057156,28,-16.90487009950272,77,-14.120346057083111,83,-17.191281587954936,241,3.624524698939545,0.12994870051299487
5m,sweep_reclaim_30m,30,9343,9343,True,315,4.507515242218334,-15.492484757781671,-37.33240491429755,0.3904761904761905,0.4126763267088369,-0.9129407501319443,-0.9129407501319443,60,191,64,0,35,True,-16.347063336151304,-16.222609509749425,77,-15.695131530122493,35,-12.698534210517618,94,-16.222609509749425,109,-15.616821831167265,315,3.2742913238871356,0.11441885581144189
5m,sweep_reclaim_60m,60,9343,9343,True,387,3.94058822812879,-16.059411771871215,-37.43944636678263,0.37467700258397935,0.4037477833663972,-0.9567271649663498,-0.9567271649663498,72,240,75,0,48,True,-17.341482958606502,-18.879231426569213,100,-14.774163374617661,48,-17.861004329532516,110,-18.879231426569213,129,-13.98087095745907,387,2.905549216707258,0.12373876261237388
5m,sweep_reclaim_120m,120,9343,9343,True,450,2.820237830002593,-17.179762169997414,-37.68476577701239,0.36666666666666664,0.37840134585878415,-0.9759660649506198,-0.9759660649506198,83,283,84,0,57,True,-18.12320936078392,-19.275471824131035,114,-16.04575680385967,57,-19.275471824131035,131,-18.685178491995828,148,-15.913624489404787,446,0.7469725897561984,0.37548624513754864
