target_trade_id,event,day,vol_bin,side,signal_i,target_net_return,target_gross_return,choices,matched,control_signal_i,control_entry_time,reason,control_net_return,control_gross_return,control_exit_time,excess_net_return
1,2026-03-01T00:45:00+00:00|1,2026-03-01,2,1,20336,-0.007437034233367832,-0.005437034233367832,161,True,20460,2026-03-01 11:05:00+00:00,matched,-0.007781132759584473,-0.005781132759584473,2026-03-01 13:05:00+00:00,0.0003440985262166407
2,2026-03-01T06:05:00+00:00|1,2026-03-01,2,1,20400,-0.007605090459377959,-0.005605090459377959,161,True,20408,2026-03-01 06:45:00+00:00,matched,-0.008379137412236724,-0.006379137412236724,2026-03-01 08:55:00+00:00,0.0007740469528587646
3,2026-03-02T09:25:00+00:00|-1,2026-03-02,2,-1,20728,-0.00971482184013528,-0.0077148218401352775,164,True,20667,2026-03-02 04:20:00+00:00,matched,-0.00877332710498657,-0.006773327104986571,2026-03-02 05:45:00+00:00,-0.0009414947351487086
4,2026-03-02T23:45:00+00:00|1,2026-03-02,2,1,20900,-0.008439896764260267,-0.006439896764260267,164,True,20719,2026-03-02 08:40:00+00:00,matched,0.012279434201339479,0.01427943420133948,2026-03-02 09:25:00+00:00,-0.020719330965599747
5,2026-03-03T14:20:00+00:00|-1,2026-03-03,2,-1,21075,-0.009091836994814972,-0.007091836994814971,204,True,21029,2026-03-03 10:30:00+00:00,matched,-0.009034376603386463,-0.007034376603386461,2026-03-03 10:50:00+00:00,-5.7460391428509894e-05
6,2026-03-04T05:05:00+00:00|-1,2026-03-04,2,-1,21252,-0.008747273274775312,-0.006747273274775312,173,True,21472,2026-03-04 23:25:00+00:00,matched,-0.007979972732828909,-0.005979972732828909,2026-03-05 01:15:00+00:00,-0.000767300541946403
7,2026-03-04T10:50:00+00:00|1,2026-03-04,3,1,21321,-0.010804587475341187,-0.008804587475341186,109,True,21370,2026-03-04 14:55:00+00:00,matched,0.04183473425702977,0.04383473425702977,2026-03-04 19:10:00+00:00,-0.05263932173237096
8,2026-03-04T21:15:00+00:00|1,2026-03-04,2,1,21446,-0.009992539053392369,-0.007992539053392367,173,True,21461,2026-03-04 22:30:00+00:00,matched,-0.008008922762338664,-0.006008922762338664,2026-03-04 22:45:00+00:00,-0.0019836162910537043
9,2026-03-05T04:15:00+00:00|-1,2026-03-05,2,-1,21530,-0.007647032249260109,-0.005647032249260109,226,True,21536,2026-03-05 04:45:00+00:00,matched,0.008060945663409536,0.010060945663409537,2026-03-05 05:45:00+00:00,-0.015707977912669646
10,2026-03-05T10:00:00+00:00|1,2026-03-05,2,1,21599,0.006307250605982253,0.008307250605982253,226,True,21523,2026-03-05 03:40:00+00:00,matched,0.0042410326588788756,0.006241032658878876,2026-03-05 04:15:00+00:00,0.002066217947103377
11,2026-03-05T11:55:00+00:00|1,2026-03-05,2,1,21622,-0.00883879906756424,-0.0068387990675642385,226,True,21531,2026-03-05 04:20:00+00:00,matched,-0.007642014199069068,-0.0056420141990690675,2026-03-05 05:40:00+00:00,-0.0011967848684951727
