candidates,valid,matched,invalid,natural_exits,censored,mean_net_bp,mean_gross_bp,wins,win_rate,natural_wins,natural_win_rate,median_peak_r,median_net_r,max_peak_r,max_net_r,paired_actual_net_bp,paired_random_net_bp,mean_excess_bp,asset_balanced_excess_bp,permutation_assets,permutation_p,account_return_not_computed,arm,period,signals,alerts_per_day,alerts_per_100_asset_days,positive_events,hits_1,recall_1,event_match_rate,unknown_match,forward_known,forward_success_rate,random_forward_success_rate,holm_p
1414,1414,1394,0,1290,124,121.32145806194909,141.3214580619491,511,0.3613861386138614,431,0.33410852713178296,1.1068540244792584,-1.0283648279583626,56.23333333333337,33.31074222222226,115.19797391519582,186.08815174835522,-70.89017783315938,-2.7103305104937196,271,0.5302469753024698,True,v2,full,1414,23.18032786885246,8.587957222174422,1660,180,0.10843373493975904,0.23903818953323905,19,1395,0.2537634408602151,0.2650279873448528,1.0
656,656,645,0,656,0,-139.87820301009677,-119.87820301009678,158,0.24085365853658536,158,0.24085365853658536,0.8709775349119604,-1.0410498866213156,19.732544378698222,12.039725190839707,-139.98085155004466,45.85170449027589,-185.83255604032058,-154.83008481570366,257,1.0,True,v2,first31,656,21.161290322580644,7.880708182541708,630,76,0.12063492063492064,0.21036585365853658,0,656,0.18445121951219512,0.22390396659707723,
758,758,749,0,634,124,347.3728797812922,367.3728797812922,353,0.4656992084432718,273,0.4305993690851735,1.4116584564860437,-0.466065149253731,56.23333333333337,33.31074222222226,334.94475952945504,306.85251554202836,28.09224398742668,124.77930865698447,268,0.0033996600339966003,True,v2,last30,758,25.266666666666666,9.31113374518244,1030,104,0.10097087378640776,0.2638522427440633,19,739,0.3152909336941813,0.3009575923392613,
80,80,77,0,80,0,1896.2668864024577,1916.2668864024577,77,0.9625,77,0.9625,7.82619868190341,4.784361140724951,40.166666666666636,20.098083333333317,1909.0049023112692,940.0560836022706,968.948818708999,968.948818708999,77,9.999000099990002e-05,True,v2,case_night,80,160.0,59.04059040590406,144,26,0.18055555555555555,0.6,0,80,0.8125,0.4672489082969432,
65,65,61,0,65,0,-353.0771239694763,-333.0771239694763,8,0.12307692307692308,8,0.12307692307692308,0.6007604562737637,-1.039677419354838,4.753378378378386,2.2122229729729805,-349.6570769929254,-77.76031235649995,-271.8967646364255,-261.57041815176933,58,1.0,True,v2,week_2026-07-06,65,21.666666666666668,8.122038840006248,51,8,0.1568627450980392,0.27692307692307694,0,65,0.2,0.2471264367816092,
135,135,135,0,135,0,-162.25336762212862,-142.25336762212865,28,0.2074074074074074,28,0.2074074074074074,0.6104783599088857,-1.043425,19.6259541984733,12.039725190839707,-162.25336762212862,19.357289250097015,-181.6106568722257,-145.72158187502163,116,0.9935006499350065,True,v2,week_2026-07-13,135,19.285714285714285,7.200640056893946,111,10,0.09009009009009009,0.14074074074074075,0,135,0.14814814814814814,0.14962593516209477,
134,134,133,0,134,0,-217.01251797998165,-197.01251797998165,26,0.19402985074626866,26,0.19402985074626866,0.872551243007408,-1.041625747442087,11.849206349206336,5.669380952380943,-216.23480435206216,60.94982451159213,-277.1846288636543,-292.26078096206317,112,1.0,True,v2,week_2026-07-20,134,19.142857142857142,7.116303770578863,172,16,0.09302325581395349,0.17164179104477612,0,134,0.20149253731343283,0.23929471032745592,
123,123,120,0,123,0,-195.2859059740458,-175.28590597404573,31,0.25203252032520324,31,0.25203252032520324,0.8703703703703692,-1.0339194630872481,16.97468354430382,7.28905000000002,-212.27957093396793,95.63989313482692,-307.9194640687948,-284.6123572581272,106,0.9998000199980002,True,v2,week_2026-07-27,123,17.571428571428573,6.532129580456718,98,17,0.17346938775510204,0.2601626016260163,0,123,0.1951219512195122,0.24512534818941503,
199,199,196,0,199,0,31.12542892716084,51.12542892716085,65,0.32663316582914576,65,0.32663316582914576,1.3183640737770663,-1.0437971014492746,19.732544378698222,8.827928994082837,36.62456411570111,61.843778392808,-25.219214277106857,13.353253912468952,165,0.45685431456854314,True,v2,week_2026-08-03,199,28.428571428571427,10.568242166755178,198,25,0.12626262626262627,0.23115577889447236,0,199,0.18592964824120603,0.24444444444444444,
111,111,111,0,110,1,-96.43343625895939,-76.43343625895936,27,0.24324324324324326,26,0.23636363636363636,0.491891891891894,-1.0426081504702198,37.129554655870464,23.58127327935224,-96.43343625895939,127.95078816584792,-224.38422442480723,-233.21420130809977,93,0.999000099990001,True,v2,week_2026-08-10,111,15.857142857142858,5.865257595772787,107,9,0.08411214953271028,0.21621621621621623,0,111,0.15315315315315314,0.17417417417417416,
