arm,feature,n,top_n,descriptive_auc,top_gross_bp,top_net_bp,top_win_rate,top_matched_actual_bp,top_random_bp,top_excess_bp,val_auc
v2,relative_volume,1414,142,0.5184674698168531,-91.46318629863268,-111.46318629863268,0.33098591549295775,-108.36871289784625,91.18717066503221,-199.5558835628784,not_applicable_no_training
v2,tr_expansion,1414,142,0.533568253679299,170.96619682441383,150.96619682441377,0.4014084507042254,151.043410172298,128.99137873801308,22.052031434284906,not_applicable_no_training
episode,relative_volume,1381,139,0.5253872790231456,-93.72221654900933,-113.72221654900935,0.3381294964028777,-110.64275606650288,100.08198663478441,-210.72474270128728,not_applicable_no_training
episode,tr_expansion,1381,139,0.5401334973573902,205.63657267598597,185.63657267598592,0.41007194244604317,187.2796047844197,131.66151018612268,55.618094598297,not_applicable_no_training
