quantile,net_r,net_bp,mfe_r,hold_h,initial_risk_frac,bars_after_v9,entry_premium_pct
0.0,-1.5341711999999907,-3635.045275133503,0.0,0.0,0.0037441179906367,0.0,-6.568903173965445
0.01,-1.1446674509803942,-1218.8345779487372,0.0,1.0,0.012244055068836069,0.0,-2.1105642247369434
0.1,-1.092379762537657,-628.8045606215446,0.10600274881599506,5.0,0.01956070038143574,0.0,-0.24819816729315214
0.25,-1.0649670175331147,-425.53133804414455,0.32393462051256716,13.0,0.02530575822040585,1.0,0.0
0.5,-1.0373493975903625,-278.66666666666504,1.0249999999999972,33.0,0.0356993736951982,6.0,0.85013541980139
0.75,0.2945213680224885,89.71965567833249,2.5779017420238777,71.0,0.05122597891177525,25.0,3.3751453199105885
0.9,1.9754761338116829,691.3699062439474,5.100384295803887,118.0,0.0760995143912374,65.0,6.747177447780359
0.95,3.389858131173515,1251.884538498206,7.610253759664654,147.0,0.09719379733807525,93.09999999999991,9.752934944367254
0.99,7.692224358120652,3110.088591303905,14.594675128533789,240.13999999999987,0.13935064073379155,142.03999999999996,21.276626506024087
1.0,33.99709090909101,15214.972677595635,55.87878787878801,564.0,0.3615045275133503,359.0,92.49600851516763
