timeframe,arm,period,closed,wins,win_rate,mean_net_r,mean_gross_r,mean_net_original_r,mean_net_bp,mean_gross_bp,sum_net_r,sum_net_bp,profit_factor_r,median_initial_risk_pct,mean_hold_hours,cross_split_closed,censored_total,matched,coverage,paired_actual_r,random_r,paired_actual_bp,random_bp,excess_r,excess_bp,random_original_r,excess_original_r,r_blocks,r_mean_ci_low,r_mean_ci_high,r_p_month_signflip,bp_blocks,bp_mean_ci_low,bp_mean_ci_high,bp_p_month_signflip
1h,baseline,full,2199,612,0.2783083219645293,-0.0921460523969922,-0.0298183545456659,-0.0921460523969922,-62.55518224335191,-42.555182243351894,-202.62916922098591,-137558.84575313085,0.8705494267460808,3.5699373695198195,50.3087767166894,48,2,2185,0.9936334697589814,-0.096484717264746,-0.1090650294079764,-63.35931425750619,-42.37649464732944,0.0125803121432304,-20.98281961017676,-0.1090650294079764,0.0125803121432304,20,-0.0832077558233482,0.1251836669051994,0.3933033483258371,20,-77.76914901521128,36.196853549558426,0.7581209395302348
1h,baseline,earlier,1074,324,0.3016759776536313,-0.0539758553237492,0.0061694861391377,-0.0539758553237492,-52.68603190473482,-32.686031904734804,-57.97006861770664,-56584.7982656852,0.9213771794961324,3.689509739665975,49.207635009310984,48,2,1065,0.9916201117318436,-0.0467632483517401,-0.0835212691853726,-49.6942611862247,-21.508025712120254,0.0367580208336325,-28.186235474104446,-0.0835212691853726,0.0367580208336325,13,-0.1365304294918924,0.1936328128403628,0.3258370814592704,13,-123.5209872612203,66.99268769676881,0.6881559220389805
1h,baseline,later,1077,247,0.2293407613741875,-0.227843731898351,-0.1643524374307976,-0.227843731898351,-96.20425195441057,-76.20425195441052,-245.38769925452408,-103611.97935490016,0.7017979115453342,3.4689191405609296,48.23769730733519,48,2,1063,0.9870009285051068,-0.2385490472784649,-0.2062093680498641,-98.30031538515556,-76.77977052160075,-0.0323396792286008,-21.520544863554793,-0.2062093680498641,-0.0323396792286008,8,-0.1698394148072629,0.1297700072571178,0.6591704147926037,8,-98.28153087672946,42.01002238441485,0.7236381809095452
1h,age6,full,1151,342,0.2971329278887923,-0.0764097922453059,-0.0185996489887118,-0.0764097922453059,-73.34735169623329,-53.34735169623329,-87.94767087434717,-84422.80180236451,0.8860765583364247,3.85477582846002,55.73066898349261,32,2,1144,0.9939183318853172,-0.0840083059340673,-0.1166970101391419,-74.9787382883037,-23.389530060105027,0.0326887042050746,-51.58920822819869,-0.1166970101391419,0.0326887042050746,20,-0.1007393814152421,0.1786940265275241,0.335832083958021,20,-123.014745238987,26.06698268548213,0.895552223888056
1h,age6,earlier,543,181,0.3333333333333333,-0.004692049844533,0.0519284279025058,-0.004692049844533,-37.308411214477346,-17.308411214477342,-2.547783065581445,-20258.4672894612,0.992553678664398,3.9852008456659695,54.548802946593,32,2,537,0.988950276243094,0.004167170962346,-0.044170059391992,-32.56657952828374,19.80058188605779,0.0483372303543381,-52.36716141434153,-0.044170059391992,0.0483372303543381,13,-0.19144354309907,0.302104135279475,0.351824087956022,13,-182.4471420945592,82.5407891746062,0.7461269365317341
1h,age6,later,576,133,0.2309027777777778,-0.2723869704162321,-0.2153142066213362,-0.2723869704162321,-136.4400829675008,-116.44008296750076,-156.8948949597497,-78589.48778928045,0.632138338130732,3.8309869599398847,53.072916666666664,32,2,569,0.9878472222222222,-0.2900750897609412,-0.2796643037523001,-140.49624356544004,-79.93032106804557,-0.010410786008641,-60.56592249739447,-0.2796643037523001,-0.010410786008641,8,-0.1598462262616933,0.1920441177866307,0.553223388305847,8,-147.4018320669774,13.071329891501444,0.8910544727636182
1h,parent_stop,full,2195,660,0.3006833712984054,-0.0436367865086931,-0.0003681841403156,-0.1086490902607796,-74.25641805730378,-54.256418057303755,-95.7827463865814,-162992.8376357818,0.9275540300900784,5.52802134959968,77.64100227790433,67,6,1944,0.8856492027334852,-0.0226309035594823,-0.2151974622249542,-50.82831497328718,-42.06634161524731,0.1925665586654719,-8.761973358039864,-0.1051487371324642,0.0679902071564787,20,0.0605196307447217,0.3338787508316763,0.009495252373813,20,-101.15657904541204,89.98127797091476,0.5567216391804098
1h,parent_stop,earlier,1055,341,0.3232227488151659,-0.0101589422251913,0.0307265891096829,-0.076295425527362,-69.66986041393005,-49.66986041393005,-10.71768404757691,-73501.7027366962,0.9827462562035368,6.03102189781022,77.88720379146919,67,6,935,0.8862559241706162,0.0388328319148589,-0.1855947162895028,-24.466261271732023,-20.55853071887376,0.2244275482043617,-3.9077305528582658,-0.0978789490961018,0.1440211401730443,13,-0.0207393972745535,0.4457519777341001,0.0554722638680659,13,-189.668826487429,173.0570620289412,0.5097451274362819
1h,parent_stop,later,1073,270,0.2516309412861137,-0.1564609482047522,-0.1120862961655692,-0.2436706815617085,-104.736079306918,-84.73607930691797,-167.88259742369917,-112381.81309632302,0.7566886876680151,5.23021904336164,73.75116495806151,67,6,936,0.8723205964585274,-0.1686051663700114,-0.3777184430129119,-102.77430510725556,-100.07134417527544,0.2091132766429005,-2.7029609319801255,-0.2889785939572679,0.0612882329118667,8,0.1029423841283559,0.3305300403219542,0.0089955022488755,8,-78.60571644912922,62.10514306564529,0.5182408795602199
1h,wick_arm,full,2199,621,0.2824010914051841,-0.0950437260085481,-0.0327160281572218,-0.0950437260085481,-63.544895897867264,-43.54489589786725,-209.00115349279747,-139735.22607941012,0.863508448136986,3.5699373695198195,48.25511596180082,44,2,2185,0.9936334697589814,-0.0989935842586598,-0.1104071026197614,-64.27924830371262,-43.50402700264247,0.0114135183611016,-20.775221301070143,-0.1104071026197614,0.0114135183611016,20,-0.0840062110962711,0.1239729468246784,0.4012993503248376,20,-77.81206538199702,36.84029656549921,0.7546226886556722
