symbol,n,net_r_sum,net_bp_sum
0GUSDT,3,-0.7221738704855172,-337.54185811503805
1000000BOBUSDT,1,-0.3293257575757568,-441.106037544392
1000000MOGUSDT,5,9.881712504771702,5757.216814581255
1000BONKUSDT,4,-0.9475510134193064,118.16914027343307
1000CATUSDT,5,-1.2134001712397233,-997.5747844923121
1000CHEEMSUSDT,5,-5.26590708226391,-2294.4539418582717
1000FLOKIUSDT,7,3.2760960526659235,1184.7203313234872
1000LUNCUSDT,5,-2.3095185776973834,-642.3343781304781
1000PEPEUSDT,9,-3.0694717741540067,-2078.000781142937
1000RATSUSDT,3,-1.421486343434069,-618.219977157737
1000SATSUSDT,4,-3.081261242666954,-1103.715622784325
1000SHIBUSDT,8,-2.0078291612162014,-1010.5670964803282
1000WHYUSDT,2,-1.5840079760717876,-681.417910447764
1000XECUSDT,9,-6.955140444464818,-2272.510824757817
1000XUSDT,3,-1.2552958261863794,-639.739238971452
1INCHUSDT,6,-5.657999430780721,-1717.6190796598978
1MBABYDOGEUSDT,5,1.080985535198849,269.53247674830686
2ZUSDT,1,-1.070580645161292,-303.363802559414
42USDT,2,-1.331193975844703,-446.13918999464397
4USDT,3,1.223127723529586,1027.977902627397
A2ZUSDT,2,-2.042601212615617,-2279.181321005472
AAVEUSDT,3,2.2695710507785174,689.2023625007031
ACEUSDT,6,-4.219195421734503,-1667.64613606876
ACHUSDT,5,-5.248754335160612,-2588.379194069414
ACTUSDT,3,2.9152058752426253,133.97762371045008
ACXUSDT,7,20.833934181801474,8235.49870894959
ADAUSDT,7,-5.477908329096789,-1356.9696097094686
AEROUSDT,3,6.272697371651498,3252.8233238099433
AEVOUSDT,4,4.839926162260227,1515.802984762399
AGLDUSDT,2,-0.09654663205355662,389.0459442566239
AGTUSDT,5,-5.163301029913818,-3607.124241627063
AI16ZUSDT,2,-0.22548487398712636,-26.818531604310976
AINUSDT,1,2.1630967741935487,1637.509157509158
AIOUSDT,2,-2.0696633547803494,-1305.373218894535
AIUSDT,4,15.636184642474266,4036.59211925426
AIXBTUSDT,11,-10.781841997333572,-6282.588112331011
AKEUSDT,3,5.163990545271837,3337.836155517022
AKTUSDT,3,-3.1653330115333107,-1372.844474095599
ALCHUSDT,3,11.720652115524231,2592.062825135302
ALGOUSDT,6,-5.985855170169251,-3003.373744615431
ALICEUSDT,3,-3.204836819500933,-959.983674903163
ALLOUSDT,2,0.0687676003092482,61.842832047675
ALLUSDT,2,-2.210001740086087,-446.50821169956794
ALPACAUSDT,1,-1.03693142272262,-561.54426029599
ALPHAUSDT,2,-0.9688169244896507,-309.850519725161
ALPINEUSDT,2,-0.9817892583120188,-195.740386481465
ALTUSDT,10,5.859716764409841,1601.1739858390238
ANIMEUSDT,4,-2.993645203905837,-1054.473028996007
ANKRUSDT,5,8.129838003305586,1494.5766336670108
APEUSDT,3,-1.008406494128905,-259.89491633867897
API3USDT,4,-0.32043409173697035,156.01028018822504
APRUSDT,1,-1.0248048780487795,-826.293018682398
APTUSDT,5,-2.6418647972467943,-727.8351752069891
ARBUSDT,9,-3.532830041582477,-1103.2292966449297
ARCUSDT,2,5.810190647367078,2929.250507181846
ARIAUSDT,2,-2.065565785752056,-1460.000848014041
ARKMUSDT,3,1.089524767428584,389.94368259405
ARKUSDT,10,1.9935313818154863,-15.424470681387874
ARPAUSDT,4,5.33048581009371,1649.6217507021365
ARUSDT,6,-1.8663991604124237,-360.1354309888823
ASRUSDT,5,-4.76642976511336,-2112.658723763661
ASTERUSDT,1,-1.0680467289719615,-313.91567092432206
ASTRUSDT,9,-5.887023737977342,-2438.3208937978693
ATAUSDT,5,-4.178033231029975,-1449.523036316601
ATHUSDT,7,-6.337151620837417,-2522.736886715954
ATOMUSDT,1,-1.1366400000000014,-166.370023419203
ATUSDT,3,-3.2540287970289974,-861.779033075326
AUCTIONUSDT,7,-3.3471089444991105,-1470.837489018359
AUSDT,3,-3.157635689216736,-1201.89169725441
AVAAIUSDT,5,-3.2546633403654814,-2102.718746729472
AVAUSDT,5,-2.9403297194898874,-986.6877348142161
AVAXUSDT,3,4.119393219657505,590.443204370298
AVNTUSDT,1,-1.072824156305505,-294.634146341461
AWEUSDT,2,0.804414215686289,124.31124147971002
AXLUSDT,5,1.2988908474229481,-67.45018317643502
AXSUSDT,12,-6.371071989002669,-2221.828500713859
B2USDT,3,-1.7323632950763908,-569.2345326230511
B3USDT,5,-5.275698318265153,-2103.195240466479
BABYUSDT,3,-3.1149218897549806,-1733.670360188024
BAKEUSDT,3,-2.828567338434061,-1822.4034619226918
BALUSDT,1,2.3801176470588454,397.075564278706
BANANAS31USDT,4,-4.103996154630299,-1537.4679403056389
BANANAUSDT,10,5.393640653870547,1483.478985221625
BANDUSDT,8,-8.278487897367267,-3468.4522582744094
BANUSDT,8,12.957594547850098,4107.115100681738
BARDUSDT,1,-1.0547394957983205,-385.366902057107
BASUSDT,1,2.041480181200451,2017.151009903204
BATUSDT,4,-1.4987541000584383,-345.14824579286295
BBUSDT,7,3.1976438982442725,753.564856914661
BCHUSDT,3,-3.1233178954474745,-1716.239742828929
BEAMXUSDT,7,-2.959071666775675,-2487.5757541651096
BELUSDT,4,-3.87519856670734,-2076.926472606235
BERAUSDT,6,5.076858404328728,5002.564510373798
BICOUSDT,6,-2.747238103185245,-622.918500305032
BIDUSDT,1,-1.0618007662835265,-343.62058276503205
BIGTIMEUSDT,9,-1.9369200646748246,-959.922640683288
BIOUSDT,6,-6.224094644073233,-5894.613368695739
BIRBUSDT,2,3.3892611245696824,1001.3576751838069
BLESSUSDT,2,-2.070501627364285,-1180.490611280372
BLUAIUSDT,1,-1.055027932960893,-383.451776649744
BLURUSDT,4,5.299242476077417,2376.208897329021
BLZUSDT,1,0.0521658374792738,24.628875665519
BMTUSDT,4,-3.8823449571924495,-1558.6739692619099
BNBUSDT,4,-2.284505189243207,-536.240585246835
BNTUSDT,3,-0.7065039134382092,-241.21277368024602
BOMEUSDT,6,2.4839834294693555,496.4265197145769
BRETTUSDT,3,6.027853809286411,1654.2828630945921
BROCCOLI714USDT,5,-0.4785768346087478,-304.9248650652878
BROCCOLIF3BUSDT,5,-3.0132714678253856,-1156.705604076386
BSVUSDT,5,-2.596159558439639,-259.28626685886707
BSWUSDT,2,7.072469411764752,2149.646038970286
BTCDOMUSDT,4,-3.725597800821146,-325.812150705637
BTCUSDT,4,2.523905239895943,288.937633702746
BTRUSDT,2,2.053053508771945,1409.525881738142
BULLAUSDT,3,27.86538760234607,10429.572082835524
BUSDT,2,5.06808293639677,1242.3640661938541
C98USDT,2,-0.8058147059258092,-146.66238392034202
CAKEUSDT,3,-0.2832109737373445,-348.255765498012
CARVUSDT,2,-1.2492753507174432,-416.87226474782096
CATIUSDT,11,-6.8648209901302675,-1260.981009007162
CCUSDT,1,-1.0719049676025922,-298.144899675597
CELOUSDT,3,-0.7133233868636597,-139.55686913316612
CELRUSDT,7,0.21582250622828214,-754.859323331934
CFXUSDT,5,8.027753772333156,1623.1946497870852
CGPTUSDT,4,-3.275864274137066,-1042.496325426393
CHESSUSDT,6,-0.46541096695434714,-56.17782909423602
CHILLGUYUSDT,4,-2.4763842649000387,-1834.426085566652
CHRUSDT,5,-2.4121303128494507,-923.3972354863822
CHZUSDT,6,0.17960444942531364,153.52636014258195
CKBUSDT,6,-6.412065718447855,-2408.228168139895
CLANKERUSDT,1,-0.8145654450261787,-557.44177714081
CLOUSDT,1,-1.0293911620294598,-700.476667780375
COAIUSDT,2,-1.731323600973235,-823.020401247001
COLLECTUSDT,1,0.0750549450549468,71.145833333334
COMBOUSDT,2,-0.816296296296297,-107.42898390806201
COMMONUSDT,1,-1.0799500000000002,-270.156347717324
COMPUSDT,5,-1.1560130283721932,402.0138556989981
COOKIEUSDT,4,-1.9416802052105138,-1228.3483822866597
COSUSDT,4,-4.276526453504044,-1747.69173743097
COTIUSDT,7,-0.4122658220432027,-776.1528870276392
COWUSDT,6,-1.7379442786335952,-1077.413025764127
CRVUSDT,2,-1.8176426935410035,-654.691917262456
CTKUSDT,2,0.3116345914954616,157.37258895957194
CTSIUSDT,6,-5.1773156276835435,-1679.077260970645
CUDISUSDT,3,-3.1361865833705185,-1878.997153816488
CUSDT,1,1.531877192982461,965.896017699117
CVCUSDT,4,2.975880206385131,588.0087117316041
CVXUSDT,1,-1.0591129032258049,-358.33560709413297
CYBERUSDT,6,-3.402686369032771,-1208.480348711694
CYSUSDT,2,6.295515932036447,6662.747879973908
DASHUSDT,1,-1.047836956521738,-438.086798454895
DEEPUSDT,6,-2.628824318842751,-1097.58811949305
DEFIUSDT,3,-0.1582552717663328,81.316176166567
DEGENUSDT,4,-3.2044739191338927,-2325.4311249386783
DEGOUSDT,3,1.5867336873652778,739.581900575899
DENTUSDT,3,-2.706848510813905,-1615.9342922976361
DEXEUSDT,1,-1.0627322970639017,-338.81504322449103
DFUSDT,3,-2.817851031510222,-1293.140056231812
DIAUSDT,5,5.631097715206853,827.040311641218
DODOXUSDT,7,-3.4180043050918387,-958.268605709043
DOGEUSDT,4,3.447591291287581,-175.23083883816707
DOGSUSDT,7,-7.45732172579169,-2888.9048426248273
DOLOUSDT,3,-3.103132320766679,-1921.530063806856
DOODUSDT,1,8.477353574926518,2720.875797680049
DOTUSDT,5,-3.06760915420221,-1120.590862666314
DRIFTUSDT,8,-5.768348817429282,-2977.53204029717
DUSDT,3,-3.1329430702728525,-1604.760859416237
DUSKUSDT,3,-2.7943257492558313,-1537.279374689146
DYDXUSDT,5,2.261379758631352,498.2890157515769
DYMUSDT,5,5.620342450336916,2502.428592023078
EDENUSDT,3,-1.60191218727812,-952.705787202245
EDUUSDT,2,1.0449988917338735,178.622341174816
EGLDUSDT,4,-2.2951473540018132,-251.15519194827996
EIGENUSDT,3,1.9051205210445605,487.2175385579791
ENAUSDT,5,2.0758468134078414,1426.5573589407788
ENJUSDT,5,12.721844447230175,2796.3245337525655
ENSOUSDT,1,-1.0371849999999998,-557.851284119941
ENSUSDT,9,-5.978990545144944,-1725.2671244446412
EPICUSDT,6,-5.4566538983221875,-2127.912901764629
EPTUSDT,3,-1.1236984775915184,-524.613026804552
ERAUSDT,6,-0.4900763480669871,-47.231375724909014
ESPORTSUSDT,1,-1.0603061224489805,-351.64128595600505
ETCUSDT,7,-4.7905952751539544,-1116.629018435639
ETHFIUSDT,2,2.957388965644296,849.7111768206261
ETHUSDT,2,-2.0493048502673474,-758.2827254867259
ETHWUSDT,4,2.047895552202461,422.12866889970303
EULUSDT,3,1.0740017956512218,101.98239755433997
EVAAUSDT,1,-1.059496688741723,-356.153161175422
FARTCOINUSDT,3,2.1156269375473054,3966.0759011017985
FETUSDT,9,-5.128955823035736,-2373.4765407856053
FFUSDT,6,-6.403244223246347,-2610.4529647787867
FHEUSDT,3,-0.8512907774160994,244.38175146733693
FIDAUSDT,7,-1.1885706224839936,-1179.398347266718
FIGHTUSDT,1,-1.0262936096718485,-780.6410930110361
FILUSDT,3,-1.6850926092500447,-622.8566885395329
FIOUSDT,3,-2.337285068940102,-577.921428559073
FISUSDT,3,-2.319784605772551,-1727.624489572318
FLMUSDT,1,-1.0506153846153847,-415.1367781155
FLOCKUSDT,1,-1.0540082644628108,-390.313695485846
FLOWUSDT,3,-2.7030501687602584,-1306.703400618553
FLUIDUSDT,2,4.952380000000031,2129.068572043706
FLUXUSDT,8,1.940741407018549,27.841327578574123
FOGOUSDT,1,-1.0923586744639378,-236.547066272688
FORMUSDT,2,1.4642727027027078,1195.981312683775
FORTHUSDT,1,-1.0336258064516126,-614.781273983114
FRAXUSDT,1,-1.0556977777777792,-379.080753271624
FTMUSDT,1,-1.0615206611570251,-345.094035464802
FUNUSDT,1,-1.088600000000002,-245.733634311513
FUSDT,1,0.6504568345323744,504.18792694827806
FXSUSDT,3,-1.6368558239517013,-483.10734460369895
GALAUSDT,6,2.553949663955798,1045.132046636269
GASUSDT,5,2.115275535275525,1254.305851852626
GHSTUSDT,5,4.478619277468543,601.2019706883291
GIGGLEUSDT,2,-0.26043540372670626,51.732298624101986
GLMUSDT,8,-5.693277746116459,-1757.522423739818
GMTUSDT,6,-3.3182924742132553,-1272.7072112159778
GMXUSDT,4,-3.476802933033822,-1102.260767650725
GOATUSDT,7,-6.879751218474565,-3160.7346571475264
GPSUSDT,1,-1.0956319018404892,-229.13523222992
GRASSUSDT,6,-4.349930937624772,-1833.5300828530121
GRIFFAINUSDT,3,-1.066965811024599,-1260.995484922385
GRTUSDT,3,5.3611262379167695,426.753497885551
GTCUSDT,2,0.10566492516595027,-163.821023974706
GUAUSDT,1,-1.0419109311740886,-497.20247295208605
