币种,信号K时间(北京),入场时间(北京),退出时间(北京),突破来源,距V9根数,入场价,初始止损,初始风险距离(%),退出价,退出原因,持仓小时,最大记录浮盈R,净R,净价格收益(%),较原V9入场追价(%),原V9净R(事后关联),交易标识
SUPERUSDT,2024-10-22 07:00:00+08:00,2024-10-22 08:00:00+08:00,2024-10-23 23:00:00+08:00,本周期1h,0,1.327,1.2704700000000002,4.25998492840992,1.2704700000000002,初始止损,39.0,0.7040509464001456,-1.0469485229081916,-4.45998492840993,0.0,-1.0469485229081916,binance_um:SUPERUSDT:1h:box_any:2507
LUNA2USDT,2024-10-22 14:00:00+08:00,2024-10-22 15:00:00+08:00,2024-10-22 21:00:00+08:00,本周期1h,0,0.3971,0.37561,5.41173507932509,0.37561,初始止损,6.0,0.0232666356444858,-1.0369567240577018,-5.61173507932509,0.0,-1.0369567240577018,binance_um:LUNA2USDT:1h:box_any:2514
TOKENUSDT,2024-10-23 07:00:00+08:00,2024-10-23 08:00:00+08:00,2024-10-23 15:00:00+08:00,本周期1h,1,0.05114,0.048602,4.9628470864294,0.048602,初始止损,7.0,0.3821907013396372,-1.0402994483845558,-5.16284708642941,-2.4045801526717647,-1.027600737424282,binance_um:TOKENUSDT:1h:box_any:2531
VIDTUSDT,2024-10-23 20:00:00+08:00,2024-10-23 21:00:00+08:00,2024-10-23 22:00:00+08:00,本周期1h,1,0.0311,0.03003,3.44051446945337,0.03003,初始止损,1.0,0.2803738317756997,-1.0581308411214956,-3.64051446945337,1.402021519400054,-1.0943692307692336,binance_um:VIDTUSDT:1h:box_any:1467
JTOUSDT,2024-10-24 11:00:00+08:00,2024-10-24 12:00:00+08:00,2024-10-26 06:00:00+08:00,本周期1h,5,2.4441,2.2298,8.76805368029132,2.2298,初始止损,42.0,0.5870275314978993,-1.022810079328045,-8.96805368029132,9.067785264848949,-1.0252353603603608,binance_um:JTOUSDT:1h:box_any:2559
RUNEUSDT,2024-10-24 23:00:00+08:00,2024-10-25 00:00:00+08:00,2024-10-25 15:00:00+08:00,本周期1h,13,5.421,5.154,4.92529053680133,5.154,初始止损,15.0,0.3820224719101097,-1.040606741573033,-5.12529053680133,1.7073170731707332,-1.0420512820512813,binance_um:RUNEUSDT:1h:box_any:2571
ETHWUSDT,2024-10-25 05:00:00+08:00,2024-10-25 06:00:00+08:00,2024-10-26 07:00:00+08:00,本周期1h,0,3.4521,3.2602,5.5589351409287,3.2602,初始止损,25.0,0.5414278269932251,-1.0359781136008344,-5.75893514092871,0.0,-1.0359781136008344,binance_um:ETHWUSDT:1h:box_any:2577
PYTHUSDT,2024-10-25 08:00:00+08:00,2024-10-25 09:00:00+08:00,2024-10-25 11:00:00+08:00,上级4h,22,0.3873,0.37193,3.96849987090109,0.37193,初始止损,2.0,0.0650618087182826,-1.0503968770331829,-4.16849987090109,9.375882519062406,-1.0324862385321103,binance_um:PYTHUSDT:1h:box_any:2580
AUCTIONUSDT,2024-10-25 09:00:00+08:00,2024-10-25 10:00:00+08:00,2024-10-25 23:00:00+08:00,本周期1h,1,14.018,13.503,3.67384790983022,13.503,初始止损,13.0,0.8291262135922314,-1.0544388349514553,-3.8738479098302103,-1.07966974807705,-1.042491754122939,binance_um:AUCTIONUSDT:1h:box_any:2581
BTCUSDT,2024-10-28 18:00:00+08:00,2024-10-28 19:00:00+08:00,2024-10-31 21:00:00+08:00,本周期1h,1,68600.9,67716.3,1.28948745570392,71158.8,追踪止损,74.0,5.719082070992602,2.7364890345919455,3.52866828277764,0.07673421514464707,2.418503373423293,binance_um:BTCUSDT:1h:box_any:2662
BANANAUSDT,2024-10-28 20:00:00+08:00,2024-10-28 21:00:00+08:00,2024-10-30 16:00:00+08:00,本周期1h,0,55.055,52.405,4.81336844973208,57.01,追踪止损,43.0,2.9449056603773607,0.6961849056603794,3.35099446008537,0.0,0.6961849056603794,binance_um:BANANAUSDT:1h:box_any:1786
ALPHAUSDT,2024-11-16 05:00:00+08:00,2024-11-16 06:00:00+08:00,2024-11-20 08:00:00+08:00,本周期1h,0,0.07684,0.07079,7.87350338365434,0.07752,反向确认,98.0,1.10578512396694,0.0869950413223142,0.68495575221239,0.0,0.0869950413223142,binance_um:ALPHAUSDT:1h:box_any:3105
REEFUSDT,2024-11-19 06:00:00+08:00,2024-11-19 07:00:00+08:00,2024-11-19 16:00:00+08:00,本周期1h,4,0.001505,0.001436,4.58471760797342,0.001436,初始止损,9.0,0.1014492753623196,-1.0436231884057965,-4.78471760797342,0.7362784471218076,-1.0335730337078652,binance_um:REEFUSDT:1h:box_any:3178
YFIUSDT,2024-11-21 15:00:00+08:00,2024-11-21 16:00:00+08:00,2024-11-24 20:00:00+08:00,本周期1h,0,6382.0,5943.0,6.8787214039485995,7013.0,追踪止损,76.0,3.658314350797266,1.4082824601366744,9.68718270134754,0.0,1.4082824601366744,binance_um:YFIUSDT:1h:box_any:3235
