mfe_bucket,won,n
<0.5,0.0,719
0.5-1,0.0,367
0.5-1,1.0,1
1-2,0.0,366
1-2,1.0,14
2-3,0.0,106
2-3,1.0,165
3-5,0.0,27
3-5,1.0,208
>=5,0.0,2
>=5,1.0,224
