period,group,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip
full,both,11,11,3,8,27.27272727272727,0.12048026961841053,-1.0390465631929038,1.3252829658025158,0.19429345755835928,175.7532515848525,-181.290322580643,1933.2857674333775,195.75325158485265,3.014660588265192,0.9648373498741324,3.1245272466478093,24.245202909321193,1.1716977174929284,1415.3744946276065,289.1047145561803,4.895715716018058,1.8358933935067718,44.09090909090909,21.0,3.10682837680677,5.0,8,4,3,5,1,1,0,11,100.0,0.12048026961841053,0.713857475974141,-0.5933772063557305,175.7532515848525,360.2275408039508,-184.47428921909824,7,-2.4442733748925765,0.7984810554132491,0.7661169415292354
full,chart,1629,539,450,1179,27.624309392265197,-0.10673416739886,-1.0344660670482415,-173.86995869274296,-0.04779152886946177,-76.07091909465915,-289.865067466266,-123919.52720519975,-56.070919094659125,2.174149501289762,0.9773004531578762,2.224648002837407,31.0111366921316,0.8491022911593157,864.1206429539444,434.9226603345842,1.9868374811493612,0.7583349164692218,53.38428483732351,36.0,3.7787481804949,3.0,805,524,823,356,88,21,1,1621,99.50890116635973,-0.10817441198023667,-0.12121146094744412,0.01303704896720747,-76.3903470235507,-42.94167367722299,-33.448673346327716,20,-0.09539531946802905,0.14664268480286716,0.39930034982508744
full,htf,559,344,159,400,28.44364937388193,-0.05381841412172714,-1.0485925925925916,-30.084493494045468,0.01814778327243619,-27.857968363800477,-249.235880398671,-15572.604315364466,-7.857968363800468,2.360132184146643,1.013363776933404,2.329007842858533,30.03897999655435,0.9257806175362667,809.6895206880081,360.78309526189435,2.2442557074362095,0.8920916437058932,41.46869409660108,27.0,2.93603635092625,8.0,299,204,260,140,46,7,1,553,98.92665474060823,-0.0665346625123128,-0.08982955388126078,0.023294891368947992,-29.9179654519145,-48.728192988209436,18.810227536294924,20,-0.08395840688044712,0.12292215423117742,0.3238380809595202
earlier,both,3,3,1,2,33.33333333333333,1.34008420434496,-1.0643743315508012,4.02025261303488,1.3997627520759253,790.8994151543407,-291.950271950269,2372.698245463022,810.899415154341,6.158169801728536,1.0689585943468285,5.760905833299741,14.790917440007265,2.8804529166498707,2995.331355093968,311.31655481547295,9.621497182728989,4.8107485913644945,39.0,13.0,3.10682837680677,5.0,2,1,1,1,0,0,0,3,100.0,1.34008420434496,4.460843142297654,-3.120758937952695,790.8994151543407,1716.6103678913337,-925.7109527369929,3,-6.588995493709018,0.006003809523813519,0.8800599700149925
earlier,chart,799,368,242,557,30.287859824780977,-0.09441650480964257,-1.0331993355481732,-75.43878734290442,-0.03679542969951735,-78.53901951824994,-296.532137518683,-62752.676595081706,-58.539019518249944,1.9447181767372572,0.9803601186953691,1.9836773647271821,33.51568811768751,0.8618490525385603,768.5354522457332,446.5677846293521,1.7209827459533646,0.7477160224788407,51.75093867334168,37.0,3.8822721026110703,4.0,394,271,405,152,34,7,1,790,98.87359198998749,-0.08515389648076074,-0.1535945004583974,0.06844060397763665,-74.80033733256434,-39.04191434711413,-35.7584229854502,13,-0.10057345936389066,0.2501561270965391,0.23588205897051473
earlier,htf,272,206,81,191,29.77941176470588,0.049442890118246,-1.0437314610783048,13.448466112162912,0.11700841245264901,13.95286795563787,-279.43250519715,3795.180083933501,33.95286795563786,2.5008465605543213,0.9901576193337024,2.5257055156907167,28.36311755334141,1.071110716078262,942.779709232647,379.9475202298999,2.481341919700349,1.0522968350561688,41.849264705882355,29.0,3.171690472305005,9.0,146,101,126,65,21,2,0,272,100.0,0.049442890118246,0.06987858181183487,-0.02043569169358892,13.95286795563787,10.247183261537115,3.705684694100741,13,-0.23568417152061466,0.14945506087165086,0.5777111444277861
later,both,8,8,2,6,25.0,-0.3368712059040455,-0.9217524482631159,-2.694969647232364,-0.25775752788572814,-54.92655975370552,-174.333934588977,-439.41247802964415,-34.926559753705504,1.4429059815335192,0.9301302683832339,1.5512945128015236,39.19578845101348,0.5170981709338413,625.3960643944259,281.70076780308267,2.2200722748174995,0.7400240916058332,46.0,23.5,3.0112258646645698,4.0,6,3,2,4,1,1,0,8,100.0,-0.3368712059040455,-0.6912621488971766,0.3543909429931312,-54.92655975370552,-148.41601935381775,93.48945960011224,4,-0.5955947504967614,1.6852901369190771,0.312343828085957
later,chart,797,436,180,617,22.58469259723965,-0.2186588169843052,-1.038538461538461,-174.27107713649124,-0.15917749759398248,-99.35653817654715,-292.078501338088,-79187.16092670808,-79.35653817654713,2.3805375052088564,0.9769332707845793,2.4367452480117056,29.097297816256233,0.7108819200034149,1013.7377261664243,424.08420038357286,2.3904161608697647,0.6973661409344533,51.887076537013805,32.0,3.72535917139991,3.0,378,224,418,199,52,14,0,789,98.99623588456713,-0.2227526492569226,-0.16161278496428472,-0.061139864292637826,-100.24890525561977,-61.271780917133675,-38.977124338486114,8,-0.23366845221610605,0.1180844221625049,0.7401299350324838
later,htf,272,212,65,207,23.897058823529413,-0.2515501929073548,-1.0563910658307205,-68.42165247080051,-0.1767685636304383,-88.18163952265606,-242.8316912607005,-23985.405950162447,-68.18163952265604,2.248005391843808,1.0364347968147245,2.168979079776754,31.55590412008802,0.681080387369512,721.2134688234569,342.3395237859282,2.1067198459808756,0.6615303864191155,37.61029411764706,25.0,2.78464162565469,8.0,138,89,134,73,24,5,1,266,97.79411764705883,-0.28244671934610527,-0.3239021568007801,0.04145543745467483,-93.82494935979962,-120.624559270724,26.799609910924378,8,-0.09127037333842992,0.1830523844746018,0.2683658170914543
cross_split,chart,33,33,28,5,84.84848484848484,2.2981789632319,2.184827264239045,75.83990578665271,2.3761094964837937,546.0700095936373,569.743589743589,18020.310316590032,566.0700095936373,2.8303116382993805,0.6817640171459933,4.15145353394809,19.411996893886315,23.248139790109306,728.4256848518263,475.12177185222083,1.5331347204151942,8.585554434325088,129.0909090909091,136.0,2.5907473309608497,1.0,33,29,0,5,2,0,0,33,100.0,2.2981789632319,1.3539844555089051,0.9441945077229946,546.0700095936373,241.7648993866256,304.30511020701186,1,,,
cross_split,htf,15,15,13,2,86.66666666666667,1.6592461909728082,1.4912631578947446,24.888692864592123,1.7599581313100359,307.8414367242983,313.591331269349,4617.621550864475,327.8414367242983,2.044007338812972,0.8417012699882582,2.4284237314284747,29.167923172184544,15.784754254285085,422.81552830955144,439.49015857984745,0.9620591498017207,6.2533844737111846,104.53333333333333,116.0,2.09958008398319,7.0,15,14,0,2,1,0,0,15,100.0,1.6592461909728082,1.1650170773234134,0.4942291136493945,307.8414367242983,156.81387975964515,151.02755696465314,1,,,
