period,group,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip
full,initial_stop,1377,499,0,1377,0.0,-1.0637046742704739,-1.0576548463356978,-1464.7213364704426,-1.0,-432.6043836548363,-366.891914056093,-595696.2362927096,-412.6043836548363,,1.0637046742704739,,,0.0,,432.6043836548363,,0.0,27.6318082788671,18.0,3.4689191405609296,7.0,372,69,1005,372,69,8,0,1370,99.49164851125636,-1.0637528104696554,-0.2943855053352072,-0.7693673051344483,-432.2977698088938,-90.42237798750281,-341.87539182139096,20,-0.8936841120075474,-0.647300177787409,1.0
full,opposite_v6_next_open,189,160,23,166,12.16931216931217,-0.4555289266400206,-0.5497647058823508,-86.0949671349639,-0.4184973865426743,-302.8294380441365,-272.87356321838996,-57234.7637903418,-282.82943804413645,0.1862876501312396,0.5444553198071229,0.34215415545435995,74.50708966150536,0.047406901056929386,148.06495682370758,365.3027578149824,0.4053212127642878,0.05615896321432903,99.96825396825396,86.0,5.9097503245018,1.0,107,30,81,85,22,1,0,187,98.94179894179894,-0.4543436258169137,-0.24363896865120857,-0.2107046571657051,-304.0686634903847,-98.60937038342061,-205.45929310696414,19,-0.49357740337516054,0.04697033742135606,0.9070464767616192
full,trailing_stop,633,384,589,44,93.04897314375987,2.1298374950780734,1.2605333333333408,1348.1871343844205,2.196722660996281,814.1740194785475,458.19063004846697,515372.15432992054,834.1740194785475,2.3062608805967506,0.23183009743331057,9.948065010239585,9.134034179233616,133.1684157052526,880.196184372845,69.62268785648209,12.642375804094957,169.23543974118024,84.81200631911533,70.0,3.30202968797332,5.0,633,633,0,44,44,20,2,628,99.21011058451816,2.1201982502352243,0.3352890767365944,1.78490917349863,813.1666927678907,79.18147977733068,733.98521299056,20,1.5253565730681073,2.041091460343764,0.0004997501249375312
earlier,initial_stop,653,330,0,653,0.0,-1.0612548372448998,-1.0549185892336257,-692.9994087209195,-0.9999999999999998,-446.87255825004223,-384.175414538044,-291807.7805372776,-426.8725582500421,,1.0612548372448998,,,0.0,,446.87255825004223,,0.0,27.20980091883614,17.0,3.6417541453804403,9.0,160,22,493,160,22,1,0,645,98.7748851454824,-1.0609807249893344,-0.2595343749053675,-0.8014463500839667,-446.50664081329535,-69.73630107347444,-376.770339739821,13,-0.9931850774338159,-0.6637798627314583,1.0
earlier,opposite_v6_next_open,80,75,9,71,11.25,-0.4709680691959021,-0.5918473539139155,-37.67744553567217,-0.43845330746210714,-329.5110674838378,-352.09910602024854,-26360.885398707025,-309.51106748383785,0.26824591875123566,0.564671250766666,0.47504794761028213,67.79440638659206,0.060217345471725914,277.62074476003454,406.47143804996244,0.683001851475503,0.08657769948281023,89.025,81.5,6.60788253505296,1.0,41,10,39,32,7,1,0,80,100.0,-0.4709680691959021,-0.17601996247004692,-0.2949481067258553,-329.5110674838378,-16.813264678071498,-312.6978028057663,12,-0.7475906048560976,0.30974207191071207,0.6621689155422289
earlier,trailing_stop,341,247,315,26,92.37536656891496,1.97274717196154,1.2559936238044649,672.7067856388851,2.0372501252504467,767.1081163351889,473.26526846669606,261583.86767029943,787.1081163351888,2.14899786256598,0.16259773343840977,13.216653252918785,7.034004292076918,160.12483748728528,834.4364461700491,48.6004951256186,17.16929928415885,208.01266440423223,81.99120234604105,68.0,3.4166241713411503,5.0,341,341,0,26,26,7,1,340,99.70674486803519,1.9770798637034988,0.2721503444974821,1.7049295192060165,768.9214134116272,68.87919995067254,700.0422134609547,13,1.4055321797760933,1.9675757184835234,0.0009995002498750624
later,initial_stop,720,401,0,720,0.0,-1.0660126850983351,-1.0602733619763698,-767.5291332708013,-1.0,-418.59388338266143,-351.821641480249,-301387.59603551624,-398.59388338266143,,1.0660126850983351,,,0.0,,418.59388338266143,,0.0,27.730555555555554,18.0,3.3182164148024897,6.0,208,47,512,208,47,7,0,713,99.02777777777779,-1.0661278361062927,-0.3316936923313977,-0.7344341437748949,-417.86718707011374,-109.81264494012748,-308.05454212998626,8,-0.8958181915709195,-0.5571749040912501,1.0
later,opposite_v6_next_open,105,95,13,92,12.380952380952381,-0.45350586009743427,-0.5340808823529412,-47.6181153102306,-0.4136154984967812,-287.11312292468943,-255.22791221159105,-30146.87790709239,-267.11312292468943,0.13618314048722222,0.5368314797452661,0.2536794983629555,79.76520325217025,0.035846016073026316,67.70602554941124,337.2506112960298,0.20075879266525823,0.028368090267916927,107.36190476190477,93.0,5.46291774227307,1.0,62,17,42,50,12,0,0,103,98.09523809523809,-0.451314623330384,-0.31601321617223765,-0.13530140715814643,-289.0578076645877,-166.01070445614403,-123.04710320844369,8,-0.2767673557946122,0.020334845461742662,0.9440279860069966
later,trailing_stop,252,201,234,18,92.85714285714286,2.260950592565507,1.1759095195991764,569.7595493265078,2.327071635830131,904.4543436020178,406.542454409323,227922.4945877085,924.4543436020178,2.4603954382229687,0.3318324009815007,7.414572630477195,11.884144851017698,96.38944419620353,981.7191452142205,99.9880773566182,9.818362060436604,127.63870678567585,82.19444444444444,66.0,3.33920666104021,6.0,252,252,0,18,18,13,1,247,98.01587301587301,2.239096826274526,0.2018073103685081,2.0372895159060183,903.7207421701347,55.783896100534946,847.9368460695997,8,1.7993994522467252,2.4387442735942257,0.004997501249375313
cross_split,initial_stop,4,4,0,4,0.0,-1.0481986196804622,-1.0428749269920727,-4.192794478721849,-0.9999999999999991,-625.2149299789493,-486.74296510254703,-2500.859719915797,-605.2149299789493,,1.0481986196804622,,,0.0,,625.2149299789493,,0.0,78.75,79.5,4.66742965102547,2.0,4,0,0,4,0,0,0,4,100.0,-1.0481986196804622,-1.0125807780291998,-0.03561784165126247,-625.2149299789493,-399.2721625488323,-225.942767430117,1,,,
