metric,source,earlier_n,later_n,earlier_weight,later_weight,earlier_mean,later_mean,within_effect,mixture_effect,total_difference
net_r,both,3.0,8.0,0.002793296089385475,0.007428040854224698,1.3400842043449597,-0.3368712059040455,-0.008570363143782556,0.002324818096271343,
net_r,chart,799.0,797.0,0.7439478584729982,0.7400185701021356,-0.0944165048096426,-0.21865881698430517,-0.09218571013787544,0.0006150816105645117,
net_r,htf,272.0,272.0,0.2532588454376164,0.2525533890436397,0.04944289011824599,-0.2515501929073548,-0.07612299194429069,7.128894451097864e-05,
net_r,ALL,,,,,,,-0.17687906522594868,0.0030111886513468334,-0.17386787657460184
net_bp,both,3.0,8.0,0.002793296089385475,0.007428040854224698,790.8994151543407,-54.92655975370552,-4.322736142596352,1.705523169315934,
net_bp,chart,799.0,797.0,0.7439478584729982,0.7400185701021356,-78.53901951824994,-99.35653817654713,-15.446249407574745,0.34950147303914086,
net_bp,htf,272.0,272.0,0.2532588454376164,0.2525533890436397,13.952867955637858,-88.18163952265606,-25.830441722619202,0.026182580759493604,
net_bp,ALL,,,,,,,-45.5994272727903,2.0812072231145686,-43.51822004967573
won,both,3.0,8.0,0.002793296089385475,0.007428040854224698,0.3333333333333333,0.25,-0.0004258890393170905,0.00135180055641144,
won,chart,799.0,797.0,0.7439478584729982,0.7400185701021356,0.30287859824780977,0.2258469259723965,-0.05715620779685759,-0.0010387575268483425,
won,htf,272.0,272.0,0.2532588454376164,0.2525533890436397,0.2977941176470588,0.23897058823529413,-0.014876830425919293,-0.00018933204691285837,
won,ALL,,,,,,,-0.07245892726209396,0.00012371098265023908,-0.07233521627944375
