timeframe,arm,full_profitable_r_and_bp,later_profitable_r_and_bp,earlier_better_bp,later_better_bp,positive_matched_excess_r_and_bp,multiplicity_p_pass,coverage_pass,adjusted_p,passed
1h,age6,False,False,True,False,False,False,True,1.0,False
1h,parent_stop,False,False,False,False,False,False,False,0.0569715142428785,False
1h,wick_arm,False,False,False,True,False,False,True,1.0,False
