period,group,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip
full,0,494,319,147,347,29.75708502024291,-0.11345982590605797,-1.0245226736284951,-56.04915399759263,-0.06146059603543451,-120.05485826003428,-323.791857297989,-59307.09998045694,-100.05485826003425,1.8548494079970594,0.9472968788851885,1.9580444624497337,33.80611795036509,0.8294885763115587,721.9761524021575,476.76540168176973,1.514321613639365,0.6415137671613448,60.43724696356275,45.5,4.453835359179585,0.0,247,156,246,101,19,1,0,491,99.39271255060729,-0.11439706950850151,-0.07494281043669308,-0.0394542590718084,-120.9588783206313,9.93475535998966,-130.89363368062095,20,-0.26691918672975296,0.20751283071777282,0.617191404297851
full,1-3,433,300,129,304,29.79214780600462,-0.007557886937355047,-1.0263769230769229,-3.272565043874735,0.05078679516534446,-24.099027660439727,-276.842105263157,-10434.878976970402,-4.0990276604397184,2.1916896922641924,0.9407912346906432,2.3296238436839576,30.03342260108221,0.9885574863001004,922.918127334653,425.95828093138374,2.1666866654561483,0.9194163810652735,55.607390300230946,41.0,3.7145818935729,1.0,243,162,190,114,34,7,0,430,99.30715935334872,-0.02877670457305333,-0.22557886835756025,0.19680216378450693,-27.998911798032655,-75.57149669626995,47.572584898237295,20,0.03128500672400742,0.39014997208648866,0.02498750624687656
full,4-6,224,189,66,158,29.464285714285715,-0.12779442782535624,-1.041933752417794,-28.6259518328798,-0.05820242790668267,-65.53938770061241,-247.3882320967515,-14680.82284493718,-45.53938770061239,1.9492535370531343,0.9954220587239662,1.9582181447253508,33.80413313274578,0.8179898579232479,690.5964093420614,381.3935814019825,1.8107184887681271,0.756376077586686,45.589285714285715,31.0,3.1308520469119845,5.0,121,84,103,55,19,3,0,223,99.55357142857143,-0.1235989143205644,0.0013204202645239655,-0.12491933458508844,-64.32885772751328,3.8572031788385748,-68.18606090635184,20,-0.44082156320291155,0.20000352275268332,0.7626186906546727
full,7-12,257,194,68,189,26.459143968871597,-0.2577409911214689,-1.049752442996742,-66.23943471821751,-0.18933265453009193,-87.11553959274592,-257.416172049642,-22388.6936753357,-67.1155395927459,1.8709869052369266,1.0236325093879817,1.8277916030192989,35.363284866263726,0.6576181428852504,713.8110043030216,375.2795871319638,1.9020778874711781,0.6843454833229635,43.06225680933852,26.0,3.18618042226486,9.0,132,85,125,64,18,2,1,254,98.83268482490273,-0.25318637093127455,-0.1424769512447875,-0.11070941968648701,-85.03962663683987,-63.54021645252641,-21.499410184313486,20,-0.36548537972522166,0.1617717421618429,0.8050974512743628
full,13-24,239,193,77,162,32.21757322175732,0.31944127738324485,-1.034585131894485,76.34646529459552,0.3838856726062495,117.00857569075343,-261.18984463812103,27965.04959009007,137.00857569075347,3.1297241373889566,1.0163104523725563,3.079496161908675,24.51283100440839,1.4637111386849875,1226.2506169198286,410.2237525477575,2.989223830419402,1.4208039193968762,48.17154811715481,31.0,3.33768413201566,17.0,127,92,112,50,16,4,0,239,100.0,0.31944127738324485,0.1427747695025365,0.1766665078807083,117.00857569075343,-34.1722393023519,151.1808149931053,20,-0.3301307468051338,0.5766513066493079,0.21539230384807595
full,25-48,237,181,60,177,25.31645569620253,-0.011688490814938045,-1.0416280417149475,-2.770172323140317,0.05097876950601439,-47.61498776078635,-285.282583621684,-11284.752099306364,-27.614987760786327,2.9027054422273593,0.9996186376089371,2.903812847237981,25.61598209574822,0.9843433380467732,1030.0877182008064,412.9379389342077,2.494533974910277,0.845604737257721,51.063291139240505,33.0,3.55296080066722,35.0,115,71,122,55,11,4,0,235,99.15611814345992,-0.00544065776536622,0.08923392213133152,-0.09467457989669774,-43.872558985938745,16.80101838629168,-60.673577372230426,20,-0.2954284305320572,0.09663333838794172,0.8140929535232384
full,>48,315,234,65,250,20.634920634920633,-0.3873598622218299,-1.0533602225312948,-122.01835659987641,-0.31534767483015064,-150.5639611625852,-273.998118532454,-47427.64776621434,-130.56396116258517,2.0961925112714934,1.0330834793300938,2.029064013907933,33.013498407709605,0.5275566436160626,712.4467979877991,374.94675854168514,1.900127902848884,0.4940332547407098,37.46349206349206,19.0,3.01754385964911,78.0,127,82,188,62,18,8,1,313,99.36507936507937,-0.40086957743798013,-0.39523867620780617,-0.005630901230173997,-155.65290132098633,-145.2935385438639,-10.359362777122424,20,-0.2259139546473376,0.25870194111941847,0.5222388805597201
earlier,0,238,185,83,155,34.87394957983193,-0.03442426476324865,-1.0160474340819683,-8.192975013653179,0.018342300097312053,-98.79879729730006,-303.80864812428547,-23514.11375675741,-78.79879729730006,1.6682620052808255,0.9461852996900758,1.7631451321715386,36.19064334901969,0.9441357804531464,631.2272763839053,489.71598513949385,1.288966044684252,0.6902205271535027,59.58403361344538,48.5,4.378134453236115,0.0,130,88,108,47,9,0,0,235,98.73949579831933,-0.021214604389255105,0.07122655159382509,-0.09244115598308017,-95.79065455502148,94.60072260740215,-190.39137716242365,13,-0.4441438828606626,0.2272275210716503,0.697151424287856
earlier,1-3,193,154,61,132,31.606217616580313,0.007627195507105847,-1.0233606557377048,1.4720487328714285,0.06324495723046906,-5.174703728657878,-298.07486631016,-998.7178196309706,14.825296271342102,2.0361651973417723,0.9298032447346717,2.1898882466503027,31.349060615214302,1.011993810952034,953.438745649155,448.170312910829,2.1274027265586812,0.9831179266672694,54.233160621761655,44.0,3.8629283489096404,1.0,106,71,87,45,11,3,0,191,98.96373056994818,0.01039351385286453,-0.2271679183709305,0.23756143222379494,2.3037313394186576,-71.80996271647643,74.11369405589505,13,-0.07898782618405989,0.5750586905444965,0.11044477761119441
earlier,4-6,112,101,37,75,33.035714285714285,0.03726020727857416,-1.0401560290692893,4.173143215200306,0.10379814448589206,37.98539541899273,-257.8951570348745,4254.364286927186,57.985395418992766,2.0792877338467357,0.9701400391617188,2.143286175100465,31.813838902785818,1.0573545130495627,844.8706001840171,360.0779722650859,2.3463545822292944,1.1575349272331186,44.392857142857146,35.5,3.2650466391547757,5.0,61,46,51,24,9,1,0,111,99.10714285714286,0.047189564796015035,0.026410008025217025,0.02077955677079799,41.284125476691145,19.076085936221013,22.208039540470157,13,-0.4558399140074913,0.5131157344558104,0.4642678660669665
