stream,arm,fold,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best,matched_pairs,unmatched,paired_target_mean_r,control_mean_r,paired_excess_r,blocks,mean_ci_low,mean_ci_high,p_month_signflip,gross_r_sum,cost_r_sum
ETH_3m_OKX,v8,full,1572,1571,1,0.24888605983450032,-0.5953559263079039,-935.304160229717,0.4662847230034986,0.5608241064730902,11,951.5064562967632,-963.5257191269618,1571,1,-0.5953559263079039,-0.622067503139563,0.02671157683165914,36,-0.1308458895676761,0.17847727674963731,0.3568215892053973,51.743967695327584,987.0481279250446
ETH_3m_OKX,v8,development,1460,1460,0,0.24315068493150685,-0.6226173170677632,-909.0212829189344,0.4461949448820329,0.5422134294970523,9,911.1858290371317,-937.2428418161792,1460,0,-0.6226173170677632,-0.6120898652948333,-0.010527451772929908,34,-0.16753367603197844,0.13382447724425933,0.553223388305847,7.960319027035261,916.9816019459696
ETH_3m_OKX,v8,validation,112,111,1,0.32432432432432434,-0.2367826784755192,-26.28287731078263,0.7632814490873316,0.8507461013199381,2,45.362533439652275,-39.37669850283564,111,1,-0.2367826784755192,-0.7533049018179891,0.5165222233424699,3,-0.030985766694094533,1.0826550095272107,0.24537731134432783,43.78364866829232,70.06652597907494
ETH_3m_OKX,v9,full,1403,1402,1,0.24750356633380885,-0.5519900558723194,-773.8900583329918,0.4965932806457636,0.5747054796626015,11,789.5803650480694,-802.1116172302366,1402,1,-0.5519900558723194,-0.6430434687619052,0.09105341288958582,36,-0.09220279374680192,0.27171956042225126,0.16591704147926037,66.911564563106,840.8016228960969
ETH_3m_OKX,v9,development,1299,1299,0,0.24172440338722093,-0.5790511926754912,-752.1874992854631,0.47535485764885277,0.5546247866972628,9,755.1118956818594,-780.4090581827079,1299,0,-0.5790511926754912,-0.6314647982923723,0.05241360561688117,34,-0.13045107262886482,0.22662632264283936,0.2933533233383308,25.093188693771314,777.2806879792334
ETH_3m_OKX,v9,validation,104,103,1,0.32038834951456313,-0.21070445677212407,-21.70255904752878,0.7905130361212087,0.8765750124853691,2,40.270225824430185,-34.796380239581794,103,1,-0.21070445677212407,-0.789069613809704,0.5783651570375798,3,0.08462945903830993,0.9613116177284774,0.11894052973513243,41.8183758693347,63.52093491686344
ETH_5m_Binance,v8,full,1954,1954,0,0.2599795291709314,-0.3195925657343776,-624.4838734449738,0.6584368920245156,0.7492528410244658,16,668.1733928400914,-654.6070569501276,1953,1,-0.31889825980162423,-0.4321886922837933,0.11329043248216908,76,-0.02123103888001919,0.2405162137041211,0.05547226386806597,143.88690356841852,768.3707770133918
ETH_5m_Binance,v8,development,1261,1261,0,0.25693893735130846,-0.34410844681370845,-433.9207514320864,0.6328098323516009,0.7390667847776984,8,437.7300887408258,-452.8722548803622,1261,0,-0.34410844681370845,-0.46462340766279203,0.12051496084908347,48,-0.01398362254818372,0.2537287399902432,0.0384807596201899,48.97305714759926,482.8938085796851
ETH_5m_Binance,v8,validation,693,693,0,0.26551226551226553,-0.2749828600474567,-190.56312201288748,0.7052747143335472,0.7719386961071741,8,230.44330409926712,-220.68630551804125,692,1,-0.2729588872261354,-0.37308439157148504,0.10012550434534964,28,-0.1804530241197128,0.38715260944470703,0.25537231384307846,94.91384642081928,285.4769684337067
ETH_5m_Binance,v9,full,1673,1673,0,0.26359832635983266,-0.28500542451038385,-476.8140752058722,0.6909842164108737,0.7795372637273645,15,515.6494073248308,-506.93725871102595,1672,1,-0.2841737459051857,-0.40787635870335415,0.12370261279816859,76,-0.014171249707938708,0.2606688832619475,0.04547726136931534,150.26164496516202,627.0757201710333
ETH_5m_Binance,v9,development,1083,1083,0,0.26408125577100644,-0.30515115284253586,-330.47869852846634,0.6692237698884362,0.766947047542865,8,330.478698528466,-349.4302019767422,1083,0,-0.30515115284253586,-0.4626483491290906,0.1574971962865548,48,0.028313058586222337,0.28884147344729805,0.009995002498750625,65.3581728033371,395.83687133180274
ETH_5m_Binance,v9,validation,590,590,0,0.2627118644067797,-0.24802606216509462,-146.33537667740583,0.7309557944777814,0.8073456272950216,7,185.17070879636398,-176.4585601825596,589,1,-0.24560238476231594,-0.3071665698560324,0.061564185093716424,28,-0.26580791378240626,0.379847693023954,0.3808095952023988,84.90347216182492,231.23884883923054
