signal_i,entry_i,exit_i,side,entry_price,initial_risk,initial_stop,exit_price,exit_reason,tp_i,tp_price,partial,gross_r,net_r,tail_price_r,gross_pnl,fees,net_pnl,censored,ambiguous_bar_count,entry_open_beyond_target,same_open_be_approximation,marketable_be_approximation,signal_time,entry_time,exit_time,signal_close,month,hold_hours
2575,2576,2691,1,2257.01,67.7103,2189.2997,2362.06,opposite_signal_close,2656.0,2322.79,True,1.2614772050928695,1.1935490612211102,1.5514626282855004,85.41499999999974,4.599435,80.81556499999974,False,0,False,False,False,2024-01-09T14:35:00+00:00,2024-01-09T14:40:00+00:00,2024-01-10T00:15:00+00:00,2024-01-09T14:40:00+00:00,2024-01,9.666666666666666
4670,4671,5192,-1,2587.79,77.63369999999999,2665.4237,2494.21,opposite_signal_close,4800.0,2547.92,True,0.8594849916981918,0.7936778100232234,1.2054043540369703,66.72499999999991,5.108855,61.61614499999991,False,0,False,False,False,2024-01-16T21:10:00+00:00,2024-01-16T21:15:00+00:00,2024-01-18T16:40:00+00:00,2024-01-16T21:15:00+00:00,2024-01,43.5
5199,5200,5400,1,2479.72,74.3916,2405.3284,2483.52,break_even_marketable,5400.0,2483.52,True,0.05108103603095218,-0.015636711671745438,0.05108103603095218,3.800000000000182,4.96324,-1.163239999999818,False,1,False,False,True,2024-01-18T17:15:00+00:00,2024-01-18T17:20:00+00:00,2024-01-19T10:00:00+00:00,2024-01-18T17:20:00+00:00,2024-01,16.75
8647,8648,8868,-1,2354.44,70.6332,2425.0732000000003,2288.17,opposite_signal_close,8855.0,2314.37,True,0.7527621571725488,0.6868482526630546,0.938227349178573,53.17000000000007,4.655710000000001,48.514290000000074,False,0,False,False,False,2024-01-30T16:35:00+00:00,2024-01-30T16:40:00+00:00,2024-01-31T11:00:00+00:00,2024-01-30T16:40:00+00:00,2024-01,18.416666666666668
8868,8869,9199,1,2288.16,68.64479999999999,2219.5152,2289.16,break_even_marketable,9199.0,2289.16,True,0.014567745845278887,-0.05211348856723307,0.014567745845278887,1.0,4.57732,-3.5773200000000003,False,1,False,False,True,2024-01-31T11:00:00+00:00,2024-01-31T11:05:00+00:00,2024-02-01T14:35:00+00:00,2024-01-31T11:05:00+00:00,2024-01,27.583333333333332
12383,12384,12413,-1,2558.84,76.76520000000001,2635.6052,2635.6052,initial_stop,,,False,-0.9999999999999976,-1.0676666666666643,-0.9999999999999976,-76.76519999999982,5.1944452000000005,-81.95964519999983,False,0,False,False,False,2024-02-12T15:55:00+00:00,2024-02-12T16:00:00+00:00,2024-02-12T18:25:00+00:00,2024-02-12T16:00:00+00:00,2024-02,2.5
14210,14211,14471,-1,2882.99,86.48969999999998,2969.4797,2969.4797,initial_stop,,,False,-1.000000000000001,-1.0676666666666679,-1.000000000000001,-86.48970000000008,5.8524697,-92.34216970000008,False,0,False,False,False,2024-02-19T00:10:00+00:00,2024-02-19T00:15:00+00:00,2024-02-19T21:55:00+00:00,2024-02-19T00:15:00+00:00,2024-02,21.75
14736,14737,15067,-1,2979.79,89.3937,3069.1837,2973.83042,break_even,14900.0,2905.34,True,0.44974970271954295,0.3835327857555958,0.06666666666666876,40.20479,5.91937521,34.285414790000004,False,0,False,False,False,2024-02-20T20:00:00+00:00,2024-02-20T20:05:00+00:00,2024-02-21T23:35:00+00:00,2024-02-20T20:05:00+00:00,2024-02,27.583333333333332
17313,17314,17552,1,3367.62,101.0286,3266.5914,3374.35524,break_even,17480.0,3436.89,True,0.37615704859811955,0.3091142248828548,0.06666666666666643,38.00261999999998,6.7732426199999995,31.22937737999998,False,0,False,False,False,2024-02-29T18:45:00+00:00,2024-02-29T18:50:00+00:00,2024-03-01T14:40:00+00:00,2024-02-29T18:50:00+00:00,2024-02,19.916666666666668
21298,21299,21346,1,3880.12,116.4036,3763.7164,3763.7164,initial_stop,,,False,-1.0000000000000009,-1.0656666666666674,-1.0000000000000009,-116.4036000000001,7.6438364,-124.0474364000001,False,0,False,False,False,2024-03-14T14:50:00+00:00,2024-03-14T14:55:00+00:00,2024-03-14T18:50:00+00:00,2024-03-14T14:55:00+00:00,2024-03,4.0
