gate_state,n,known_pairs,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp,avoided_net_losers,missed_net_winners
abstain,127,127,-9.478745729551388,0.0,9.478745729551388,1203.8007076530264,95,32
accepted,121,121,-18.95408232507939,-18.95408232507939,0.0,0.0,0,0
unknown,3,0,,,,,0,0
