arm,fold,month,n,known,executed,mean_net_bp
baseline,2023H1,2023-01,11,11,11,-8.780391949524384
baseline,2023H1,2023-02,12,12,12,-38.63718485227938
baseline,2023H1,2023-03,5,5,5,-35.58249874595719
baseline,2023H1,2023-04,12,12,12,-3.4412047850277614
baseline,2023H1,2023-05,6,6,6,25.42473264028383
baseline,2023H1,2023-06,9,9,9,1.2961624463415902
baseline,2023H2,2023-07,14,14,14,-24.755460787473837
baseline,2023H2,2023-08,10,10,10,0.058988081550376964
baseline,2023H2,2023-09,11,11,11,-33.64288548773221
baseline,2023H2,2023-10,9,9,9,-42.79242832810545
baseline,2023H2,2023-11,10,10,10,-23.5647141507722
baseline,2023H2,2023-12,12,12,12,-24.706584422221983
baseline,2024H1,2024-01,10,10,10,-5.67242626627716
baseline,2024H1,2024-02,9,9,9,-29.37693258443025
baseline,2024H1,2024-03,10,10,10,26.102387617223062
baseline,2024H1,2024-04,9,9,9,-34.35669444642216
baseline,2024H1,2024-05,11,11,11,-28.367595145853546
baseline,2024H1,2024-06,6,6,6,17.461570703034567
baseline,2024H2,2024-07,10,10,10,-18.176990371350886
baseline,2024H2,2024-08,12,12,12,19.60638832666183
baseline,2024H2,2024-09,9,9,9,-0.8058831580024173
baseline,2024H2,2024-10,16,16,16,-42.19102649365201
baseline,2024H2,2024-11,16,16,16,-12.114217879912585
baseline,2024H2,2024-12,12,12,12,4.731883274967386
candidate,2023H1,2023-01,11,11,7,-4.808411465046654
candidate,2023H1,2023-02,12,12,6,-20.76380846378872
candidate,2023H1,2023-03,5,5,3,-3.7703391128454045
candidate,2023H1,2023-04,12,12,5,-24.138814972692874
candidate,2023H1,2023-05,6,6,1,12.651164331833149
candidate,2023H1,2023-06,9,6,4,-26.045757615759843
candidate,2023H2,2023-07,14,14,7,-20.350172353916616
candidate,2023H2,2023-08,10,10,4,-6.881032746874009
candidate,2023H2,2023-09,11,11,4,-16.119411577864707
candidate,2023H2,2023-10,9,9,4,-8.390191036724058
candidate,2023H2,2023-11,10,10,0,0.0
candidate,2023H2,2023-12,12,12,6,-13.957128018135803
candidate,2024H1,2024-01,10,10,5,-20.068749325758635
candidate,2024H1,2024-02,9,9,6,-10.7665367810931
candidate,2024H1,2024-03,10,10,4,30.059544540632427
candidate,2024H1,2024-04,9,9,5,-21.361608715008256
candidate,2024H1,2024-05,11,11,6,-19.427634913214565
candidate,2024H1,2024-06,6,6,3,33.957199618620166
candidate,2024H2,2024-07,10,10,7,-18.745349344798754
candidate,2024H2,2024-08,12,12,6,2.9857573841623135
candidate,2024H2,2024-09,9,9,6,18.596739757849534
candidate,2024H2,2024-10,16,16,8,-22.39609368952524
candidate,2024H2,2024-11,16,16,6,-0.4318246851265457
candidate,2024H2,2024-12,12,12,8,-23.314215893638252
