gate_state,n,known_pairs,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp,avoided_net_losers,missed_net_winners
abstain,151,151,-18.24243310541357,0.0,18.24243310541357,2754.6073989174497,130,21
accepted,311,311,-22.281474403447422,-22.281474403447422,0.0,0.0,0,0
