arm,period,parent_signals,distinct_labels,positive_events,hits_1,recall_1,large_recall_1,v3_fresh_hit_retention,natural_win_rate,mean_net_bp,mean_excess_bp,control_comparable_to_new_G,source,target_label_drop,target_large_recall,target_v3_fresh_retention
v1,full,86,86,1660,14,0.008433734939759,0.0116156282998944,,0.4743589743589743,643.9492051333505,404.1993007664791,False,preserved original V1; original matching group; no recalculation,0.5,0.8,0.9
v3,full,10386,12042,1660,1463,0.8813253012048192,0.8426610348468849,1.0,0.27592816787732044,25.006476673055996,-103.99923086169919,True,current V3/G common controls; parent-only economics,0.5,0.8,0.9
density_rearm,full,5707,6807,1660,872,0.5253012048192771,0.4699049630411827,0.5878332194121668,0.26611418047882135,33.655276979848395,-69.18774708211126,True,current V3/G common controls; parent-only economics,0.5,0.8,0.9
v1,first31,35,35,630,5,0.0079365079365079,0.0178571428571428,,0.3142857142857143,-122.81504516455074,-215.2256391706474,False,preserved original V1; original matching group; no recalculation,0.5,0.8,0.9
v3,first31,4981,5814,630,584,0.926984126984127,0.9,1.0,0.2164224051395302,-106.07410819426313,-108.7110235491041,True,current V3/G common controls; parent-only economics,0.5,0.8,0.9
density_rearm,first31,2921,3471,630,387,0.6142857142857143,0.6035714285714285,0.6523972602739726,0.2232112290311537,-90.48386354260538,-88.77060803887186,True,current V3/G common controls; parent-only economics,0.5,0.8,0.9
v1,last30,51,51,1030,9,0.0087378640776699,0.0089955022488755,,0.6046511627906976,1170.159965141714,839.1146841265893,False,preserved original V1; original matching group; no recalculation,0.5,0.8,0.9
v3,last30,5405,6228,1030,879,0.8533980582524272,0.8185907046476761,1.0,0.3360373149462584,145.80432925846148,-99.64804808171526,True,current V3/G common controls; parent-only economics,0.5,0.8,0.9
density_rearm,last30,2786,3336,1030,485,0.470873786407767,0.41379310344827586,0.5449374288964732,0.3160621761658031,163.80977427564432,-48.6506667187303,True,current V3/G common controls; parent-only economics,0.5,0.8,0.9
v1,case_night,13,13,144,5,0.0347222222222222,0.0329670329670329,,0.9230769230769232,2431.828483672508,1323.635625849106,False,preserved original V1; original matching group; no recalculation,0.5,0.8,0.9
v3,case_night,224,273,144,129,0.8958333333333334,0.8901098901098901,1.0,0.9285714285714286,1728.1110457610173,683.1190929161181,True,current V3/G common controls; parent-only economics,0.5,0.8,0.9
density_rearm,case_night,132,162,144,87,0.6041666666666666,0.6263736263736264,0.6744186046511628,0.946969696969697,1928.3486539065984,739.2437193905491,True,current V3/G common controls; parent-only economics,0.5,0.8,0.9
