instrument,asset,symbol,venue,minutes,arm,stage,event_id,decision_i,decision_time,bar_open,parent_i,economic_parent_i,parent_decision_time,parent_close,publication_i,publication_time,parent_event_id,signal_close,signal_atr,relative_volume,tr_expansion,frozen_parent_high,confirm_age,match_status,label_i,lag,parent_density_valid,parent_density_is_dense,parent_density_known_false,parent_density_support_complete,parent_density_support_finite,parent_density_summaries_finite,parent_density_window_start_i,parent_density_window_end_i,parent_quota_armed_before,parent_quota_armed_for_edge,parent_quota_armed,parent_bootstrap_quota,parent_accept_origin,parent_structure_id,parent_structure_owner_i,parent_structure_owner_before_i,parent_structure_bootstrap,parent_bootstrap_accepted,parent_structure_high,parent_structure_low,parent_structure_age_bars,parent_density_false_seen,parent_support_disjoint,parent_first_false_i,parent_rearmed,parent_rearm_i,parent_rearm_window_start_i,parent_rearm_window_end_i,parent_rearm_window_high,parent_rearm_window_low,parent_rearm_owner_i,parent_rearm_false_i,parent_rearm_wait_bars,parent_structure_blocked,parent_reject_reason,parent_last_accepted_i,parent_gap_reset,route,matched_label_id,move_since_anchor_atr,move_since_anchor_pct,in_study,decision_time_bjt,bar_open_bjt,parent_decision_time_bjt,publication_time_bjt
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,v3,early,05c268ed3ede8c46bdcccd68b05b,2622,2026-08-18 07:00:00+00:00,2026-08-18 06:00:00+00:00,2622.0,2622.0,2026-08-18 07:00:00+00:00,59.976,2622.0,2026-08-18 07:00:00+00:00,05c268ed3ede8c46bdcccd68b05b,59.976,0.49790521709866037,2.716363820026725,2.960543850167152,59.668,,unmatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-18 15:00:00+08:00,2026-08-18 14:00:00+08:00,2026-08-18 15:00:00+08:00,2026-08-18 15:00:00+08:00
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,density_rearm,early,51602a152d45b485ba6adc82b3eb,2652,2026-08-19 13:00:00+00:00,2026-08-19 12:00:00+00:00,2652.0,2652.0,2026-08-19 13:00:00+00:00,59.279,2652.0,2026-08-19 13:00:00+00:00,51602a152d45b485ba6adc82b3eb,59.279,0.4540549043736736,2.33323176949396,1.6553259338647046,58.955,,matched,2652.0,0.0,True,True,False,True,True,True,2640.0,2651.0,True,True,False,False,density_rearm,34.0,2652.0,2563.0,False,False,58.955,58.023,0.0,False,True,,False,2644.0,2632.0,2643.0,59.424,58.164,2563.0,2602.0,81.0,False,,2652.0,False,,,,,,2026-08-19 21:00:00+08:00,2026-08-19 20:00:00+08:00,2026-08-19 21:00:00+08:00,2026-08-19 21:00:00+08:00
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,v3,early,577aaf1ad27751f87046cff6e8f6,2652,2026-08-19 13:00:00+00:00,2026-08-19 12:00:00+00:00,2652.0,2652.0,2026-08-19 13:00:00+00:00,59.279,2652.0,2026-08-19 13:00:00+00:00,577aaf1ad27751f87046cff6e8f6,59.279,0.4540549043736736,2.33323176949396,1.6553259338647046,58.955,,matched,2652.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-19 21:00:00+08:00,2026-08-19 20:00:00+08:00,2026-08-19 21:00:00+08:00,2026-08-19 21:00:00+08:00
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,density_rearm,confirmed,ee5d2e2c1139a1fdb4d85308982a,2655,2026-08-19 16:00:00+00:00,2026-08-19 15:00:00+00:00,2652.0,2652.0,2026-08-19 13:00:00+00:00,59.279,2655.0,2026-08-19 16:00:00+00:00,51602a152d45b485ba6adc82b3eb,61.851,0.6616609420222164,15.313485264630728,4.138905789557881,58.955,3.0,matched,2652.0,3.0,True,True,False,True,True,True,2640.0,2651.0,True,True,False,False,density_rearm,34.0,2652.0,2563.0,False,False,58.955,58.023,0.0,False,True,,False,2644.0,2632.0,2643.0,59.424,58.164,2563.0,2602.0,81.0,False,,2652.0,False,,,,,,2026-08-20 00:00:00+08:00,2026-08-19 23:00:00+08:00,2026-08-19 21:00:00+08:00,2026-08-20 00:00:00+08:00
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,v3,confirmed,31f96a4f7d4b692fab83ac39ac39,2655,2026-08-19 16:00:00+00:00,2026-08-19 15:00:00+00:00,2652.0,2652.0,2026-08-19 13:00:00+00:00,59.279,2655.0,2026-08-19 16:00:00+00:00,577aaf1ad27751f87046cff6e8f6,61.851,0.6616609420222164,15.313485264630728,4.138905789557881,58.955,3.0,matched,2652.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-20 00:00:00+08:00,2026-08-19 23:00:00+08:00,2026-08-19 21:00:00+08:00,2026-08-20 00:00:00+08:00
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,v3,early,84c54d13a4ed6473ac3dcc1d281e,2672,2026-08-20 09:00:00+00:00,2026-08-20 08:00:00+00:00,2672.0,2672.0,2026-08-20 09:00:00+00:00,73.13,2672.0,2026-08-20 09:00:00+00:00,84c54d13a4ed6473ac3dcc1d281e,73.13,1.508727212255735,2.2856205220508086,1.8144414155743045,72.621,,unmatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-20 17:00:00+08:00,2026-08-20 16:00:00+08:00,2026-08-20 17:00:00+08:00,2026-08-20 17:00:00+08:00
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,v3,early,d7c9281e888643798d31ec56c2de,2685,2026-08-20 22:00:00+00:00,2026-08-20 21:00:00+00:00,2685.0,2685.0,2026-08-20 22:00:00+00:00,74.915,2685.0,2026-08-20 22:00:00+00:00,d7c9281e888643798d31ec56c2de,74.915,1.4456363273140518,1.039464923614806,0.9527542609381723,74.575,,unmatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-21 06:00:00+08:00,2026-08-21 05:00:00+08:00,2026-08-21 06:00:00+08:00,2026-08-21 06:00:00+08:00
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,v3,early,bce477b25295687247a8527681cb,2701,2026-08-21 14:00:00+00:00,2026-08-21 13:00:00+00:00,2701.0,2701.0,2026-08-21 14:00:00+00:00,76.918,2701.0,2026-08-21 14:00:00+00:00,bce477b25295687247a8527681cb,76.918,1.7057301714537645,4.160115426301666,2.464753005781715,76.124,,unmatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-21 22:00:00+08:00,2026-08-21 21:00:00+08:00,2026-08-21 22:00:00+08:00,2026-08-21 22:00:00+08:00
okx:NEAR-USDT-SWAP:segment0,NEAR,NEAR-USDT-SWAP,okx,60,v3,early,dc98056150ab427e4176b499af97,2622,2026-08-18 07:00:00+00:00,2026-08-18 06:00:00+00:00,2622.0,2622.0,2026-08-18 07:00:00+00:00,1.65,2622.0,2026-08-18 07:00:00+00:00,dc98056150ab427e4176b499af97,1.65,0.015295200733161185,2.4875413390212824,2.0363759371549337,1.649,,unmatched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-18 15:00:00+08:00,2026-08-18 14:00:00+08:00,2026-08-18 15:00:00+08:00,2026-08-18 15:00:00+08:00
okx:NEAR-USDT-SWAP:segment0,NEAR,NEAR-USDT-SWAP,okx,60,v3,early,f8f55ce330102b4a5e22bc1f0b47,2646,2026-08-19 07:00:00+00:00,2026-08-19 06:00:00+00:00,2646.0,2646.0,2026-08-19 07:00:00+00:00,1.62,2646.0,2026-08-19 07:00:00+00:00,f8f55ce330102b4a5e22bc1f0b47,1.62,0.016036739737618315,1.9683683973527135,1.70264763846006,1.616,,matched,2646.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-19 15:00:00+08:00,2026-08-19 14:00:00+08:00,2026-08-19 15:00:00+08:00,2026-08-19 15:00:00+08:00
