arm,feature,n,top_n,descriptive_auc,top_gross_bp,top_net_bp,top_win_rate,top_matched_actual_bp,top_random_bp,top_excess_bp,val_auc
v3,relative_volume,10386,1039,0.5082411959237264,14.636573557247754,-5.36342644275227,0.30798845043310874,-2.7438765167436823,96.82419394180461,-99.56807045854829,not_applicable_no_training
v3,tr_expansion,10386,1039,0.5191160906399612,140.59567439045324,120.5956743904532,0.343599615014437,127.7340339274528,185.39197593595546,-57.657942008502644,not_applicable_no_training
density_rearm,relative_volume,5707,571,0.5134099501845378,55.94263612217265,35.94263612217264,0.31523642732049034,32.96391808650907,70.46965316686266,-37.505735080353595,not_applicable_no_training
density_rearm,tr_expansion,5707,571,0.5189890117807039,149.40213357517285,129.40213357517285,0.3397548161120841,131.19213475404447,149.9298560827098,-18.737721328665323,not_applicable_no_training
