period,raw_edges,v3_accepted,g_accepted,quota_blocked,cooldown_blocked,bootstrap_parents,rearmed_parents,density_unknown_raw_edges,density_unknown_asset_hours,rearm_observations,density_unknown_locked_asset_hours,quota_locked_asset_hours,accepted_rearm_wait_median,rejections,coverage_credit
full,16201,10386,5707,7514,2980,7,5700,0,2027,5684,0,245117,30.0,"{'await_density_reentry': 5081, 'cooldown': 2980, 'await_density_false': 2395, 'await_disjoint_support': 38}",False
first31,7402,4981,2921,3076,1405,4,2917,0,929,2885,0,120607,30.0,"{'await_density_reentry': 1877, 'cooldown': 1405, 'await_density_false': 1182, 'await_disjoint_support': 17}",False
last30,8799,5405,2786,4438,1575,3,2783,0,1098,2799,0,124510,31.0,"{'await_density_reentry': 3204, 'cooldown': 1575, 'await_density_false': 1213, 'await_disjoint_support': 21}",False
case_night,440,224,132,166,142,0,132,0,12,51,0,2508,29.0,"{'cooldown': 142, 'await_density_reentry': 90, 'await_density_false': 75, 'await_disjoint_support': 1}",False
week_2026-07-06,731,486,298,282,151,2,296,0,161,280,0,12363,29.5,"{'await_density_reentry': 162, 'cooldown': 151, 'await_density_false': 119, 'await_disjoint_support': 1}",False
week_2026-07-13,1386,984,631,497,258,2,629,0,196,652,0,24777,28.0,"{'await_density_reentry': 275, 'cooldown': 258, 'await_density_false': 222}",False
week_2026-07-20,1808,1229,719,766,323,0,719,0,0,678,0,27227,28.0,"{'await_density_reentry': 468, 'cooldown': 323, 'await_density_false': 292, 'await_disjoint_support': 6}",False
week_2026-07-27,1542,1031,565,690,287,0,565,0,236,595,0,27625,33.0,"{'await_density_reentry': 499, 'cooldown': 287, 'await_density_false': 188, 'await_disjoint_support': 3}",False
week_2026-08-03,1935,1251,708,841,386,0,708,0,336,680,0,28615,30.5,"{'await_density_reentry': 473, 'cooldown': 386, 'await_density_false': 361, 'await_disjoint_support': 7}",False
week_2026-08-10,1439,985,580,610,249,2,578,0,263,597,0,25099,31.0,"{'await_density_reentry': 438, 'cooldown': 249, 'await_density_false': 169, 'await_disjoint_support': 3}",False
week_2026-08-17,3020,1611,578,2015,427,0,578,0,168,518,0,33900,30.0,"{'await_density_reentry': 1661, 'cooldown': 427, 'await_density_false': 350, 'await_disjoint_support': 4}",False
week_2026-08-24,1521,1063,662,586,273,1,661,0,17,707,0,26165,34.0,"{'await_density_reentry': 331, 'cooldown': 273, 'await_density_false': 251, 'await_disjoint_support': 4}",False
week_2026-08-31,2330,1390,773,1004,553,0,773,0,376,740,0,30649,27.0,"{'await_density_reentry': 603, 'cooldown': 553, 'await_density_false': 392, 'await_disjoint_support': 9}",False
week_2026-09-07,489,356,193,223,73,0,193,0,274,237,0,8697,39.0,"{'await_density_reentry': 171, 'cooldown': 73, 'await_density_false': 51, 'await_disjoint_support': 1}",False
