arm,timeframe_min,period,entries,closed,censored,wins,losses,gain_sum,loss_sum,net_r_sum,gross_return_sum,net_return_sum,realized_10r,mfe_10r,signals,fallback_signals,win_rate,pf,base_signals,signal_reduction
baseline,30,development,24537,24535,2,8009,16526,636.6738675409375,560.644207221632,2783.2153168518316,125.09966031930551,76.02966031930548,143,594,30286,1,0.3264316282861219,1.1356112474542162,30286,0.0
baseline,30,validation,40540,40281,259,11495,28786,777.4285639248196,880.7044160858574,-5009.520965094106,-22.713852161037572,-103.27585216103763,206,660,49802,0,0.28537027382636976,0.8827349445798968,49802,0.0
baseline,60,development,12813,12813,0,4046,8767,365.0659478775309,409.63174129383907,-599.5330287579192,-18.939793416308113,-44.56579341630813,53,193,15984,2,0.31577304300319986,0.8912052242935442,15984,0.0
baseline,60,validation,19619,19452,167,5901,13551,561.1771188112543,582.0539463123556,-959.8300849652228,18.027172498898786,-20.876827501101243,98,426,24594,0,0.30336212214682295,0.9641324869741578,24594,0.0
baseline,240,development,4110,4110,0,1295,2815,283.0134085285349,254.92668610324318,440.95415262500694,36.306722425291746,28.086722425291754,30,103,4947,0,0.3150851581508516,1.1101756856240497,4947,0.0
baseline,240,validation,5619,5500,119,1728,3772,339.2341827364752,302.16574496207585,185.15080389201174,48.06843777439937,37.068437774399364,31,137,6980,0,0.3141818181818182,1.1226758439446924,6980,0.0
first,30,development,16641,16639,2,5480,11159,421.5710670895914,374.44514646284335,1815.2504849507673,80.40392062674809,47.12592062674806,103,405,16957,1,0.32934671554780937,1.1258553384171703,30286,0.4401043386383148
first,30,validation,26527,26374,153,7384,18990,502.928335651517,574.2746254915965,-3577.1960364732404,-18.59828984007938,-71.34628984007942,134,451,27140,0,0.27997270038674454,0.8757627680676212,49802,0.45504196618609694
first,60,development,8850,8850,0,2854,5996,256.4678572765883,279.3637960855652,-277.3925176111046,-5.195938808976884,-22.895938808976897,42,143,9015,2,0.3224858757062147,0.91804256983262,15984,0.4359984984984985
first,60,validation,13300,13191,109,3912,9279,377.66626802422616,397.112029868714,-932.1006846129519,6.936238155512218,-19.4457618444878,63,304,13590,0,0.2965658403456902,0.9510320504495504,24594,0.44742620151256407
first,240,development,2896,2896,0,840,2056,176.20727718243586,186.83392191058596,-63.921742227388755,-4.834644728150102,-10.626644728150103,15,60,2974,0,0.2900552486187845,0.9431225089133667,4947,0.39882757226601984
first,240,validation,3656,3570,86,1038,2532,175.32622737733485,197.16751065839347,-362.3087268903551,-14.701283281058616,-21.84128328105862,15,91,3736,0,0.2907563025210084,0.8892247348048119,6980,0.46475644699140406
first_break,30,development,12003,12002,1,4103,7899,337.73575046529004,296.9964297654073,1699.9962923018695,64.74332069988277,40.73932069988276,60,220,12152,1,0.34185969005165806,1.1371710788983627,30286,0.5987585022782804
first_break,30,validation,18164,18040,124,5302,12738,412.1951111273897,449.0129392463877,-1556.9639195260402,-0.7378281189979978,-36.81782811899802,87,282,18443,0,0.2939024390243902,0.9180027457988357,49802,0.6296735070880688
first_break,60,development,6380,6380,0,2105,4275,205.27617106393606,225.96515976681238,-258.4051030017017,-7.928988702876298,-20.68898870287631,18,75,6455,2,0.3299373040752351,0.9084416875405634,15984,0.5961586586586587
first_break,60,validation,9105,9017,88,2776,6241,297.1869296294424,312.05098153194,-512.081881339241,3.1699480975023633,-14.864051902497648,26,172,9261,0,0.3078629255850061,0.9523665914155242,24594,0.6234447426201513
first_break,240,development,1830,1830,0,555,1275,125.57655433539522,137.29172518899009,130.397533184891,-8.055170853594868,-11.715170853594868,13,32,1863,0,0.30327868852459017,0.9146695051178922,4947,0.6234081261370528
first_break,240,validation,2433,2357,76,757,1600,156.6613552014903,151.29826865223777,44.09380777817126,10.077086549252513,5.363086549252511,8,58,2465,0,0.32117098005939754,1.0354471111733585,6980,0.6468481375358166
