arm,timeframe_min,period,sampled,matched,delta,low,high,p,assets
baseline,30,development,1356,1356,-0.011618658280967333,-0.016914307745733485,-0.006648125981053726,1.0,507
baseline,30,validation,2133,2122,-0.002637982121183122,-0.00664946437958743,0.0011993150841030566,0.9055472263868066,784
baseline,60,development,1314,1314,0.0028621659144734803,-0.0035463118326591785,0.009208948169156636,0.1874062968515742,493
baseline,60,validation,2073,2060,0.006698055388223949,0.0010037083865590195,0.012121317660892104,0.013493253373313344,756
baseline,240,development,1389,1384,-0.016382927476151103,-0.027350044776971432,-0.005442025115673575,0.999000499750125,416
baseline,240,validation,1947,1923,-0.016863243446645654,-0.03729775310964881,-0.0022680766398888975,0.9930034982508745,599
first,30,development,1348,1348,-0.006014014538935216,-0.010471045584139431,-0.0016712732754751703,0.9975012493753124,507
first,30,validation,2119,2108,-0.0037700770516754375,-0.007657100865338973,-9.471704665552888e-06,0.9705147426286856,782
first,60,development,1296,1295,0.0003801698050682386,-0.00621853151824446,0.006837013880940621,0.4432783608195902,493
first,60,validation,2044,2034,0.0006447432608333498,-0.004848227823418029,0.005990645972785644,0.4097951024487756,756
first,240,development,1305,1301,-0.017790337542350532,-0.029604148350461303,-0.006492986706940626,0.9985007496251874,417
first,240,validation,1742,1720,-0.02554835596169158,-0.04714738138754153,-0.010845020205685429,1.0,596
first_break,30,development,1329,1329,-0.0050238477319690415,-0.011090877476845123,0.0010225725129619839,0.9435282358820589,503
first_break,30,validation,2085,2081,-0.0029634085664447672,-0.007032354204288033,0.000975979733553822,0.927536231884058,777
first_break,60,development,1267,1267,0.0017668309783693949,-0.004739350395650144,0.008686246802248204,0.31134432783608196,491
first_break,60,validation,1965,1953,-0.003485697583243991,-0.008796864870093806,0.0021657082990512292,0.8885557221389305,737
first_break,240,development,1048,1048,-0.024633731155732495,-0.038475724100646355,-0.01066561342040103,0.9995002498750625,374
first_break,240,validation,1460,1436,-0.025974110488744276,-0.05133885209390295,-0.007658247386640021,0.999000499750125,545
