policy,month,timeframe_min,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best
baseline,2024-09,30,1014,1014,0,0.33925049309664695,0.03483874011196341,35.3264824735309,1.0523348064465057,1.1640091493412785,3,229.272147895589,9.935300108801236
baseline,2024-09,60,458,458,0,0.39956331877729256,0.07658040023744066,35.07382330874782,1.1003951253512116,1.7739646387863224,1,202.41893807818235,23.50456876329323
baseline,2024-09,240,395,395,0,0.3240506329113924,-0.15156964237287232,-59.870008737284564,0.7868764071438278,1.120519294873234,2,195.9025515727204,-82.43903254680836
baseline,2024-10,30,1187,1187,0,0.36562763268744736,0.026043180556336507,30.913255320371434,1.0412096572849914,0.9879922010143491,1,286.25100356295883,19.315538425394415
baseline,2024-10,60,837,837,0,0.2747909199522103,-0.30375953152746576,-254.24672788848886,0.5766653623202267,0.5952875725272507,1,373.89255837222424,-265.52927044553337
baseline,2024-10,240,429,429,0,0.09324009324009325,-0.6801423762939617,-291.78107943010957,0.2394437344112795,0.21784195401902917,1,330.43595354091553,-317.6120147913263
baseline,2024-11,30,1210,1210,0,0.3140495867768595,0.007257567441096354,8.781656603726589,1.010246273669073,0.9660243387102239,5,538.7893364486137,-34.90569740144155
baseline,2024-11,60,407,407,0,0.28992628992628994,-0.16693010182012852,-67.9405514407923,0.7587398969659318,0.7910242127320994,4,182.07802352622227,-83.26271588523679
baseline,2024-11,240,291,291,0,0.5120274914089347,2.5665589561708266,746.8686562457106,6.318644796796993,6.687861412763496,20,91.8018603690223,678.7504439314854
baseline,2024-12,30,1933,1931,2,0.26462972553081304,0.25055394854440555,483.81967463924707,1.3350867210163753,1.2791072325744055,16,588.7583921274872,457.5393829725803
baseline,2024-12,60,1047,1047,0,0.24068767908309455,-0.17445730416283392,-182.65679745848712,0.7688349601154526,0.8279155584184317,3,554.3854880368792,-199.2764051564886
baseline,2024-12,240,25,25,0,0.48,0.08593373404834262,2.1483433512085655,1.1676108030603627,1.9349714320237181,0,10.77647989965463,-0.3834877608980527
baseline,2025-01,30,1794,1794,0,0.3249721293199554,0.16060060387044317,288.11748334357503,1.2187034783488475,1.1697297222193892,3,740.5475004091343,276.3587122222233
baseline,2025-01,60,537,537,0,0.4022346368715084,0.06181323932143103,33.19370951560846,1.0987132505545507,1.1228147336637477,0,104.10955366348244,26.38378925698777
baseline,2025-01,240,155,155,0,0.5548387096774193,0.7816009717685375,121.1481506241233,2.726972131700916,2.76865353870209,0,66.62098717899048,115.90296211424898
baseline,2025-02,30,1740,1740,0,0.2396551724137931,-0.16197669973207485,-281.8394575338102,0.7918319767527916,0.7339106051048659,13,1006.6387977644365,-298.1418370958539
baseline,2025-02,60,1248,1248,0,0.24519230769230768,-0.3229387360229012,-403.02754255658067,0.5775559824933197,0.541582444765805,0,804.0827488180782,-410.856188563732
baseline,2025-02,240,50,50,0,0.28,-0.3375766301610667,-16.878831508053334,0.5589293095476199,0.6743272185642046,0,31.836723534184593,-20.27590984906716
baseline,2025-03,30,1817,1817,0,0.3054485415520088,-0.07420694626593032,-134.83402136519538,0.8995044536552197,0.9836219848769601,7,716.8549741674874,-167.13232755412088
baseline,2025-03,60,1069,1069,0,0.24976613657623947,-0.17265528065891717,-184.56849502438246,0.7614935420602006,0.8391767137969621,2,516.0274716296667,-199.76632553285708
baseline,2025-03,240,253,253,0,0.3438735177865613,-0.21013704670545547,-53.164672816480234,0.6872590400707451,0.7155923036172449,0,162.16264235406763,-61.381682525218096
baseline,2025-04,30,1971,1971,0,0.3226788432267884,0.11369471927303489,224.09229168715177,1.1656027931512538,1.1228610989740646,14,307.88281594679887,168.7089232660994
baseline,2025-04,60,742,742,0,0.4339622641509434,0.5976153839930272,443.4306149228262,2.0339393078394217,1.8899599393240507,11,96.19323021479501,405.40352012160287
baseline,2025-04,240,204,204,0,0.24019607843137256,-0.2299223339442618,-46.9041561246294,0.7033961081217913,0.7098105778358645,0,112.85545763872592,-54.74463535785625
baseline,2025-05,30,2094,2094,0,0.3519579751671442,0.3245772370147365,679.6647343088582,1.4761220911960018,1.3219785480794202,19,680.6365868496654,657.5689656013752
