policy,period,timeframe_min,side_group,null_iterations,removed_net_r,random_removed_mean_r,selection_extra_saved_r,p_matched_deletion,p_bonferroni_27,forced_rejections,movable_rejections,null_identified
h00_asia_shanghai,later,30,all,2000,-170.96365566775677,-200.60734409252188,-29.643688424765116,0.729135432283858,1.0,926,1086,True
h00_asia_shanghai,later,60,all,2000,50.93998169168867,27.807361782840147,-23.132619908848525,0.6951524237881059,1.0,666,431,True
h00_asia_shanghai,later,240,all,2000,219.9711764138751,254.79171075731136,34.820534343436265,0.001999000499750125,0.05397301349325337,651,117,True
h00_utc,later,30,all,2000,35.985813484918175,-27.70600338031035,-63.691816865228525,0.9570214892553723,1.0,448,609,True
h00_utc,later,60,all,2000,-172.7489153637541,-166.2880925849494,6.4608227788046975,0.3843078460769615,1.0,365,211,True
h00_utc,later,240,all,2000,-134.9341877862681,-157.9709398215436,-23.036752035275498,0.9985007496251874,1.0,664,104,True
joint_rv_gt50_tratr_gt10,later,30,all,2000,-10.817952901736637,-4.6200761778494375,6.1978767238872,0.25287356321839083,1.0,5,11,True
joint_rv_gt50_tratr_gt10,later,60,all,2000,-7.725137508929398,-18.10950579260458,-10.384368283675181,1.0,1.0,15,1,True
joint_rv_gt50_tratr_gt10,later,240,all,2000,0.8170343084706884,0.8170343084706885,1.1102230246251565e-16,,,3,0,False
risk_gt30pct,later,30,all,2000,3.8472055504734395,5.269773412316636,1.4225678618431963,0.37881059470264866,1.0,9,3,True
risk_gt30pct,later,60,all,2000,-1.1161389497787966,-1.116138949778797,-4.440892098500626e-16,,,22,0,False
risk_gt30pct,later,240,all,2000,-9.581003197108164,-9.58100319710817,-7.105427357601002e-15,,,28,0,False
rv_gt50,later,30,all,2000,-67.97721141654894,-53.77255349334309,14.20465792320585,0.16041979010494753,1.0,58,63,True
rv_gt50,later,60,all,2000,-23.353384722672626,-34.83491323346825,-11.481528510795624,0.8210894552723638,1.0,48,10,True
rv_gt50,later,240,all,2000,-13.562063790414923,-13.092649994823736,0.469413795591187,0.6136931534232883,1.0,27,4,True
stock_linked_all,later,30,all,2000,-327.946521056492,-327.94652105649186,1.1368683772161603e-13,,,1400,0,False
stock_linked_all,later,60,all,2000,-74.94738479858532,-74.94738479858536,-4.263256414560601e-14,,,610,0,False
stock_linked_all,later,240,all,2000,-16.45173295680479,-16.45173295680479,0.0,,,33,0,False
sunday_asia_shanghai,later,30,all,2000,-653.8885636222344,-352.12024282382555,301.76832079840887,0.0004997501249375312,0.013493253373313342,2173,2295,True
sunday_asia_shanghai,later,60,all,2000,-777.5574946950733,-697.354655973925,80.20283872114828,0.029985007496251874,0.8095952023988006,1576,735,True
sunday_asia_shanghai,later,240,all,2000,-109.30302712879214,-117.61405281106514,-8.311025682272998,0.84007996001999,1.0,364,85,True
sunday_utc,later,30,all,2000,-1176.5195902190803,-888.8972947866632,287.6222954324171,0.0009995002498750624,0.026986506746626684,2691,2750,True
sunday_utc,later,60,all,2000,-706.8132055674289,-623.955019623895,82.85818594353384,0.05697151424287856,1.0,1613,763,True
sunday_utc,later,240,all,2000,-120.37668659193217,-118.61132288566148,1.7653637062706906,0.4007996001999001,1.0,388,78,True
usdc_base,later,30,all,2000,-495.9983784615866,-495.99837846158675,-1.7053025658242404e-13,,,32,0,False
usdc_base,later,60,all,2000,-425.8462340559251,-425.84623405592515,-5.684341886080802e-14,,,31,0,False
usdc_base,later,240,all,2000,-67.14068541534307,-67.14068541534309,-1.4210854715202004e-14,,,4,0,False
