policy,period,timeframe_min,side_group,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best
baseline,full,all,all,95191,94746,445,0.3004876195301121,-0.021338979467646523,-2021.7829486416376,0.9699736133361709,1.0008469114462715,532,8293.680256236317,-2156.4341129608865
baseline,full,all,1,48115,47988,127,0.2846544969575727,-0.018524219519623,-888.9402463076685,0.9744920090377149,0.9664408440163446,415,5855.158806847946,-1023.5914106269174
baseline,full,all,-1,47076,46758,318,0.31673724282475724,-0.02422778353081762,-1132.8427023339702,0.965126197609046,1.0383676725768767,117,4031.605908688466,-1156.6945594768272
baseline,full,30,all,57801,57575,226,0.29610073816760746,-0.023915796628461473,-1376.9519908836694,0.9668423812290327,0.9809060256086723,330,6096.176625029487,-1511.6031552029183
baseline,full,30,1,28733,28708,25,0.28020064093632435,-0.023383517211783045,-671.2940121158676,0.9681772203033521,0.934760521153735,249,3325.805470721817,-805.9451764351165
baseline,full,30,-1,29068,28867,201,0.31191325735268643,-0.024445144239713203,-705.6579787678011,0.9654642908724912,1.0302219465577247,81,3724.015050125483,-729.5098359106581
baseline,full,60,all,28614,28473,141,0.3063604116180241,-0.039887190433327425,-1135.7079732081318,0.9429486651255415,0.9400542106586252,144,2048.9667536398506,-1200.5351142337727
baseline,full,60,1,14852,14808,44,0.2862641815235008,-0.05360098573444696,-793.7233967556906,0.925602213784932,0.8580473863001006,116,1894.4493424710415,-858.5505377813314
baseline,full,60,-1,13762,13665,97,0.32813757775338454,-0.025026313681115357,-341.98457645244133,0.9629811916485859,1.0334045337113336,28,1221.3507704038611,-358.01657645244126
baseline,full,240,all,8776,8698,78,0.31030121867095883,0.056435619159595656,490.877015450163,1.0832093776823501,1.1575956461911556,58,1015.7255254684363,422.75880313593785
baseline,full,240,1,4530,4472,58,0.3079159212880143,0.12881868572537813,576.077162563891,1.1866698632753303,1.241929471636773,50,1139.0307085587147,507.9589502496658
baseline,full,240,-1,4246,4226,20,0.31282536677709416,-0.020160943472249802,-85.20014711372767,0.9697144147908983,1.0676443306279921,8,825.0416112826802,-103.29097738895703
baseline,earlier,all,all,36573,36573,0,0.3153692614770459,0.05745986812487874,2101.47975693119,1.0822821916230054,1.0549792907120359,198,3463.5776343277003,2033.3615446169647
baseline,earlier,all,1,18391,18391,0,0.3125985536403676,0.10786601512911959,1983.7638842396382,1.153234156600815,1.1563030409042032,162,3101.1752944532573,1915.645671925413
baseline,earlier,all,-1,18182,18182,0,0.3181718182818172,0.006474308254952787,117.71587269155157,1.0093470207504043,0.9542291904260186,36,2781.047333662956,100.51702211683897
baseline,earlier,30,all,21911,21911,0,0.3215279996348866,0.12872774208247342,2820.553556769075,1.1841217455552546,1.1435475142973315,132,1916.4738266586037,2765.1701883480227
baseline,earlier,30,1,10908,10908,0,0.30344701136780344,0.1124578047969657,1226.6897347253018,1.1568637391530707,1.0610860831487943,98,2080.779066330688,1171.3063663042494
baseline,earlier,30,-1,11003,11003,0,0.33945287648823047,0.14485720458454723,1593.8638220437733,1.2125474278570063,1.230991009934728,34,1424.4932493139283,1576.6649714690607
baseline,earlier,60,all,11165,11165,0,0.30353784146887597,-0.09893750427168868,-1104.6372351934042,0.858968282326423,0.8471337055004038,38,1426.1643903364863,-1142.6643299946275
baseline,earlier,60,1,5734,5734,0,0.30711545169166377,-0.04347748469022134,-249.2998972137292,0.938079411686123,0.8819379936032484,36,1092.7107908304984,-287.3269920149525
baseline,earlier,60,-1,5431,5431,0,0.29976063340084697,-0.15749168440060307,-855.3373379796752,0.7752909755933186,0.8116827394484044,2,1024.036651646532,-868.0291713130085
