policy,timeframe_min,unchanged_entry_events,lost_entry_events,added_entry_events,lost_entry_closed_r,added_entry_closed_r,original_ge10,retained_original_ge10,new_ge10
h00_asia_shanghai,all,88350,6841,986,-74.7793943902489,36.626461933607985,532,492,5
h00_asia_shanghai,30,54352,3449,535,-125.64526350064732,-26.597976109197177,330,313,3
h00_asia_shanghai,60,26590,2024,265,-76.46681850697344,66.26053747672748,144,132,0
h00_asia_shanghai,240,7408,1368,186,127.33268761737187,-3.036099433922292,58,47,2
h00_utc,all,91012,4179,707,-332.96254782969356,-67.10962640017826,532,520,3
h00_utc,30,56039,1762,361,52.54370251990984,-3.4193705389328413,330,325,2
h00_utc,60,27772,842,166,-171.45511963544314,-29.84348195973741,144,143,1
h00_utc,240,7201,1575,180,-214.05113071416025,-33.84677390150803,58,52,0
joint_rv_gt50_tratr_gt10,all,95153,38,2,-18.912724998516417,-2.2305409987783595,532,531,0
joint_rv_gt50_tratr_gt10,30,57783,18,1,-10.909491363275096,-1.2435630252100782,330,329,0
joint_rv_gt50_tratr_gt10,60,28597,17,1,-8.820267943712006,-0.9869779735682812,144,144,0
joint_rv_gt50_tratr_gt10,240,8773,3,0,0.8170343084706884,0.0,58,58,0
risk_gt30pct,all,95111,80,9,-7.913323720240029,10.226593780857481,532,532,0
risk_gt30pct,30,57785,16,3,3.0708945712316615,8.792868347058473,330,330,0
risk_gt30pct,60,28591,23,1,-0.7823016887739067,1.180111111111101,144,144,0
risk_gt30pct,240,8735,41,5,-10.201916602697784,0.2536143226879075,58,58,0
rv_gt50,all,94926,265,22,-282.09187985433255,-9.179633367316342,532,531,0
rv_gt50,30,57649,152,11,-182.83890658546537,-4.81324553521103,330,329,0
rv_gt50,60,28546,68,6,-73.43137062037225,-3.29426297168064,144,144,0
rv_gt50,240,8731,45,5,-25.821602648494927,-1.072124860424672,58,58,0
stock_linked_all,all,93081,2110,0,-419.34563881188205,0.0,532,524,0
stock_linked_all,30,56372,1429,0,-327.946521056492,0.0,330,324,0
stock_linked_all,60,27979,635,0,-74.94738479858532,0.0,144,142,0
stock_linked_all,240,8730,46,0,-16.45173295680479,0.0,58,58,0
sunday_asia_shanghai,all,83284,11907,1519,-1477.7124949390084,-154.30977820789298,532,462,3
sunday_asia_shanghai,30,50169,7632,900,-536.2692346318298,-54.50586210180935,330,283,1
sunday_asia_shanghai,60,25038,3576,542,-855.694144037767,-64.84017756850352,144,127,2
sunday_asia_shanghai,240,8077,699,77,-85.74911626941179,-34.96373853758011,58,52,0
sunday_utc,all,81173,14018,1472,-2914.8532050800404,-146.13696009242102,532,459,4
sunday_utc,30,48471,9330,888,-1611.6280607346446,-77.65239076033575,330,279,3
sunday_utc,60,24771,3843,490,-1058.8156105992557,-52.861469708259605,144,125,1
sunday_utc,240,7931,845,94,-244.40953374614008,-15.62309962382563,58,55,0
usdc_base,all,95023,168,0,-2150.290112526523,0.0,532,532,0
usdc_base,30,57716,85,0,-1188.114496260239,0.0,330,330,0
usdc_base,60,28550,64,0,-788.5390518846359,0.0,144,144,0
usdc_base,240,8757,19,0,-173.63656438164793,0.0,58,58,0
