policy,period,timeframe_min,side_group,base_events,base_closed,base_censored,base_win_rate,base_mean_r,base_total_r,base_pf_r,base_pf_nominal,base_realized_ge10,base_event_drawdown_r,base_total_r_without_best,kept_events,kept_closed,kept_censored,kept_win_rate,kept_mean_r,kept_total_r,kept_pf_r,kept_pf_nominal,kept_realized_ge10,kept_event_drawdown_r,kept_total_r_without_best,feature_unknown,removed_closed,saved_loss_r,lost_winner_r,fixed_delta_r,original_ge10,retained_original_ge10,weekly_mean_delta_low,weekly_mean_delta_high
h00_asia_shanghai,full,all,all,95191,94746,445,0.3004876195301121,-0.021338979467646523,-2021.7829486416376,0.9699736133361709,1.0008469114462715,532,8293.680256236317,-2156.4341129608865,88350,87981,369,0.30079221650129007,-0.02212981841819699,-1947.0035542513895,0.968909793948073,0.9962847814250979,492,7746.189378142023,-2081.6547185706386,0,6765,4709.20395076109,4634.424556370842,74.77939439024892,532,492,-0.012867325890450103,0.011897907326663695
h00_asia_shanghai,full,all,1,48115,47988,127,0.2846544969575727,-0.018524219519623,-888.9402463076685,0.9744920090377149,0.9664408440163446,415,5855.158806847946,-1023.5914106269174,44614,44504,110,0.2845137515728923,-0.021389880563341974,-951.9352445909713,0.9705745945237031,0.9546711084084539,382,5497.227842008217,-1086.5864089102201,0,3484,2498.6865325854387,2561.6815308687437,-62.99499828330511,415,382,-0.021688476887140096,0.01746457091990001
h00_asia_shanghai,full,all,-1,47076,46758,318,0.31673724282475724,-0.02422778353081762,-1132.8427023339702,0.965126197609046,1.0383676725768767,117,4031.605908688466,-1156.6945594768272,43736,43477,259,0.31745520620097983,-0.022887234852000275,-995.0683096604159,0.9671307613014807,1.0416431348995918,110,3737.381523083781,-1018.920166803273,0,3281,2210.517418175652,2072.743025502098,137.77439267355396,117,110,-0.014504220501774709,0.017424372863872283
h00_asia_shanghai,full,30,all,57801,57575,226,0.29610073816760746,-0.023915796628461473,-1376.9519908836694,0.9668423812290327,0.9809060256086723,330,6096.176625029487,-1511.6031552029183,54352,54168,184,0.29559887756609066,-0.023100478647596755,-1251.306727383021,0.968103525626223,0.9863244136890629,313,5765.905279068721,-1385.95789170227,0,3407,2297.2171652313305,2171.5719017306833,125.6452635006473,330,313,-0.008665517516345846,0.01169353931197851
h00_asia_shanghai,full,30,1,28733,28708,25,0.28020064093632435,-0.023383517211783045,-671.2940121158676,0.9681772203033521,0.934760521153735,249,3325.805470721817,-805.9451764351165,26850,26828,22,0.2790741016848069,-0.022927865662134204,-615.1087799837364,0.9689341130705785,0.9423797213185602,234,3089.4615708084107,-749.7599443029853,0,1880,1294.627714703606,1238.4424825714748,56.185232132131055,249,234,-0.01739297669476052,0.018925018974682593
h00_asia_shanghai,full,30,-1,29068,28867,201,0.31191325735268643,-0.024445144239713203,-705.6579787678011,0.9654642908724912,1.0302219465577247,81,3724.015050125483,-729.5098359106581,27502,27340,162,0.3118141916605706,-0.02326985908556272,-636.1979473992848,0.9672571207962068,1.032741678763029,79,3539.502975524924,-660.0498045421418,0,1527,1002.5894505277247,933.1294191592083,69.46003136851624,81,79,-0.011128148648073394,0.013832159192559711
h00_asia_shanghai,full,60,all,28614,28473,141,0.3063604116180241,-0.039887190433327425,-1135.7079732081318,0.9429486651255415,0.9400542106586252,144,2048.9667536398506,-1200.5351142337727,26590,26469,121,0.30756734292946464,-0.04001817804605984,-1059.241154701158,0.9426193771073872,0.9420728543758453,132,1889.5534320793995,-1110.3398513303719,0,2004,1446.862654215946,1370.3958357089728,76.46681850697344,144,132,-0.019961675878135222,0.02186868428688205
h00_asia_shanghai,full,60,1,14852,14808,44,0.2862641815235008,-0.05360098573444696,-793.7233967556906,0.925602213784932,0.8580473863001006,116,1894.4493424710415,-858.5505377813314,13904,13865,39,0.2882077172737108,-0.052408771439347024,-726.6476160065465,0.9268430361942751,0.8672412474584794,106,1779.2954494225542,-777.7463126357605,0,943,735.922966770037,668.8471860208933,67.07578074914356,116,106,-0.028835571381987828,0.03599183169800573
h00_asia_shanghai,full,60,-1,13762,13665,97,0.32813757775338454,-0.025026313681115357,-341.98457645244133,0.9629811916485859,1.0334045337113336,28,1221.3507704038611,-358.01657645244126,12686,12604,82,0.3288638527451603,-0.02638793547243822,-332.5935386946113,0.960996117902989,1.0278905502147673,26,1092.913303835152,-348.62553869461124,0,1061,710.939687445909,701.5486496880792,9.391037757829878,28,26,-0.03196389538136884,0.025274338590035826
h00_asia_shanghai,full,240,all,8776,8698,78,0.31030121867095883,0.056435619159595656,490.877015450163,1.0832093776823501,1.1575956461911556,58,1015.7255254684363,422.75880313593785,7408,7344,64,0.31467864923747274,0.04950222328877881,363.54432783279157,1.0736788465235296,1.1272321221131745,47,878.3657771406449,295.4261155185664,0,1354,965.1241313138139,1092.4568189311858,-127.33268761737182,58,47,-0.06827725901656524,0.03367628107679005
