symbol,tf,group,chg_3d,signal_time,conf,status,outcome,entry,tp,sl,atr,held_bars,gross,net_taker,in_distribution,png
BTC_USDT_SWAP,15m,主流,-0.0066,2026-07-27 13:15:00+00:00,0.374,closed,SL,64913.4,64263.554688558055,65173.33812457678,129.96906228838958,0,-0.004,-0.005,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/BTC_USDT_SWAP_15m_0727_1315.png
BTC_USDT_SWAP,15m,主流,-0.0066,2026-07-27 18:30:00+00:00,0.321,closed,TP,64807.4,63860.50753974989,65186.156984100046,189.37849205002237,16,0.01461,0.01361,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/BTC_USDT_SWAP_15m_0727_1830.png
BTC_USDT_SWAP,15m,主流,-0.0066,2026-07-27 21:15:00+00:00,0.358,closed,TP,64803.3,64103.93892238378,65083.044431046495,139.87221552324516,5,0.01079,0.00979,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/BTC_USDT_SWAP_15m_0727_2115.png
ETH_USDT_SWAP,15m,主流,0.0096,2026-07-27 14:30:00+00:00,0.321,closed,SL,1920.2,1864.8720191753696,1942.3311923298522,11.065596164926115,7,-0.01153,-0.01253,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/ETH_USDT_SWAP_15m_0727_1430.png
ETH_USDT_SWAP,15m,主流,0.0096,2026-07-27 18:30:00+00:00,0.344,closed,SL,1934.49,1890.8594502905771,1951.9422198837692,8.726109941884577,3,-0.00902,-0.01002,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/ETH_USDT_SWAP_15m_0727_1830.png
ETH_USDT_SWAP,15m,主流,0.0096,2026-07-27 22:00:00+00:00,0.371,closed,TP,1937.48,1904.720988750668,1950.583604499733,6.551802249866405,2,0.01691,0.01591,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/ETH_USDT_SWAP_15m_0727_2200.png
SOL_USDT_SWAP,15m,主流,-0.0085,2026-07-25 14:00:00+00:00,0.337,closed,SL,73.84,73.19454006444329,74.09818397422269,0.12909198711134381,3,-0.0035,-0.0045,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/SOL_USDT_SWAP_15m_0725_1400.png
SOL_USDT_SWAP,15m,主流,-0.0085,2026-07-27 14:15:00+00:00,0.378,closed,TP,75.77,73.86924672921637,76.53030130831344,0.3801506541567239,34,0.02509,0.02409,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/SOL_USDT_SWAP_15m_0727_1415.png
SOL_USDT_SWAP,15m,主流,-0.0085,2026-07-27 21:15:00+00:00,0.344,closed,TP,75.54,74.04750190192637,76.13699923922947,0.2984996196147272,5,0.01976,0.01876,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/SOL_USDT_SWAP_15m_0727_2115.png
BNB_USDT_SWAP,15m,主流,0.0028,2026-07-27 09:00:00+00:00,0.36,closed,SL,571.6,566.68409973597,573.566360105612,0.9831800528059982,5,-0.00344,-0.00444,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/BNB_USDT_SWAP_15m_0727_0900.png
BNB_USDT_SWAP,15m,主流,0.0028,2026-07-27 14:15:00+00:00,0.366,closed,SL,569.3,560.9615567723351,572.6353772910659,1.6676886455329574,11,-0.00586,-0.00686,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/BNB_USDT_SWAP_15m_0727_1415.png
BNB_USDT_SWAP,15m,主流,0.0028,2026-07-27 22:15:00+00:00,0.345,closed,TP,572.1,566.056504494954,574.5173982020184,1.2086991010092132,1,0.01056,0.00956,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/BNB_USDT_SWAP_15m_0727_2215.png
XRP_USDT_SWAP,15m,主流,-0.0324,2026-07-26 13:00:00+00:00,0.342,closed,SL,1.096,1.0886316463406362,1.0989473414637456,0.0014736707318727628,3,-0.00269,-0.00369,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/XRP_USDT_SWAP_15m_0726_1300.png
XRP_USDT_SWAP,15m,主流,-0.0324,2026-07-27 12:00:00+00:00,0.363,closed,SL,1.1027,1.08981491391667,1.107854034433332,0.002577017216665994,5,-0.00467,-0.00567,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/XRP_USDT_SWAP_15m_0727_1200.png
XRP_USDT_SWAP,15m,主流,-0.0324,2026-07-27 14:15:00+00:00,0.356,closed,TP,1.0961,1.074718253591593,1.104652698563363,0.004276349281681438,32,0.01951,0.01851,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/XRP_USDT_SWAP_15m_0727_1415.png
XRP_USDT_SWAP,15m,主流,-0.0324,2026-07-27 20:30:00+00:00,0.343,closed,TP,1.0893,1.0711973991574975,1.096541040337001,0.0036205201685005186,7,0.01662,0.01562,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/XRP_USDT_SWAP_15m_0727_2030.png
DOGE_USDT_SWAP,15m,主流,0.0089,2026-07-25 11:30:00+00:00,0.329,closed,SL,0.06933,0.06871118946051388,0.06957752421579445,0.00012376210789722306,2,-0.00357,-0.00457,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/DOGE_USDT_SWAP_15m_0725_1130.png
DOGE_USDT_SWAP,15m,主流,0.0089,2026-07-27 02:45:00+00:00,0.369,closed,SL,0.07259,0.07146658957679156,0.07303936416928337,0.00022468208464168957,5,-0.00619,-0.00719,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/DOGE_USDT_SWAP_15m_0727_0245.png
DOGE_USDT_SWAP,15m,主流,0.0089,2026-07-27 08:00:00+00:00,0.362,closed,SL,0.07257,0.07134732843735668,0.07305906862505732,0.0002445343125286618,21,-0.00674,-0.00774,True,/Users/zhangzc/fable-trading/analysis/output/movers_3d/DOGE_USDT_SWAP_15m_0727_0800.png
