instrument,asset,symbol,venue,minutes,candidate_i,candidate_time,candidate_close,frozen_prior_low,frozen_prior_high,interval_source_i,interval_source_time,expected_decision_time,decision_i,classification_time,decision_close,f_status,f_reason,location,location_reason,available_at_candidate
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2652,2026-08-19 13:00:00+00:00,59.279,58.023,58.955,2652,2026-08-19 13:00:00+00:00,2026-08-19 14:00:00+00:00,2653.0,2026-08-19 14:00:00+00:00,58.637,rejected,close_at_or_below_frozen_high,inside,frozen_interval_comparison,False
okx:NEAR-USDT-SWAP:segment0,NEAR,NEAR-USDT-SWAP,okx,60,2646,2026-08-19 07:00:00+00:00,1.62,1.562,1.616,2646,2026-08-19 07:00:00+00:00,2026-08-19 08:00:00+00:00,2647.0,2026-08-19 08:00:00+00:00,1.611,rejected,close_at_or_below_frozen_high,inside,frozen_interval_comparison,False
okx:PEPE-USDT-SWAP:segment0,PEPE,PEPE-USDT-SWAP,okx,60,2652,2026-08-19 13:00:00+00:00,2.616e-06,2.566e-06,2.606e-06,2652,2026-08-19 13:00:00+00:00,2026-08-19 14:00:00+00:00,2653.0,2026-08-19 14:00:00+00:00,2.596e-06,rejected,close_at_or_below_frozen_high,inside,frozen_interval_comparison,False
