location,timely_positive,original_timely_denominator,fraction_of_original_timely,large_positive_anchors,original_large_denominator,fraction_of_original_large
above,1171,1463,0.8004101161995899,643,947,0.6789862724392819
inside,292,1463,0.19958988380041012,155,947,0.16367476240760295
below,0,1463,0.0,0,947,0.0
unknown,0,1463,0.0,0,947,0.0
not_caught,0,1463,0.0,149,947,0.1573389651531151
