fold,cohort,paired_n,censored_either,mean_delta_net_bp,n_pairs,n_blocks,mean,ci_low,ci_high,p,method
development,all,6840,169,-29.82602227566709,6840,24,0.0012265657540152027,-0.003032368741973143,0.005558353794473753,0.2873,monte_carlo_month_sign_flip_plus_one
development,strong,3538,131,-27.53888954964208,3538,20,0.0022159350984381726,-0.0013360288114041786,0.00571021598666487,0.1257,monte_carlo_month_sign_flip_plus_one
validation,all,4566,17,-65.98721921623515,4566,12,-0.00021668491217426036,-0.0036226377133879053,0.002748349584198388,0.55419921875,exact_month_sign_flip
validation,strong,1592,0,-70.63736069330358,1592,8,0.0006617640655104896,-0.0022810065771933638,0.0033649964753735603,0.36328125,exact_month_sign_flip
