fold,portfolio,state,bars,pnl_contribution_pp
development,D,strong,1794,10.366580315397433
development,D,other,2592,8.831235002615312
development,D,unknown,0,0.0
development,E,strong,1794,12.21364555834744
development,E,other,2592,2.5337054273593007
development,E,unknown,0,0.0
development,D_E,strong,1794,7.352001998082458
development,D_E,other,2592,2.763556858813443
development,D_E,unknown,0,0.0
development,random_D,strong,1794,11.904480700167785
development,random_D,other,2592,11.6419403078313
development,random_D,unknown,0,0.0
development,random_E,strong,1794,12.318422208141689
development,random_E,other,2592,3.023525840784902
development,random_E,unknown,0,0.0
development,random_D_E,strong,1794,10.792880213727141
development,random_D_E,other,2592,1.0841015535200227
development,random_D_E,unknown,0,0.0
development,buy_hold,strong,1794,84.1274750883234
development,buy_hold,other,2592,88.38781963095957
development,buy_hold,unknown,0,0.0
validation,D,strong,540,-2.2208197360925386
validation,D,other,1650,-0.6523009641805855
validation,D,unknown,0,0.0
validation,E,strong,540,-6.172072394748607
validation,E,other,1650,0.024901912355257405
validation,E,unknown,0,0.0
validation,D_E,strong,540,-5.633989602893685
validation,D_E,other,1650,1.924366884685147
validation,D_E,unknown,0,0.0
validation,random_D,strong,540,-1.7989283007768364
validation,random_D,other,1650,4.803949408919772
validation,random_D,unknown,0,0.0
validation,random_E,strong,540,-5.4972752903718725
validation,random_E,other,1650,0.8000046698433461
validation,random_E,unknown,0,0.0
validation,random_D_E,strong,540,-4.976581068099062
validation,random_D_E,other,1650,-0.055755098686638416
validation,random_D_E,unknown,0,0.0
validation,buy_hold,strong,540,-34.938173504362894
validation,buy_hold,other,1650,-18.927433916328006
validation,buy_hold,unknown,0,0.0
