fold,arm,cohort,n,n_valid,n_natural,n_censored,mean_gross_bp,median_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_hold_hours,median_hold_hours,mean_mfe_bp,median_mfe_bp,mean_mae_bp,median_mae_bp,mean_capture_ratio,median_capture_ratio,top3_positive_profit_share,net_ex_top3_mean_bp,matched_n,matched_symbols,matched_strategy_mean_net_bp,control_mean_net_bp,mean_matched_excess_bp,block_risk_excess_bp,block_ci_low_bp,block_ci_high_bp,p,n_blocks,n_scored,n_positive,n_negative,auc,top_n,top_mean_gross_bp,top_mean_net_bp,top_matched_n,top_mean_matched_excess_bp,top_mean_risk_sized_excess,top_p,top_n_blocks,top_ci_low,top_ci_high,top_test_description,reason,p_holm,top_p_holm
development,D,all,6840,6840,6831,9,214.2323060978564,-282.8081270503674,194.2323060978564,-302.80812705036743,0.3103498755672669,1.6133895425270064,89.5391812865497,64.0,1312.1260202569713,483.8951472882669,-400.0040050637983,-370.5355355476997,-6.4282806860032835,-0.6828849557522108,0.029408465828093266,179.27238741330498,6563,39,177.45144943633383,363.64294347373686,-186.19149403740303,-26.405656633073303,-38.97830529296399,-14.37517381164113,1.0,24,6831,2120,4711,0.5137145901002471,684,565.6173683789423,545.6173683789423,653,-277.68189520645507,-0.0031619391712230716,0.9857,24,-0.005729685181263971,-0.0006349117534969279,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
development,D,strong,3538,3538,3538,0,228.81198377104968,-375.04417959940304,208.81198377104968,-395.04417959940304,0.2699265121537592,1.5419033089627447,83.19728660260034,52.0,1540.1682832663375,477.6955521634429,-473.4398624470726,-440.9514370967305,-9.015281937416756,-0.9399783217173252,0.04768325464978072,180.6344932855164,3354,39,209.9315926124198,479.69828389304394,-269.76669128062423,-32.37444522783182,-48.171323377323525,-16.59171194094953,0.9997,18,3538,955,2583,0.5231487393407965,354,537.0405723214566,517.0405723214566,345,-399.20439618137584,-0.0037732575248703073,0.9690093994140625,16,-0.007437546837579662,-0.00024181119512320628,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
development,D,other,3302,3302,3293,9,198.6105921039866,-193.60628526959857,178.6105921039866,-213.60628526959857,0.353780747039174,1.7345400042054695,96.3343428225318,72.0,1067.7851581954515,485.7142217220289,-321.3195521800839,-300.63202138521984,-3.6544719044002205,-0.4716716455440109,0.05035424217862479,157.47007231816121,3209,39,143.50367747853002,242.34359421653642,-98.83991673800634,-3.8283864147628037,-36.62824066454509,41.10467783871253,0.5386,20,3293,1165,2128,0.5086421794830424,330,583.5912599483041,563.591259948304,308,-169.15325959389864,-0.000679270267594928,0.6174,19,-0.0042751259833970915,0.00344447946596486,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,0.8340000000000001,1.0
development,D,unknown,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,,0,,,0,,,,0,,,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,AUC requires both positive and nonpositive natural exits; Top decile requires at least ten scored natural exits,,
development,E,all,10996,10996,10578,418,176.13117975602106,-542.0170553222276,156.13117975602106,-562.0170553222276,0.10049158631121195,0.9304369546476147,395.00400145507456,92.0,2684.0902585678605,546.7536133207195,-604.0818230447358,-566.7913196294877,-5.859250478241667,-1.0073396051404042,0.02489522941265179,138.13957417929248,10531,39,165.73697334487065,154.1458070337243,11.59116631114633,2.477276472874158,-8.111201688904382,16.86069999569083,0.4119,24,10578,1063,9515,0.40396907591073955,1058,-83.92046850723594,-103.92046850723584,1032,-442.59977099381547,-0.012239346190242823,1.0,20,-0.023847308275591627,-0.004025090163550037,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
development,E,strong,7459,7459,7211,248,208.32808667007555,-585.2867036779563,188.32808667007546,-605.2867036779563,0.09097212591873527,0.9638812580156376,394.06515618715645,92.0,2949.8659266101104,609.2353242612303,-643.3198010427226,-608.9013336880944,-6.0235628173172895,-1.0160388081157112,0.03325006926479681,161.81452317970064,7172,39,191.85307457183524,167.9783422183619,23.874732353473348,4.412604315749976,-7.147321788035066,22.65319862429694,0.4642,18,7211,656,6555,0.4362588603002735,722,78.5546467466301,58.554646746630176,711,-427.9283955406924,-0.00989864146251592,0.98681640625,15,-0.023562746097048812,-0.0013626061084437882,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
development,E,other,3537,3537,3367,170,108.23275491238725,-454.62224410071303,88.23275491238729,-474.6222441007131,0.12087912087912088,0.8389477798667371,396.9838846480068,84.0,2123.609425113762,450.1688133049897,-521.3348403229421,-488.2500866559125,-5.512627425376645,-0.9977716425815736,0.07262553888199419,47.186461966757264,3359,38,109.97493762001506,124.61114125693935,-14.636203636924368,8.502204209497654,-12.148625779608217,36.79416323366961,0.278,20,3367,407,2960,0.36280795537552296,337,-395.7179929403094,-415.7179929403094,319,-436.77627140017233,-0.01312209886176656,0.9971,20,-0.025835623344041235,-0.0034379324521648107,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,0.8340000000000001,1.0
development,E,unknown,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,,0,,,0,,,,0,,,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,AUC requires both positive and nonpositive natural exits; Top decile requires at least ten scored natural exits,,
development,D_E,all,6840,6840,6674,166,184.40628382218927,-144.63881588937133,164.40628382218927,-164.63881588937136,0.25307162121666166,1.01385601074334,205.1888888888889,4.0,1594.9843127894255,189.17252949767317,-350.06760620496834,-246.8833469251386,-5.9991428897725765,-0.6321766318662091,0.04200767926439889,144.54495774324272,6563,39,172.73516000110976,343.4241080644509,-170.6889480633412,-13.518410514084389,-33.81960273449059,2.6539286937373014,0.9069,24,6674,1689,4985,0.5104437053018143,668,235.08271678119186,215.0827167811919,637,-450.6339094751177,-0.00618737334013729,0.9784,24,-0.012345454369423912,-0.0011515472814013995,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
development,D_E,strong,3538,3538,3407,131,201.27309422140758,-430.4839476436184,181.27309422140758,-450.4839476436184,0.1684766656882888,0.9154829678628277,265.3736574335783,28.0,2231.4289325986288,306.71541695382774,-479.8387031990719,-461.35489785560867,-8.72744688623404,-0.8090576120415489,0.05814222129777641,145.12594527186735,3354,39,194.6559905254964,561.3983350090135,-366.7423444835171,-24.447537095167775,-53.1664329606482,-1.005385172899668,0.9567,18,3407,574,2833,0.5006254066373047,341,315.0229264751078,295.0229264751078,332,-795.0273749654843,-0.007607722596822851,0.9770355224609375,16,-0.015385551179516881,-0.0010993967838016242,Top-decile monthly paired risk-sized random-entry excess; not ranking-label permutation,,1.0,1.0
