fold,portfolio,net_pct,mdd_pct,mean_exposure,peak_exposure
development,D,19.197815318012744,-4.548159951531416,0.05500031231818354,0.21767274925963107
development,E,14.747350985706742,-10.75600540326086,0.0886158229257156,0.30126836868802576
development,D_E,10.115558856895902,-9.524127061640343,0.08062750098873295,0.28713653762702596
development,random_D,23.546421007999086,-4.382988952294042,0.06690800276579066,0.20752889849456613
development,random_E,15.34194804892659,-9.745018815628425,0.08699431572130537,0.29515383471855694
development,random_D_E,11.876981767247162,-10.826457036231773,0.08318015387724324,0.2936951154253312
development,buy_hold,172.51529471928296,-51.84787153661752,0.7452599442884139,0.9313821009765428
validation,D,-2.873120700273124,-5.479718300682778,0.05127662257076643,0.275533986170785
validation,E,-6.147170482393349,-7.012978072391829,0.048242612122159655,0.1937332482305152
validation,D_E,-3.7096227182085384,-4.54871613782265,0.043568792749698916,0.24372396901875795
validation,random_D,3.0050211081429357,-4.487813015931319,0.067548133460226,0.2596138046575484
validation,random_E,-4.697270620528526,-5.570521247188543,0.047061931120177744,0.18751746180618398
validation,random_D_E,-5.032336166785701,-5.985464127050655,0.04852484095707475,0.19178551449255274
validation,buy_hold,-53.8656074206909,-60.66865836076437,0.7876425009544052,0.9140091238612618
