symbol,manifest_path,manifest_sha256,frozen_end_exclusive,history_builder_path,history_builder_sha256,history_builder_commit,output_path,output_sha256,prefix_sha256,loader_path,loader_sha256,requested_end,effective_end,source_rows,source_start,source_end_close,bar_rows,bar_start,bar_end_close,partial_edge_rows_dropped,gap_count,holdout_price_rows_materialized,ready_rows,first_ready
AAVE,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/manifest.json,4aef5c69d86ed87e71ae22fc7c56fd8dac37fe033cf1d1cc014f97af7490a49d,2026-01-01T00:00:00+00:00,/Users/zhangzc/fable-trading/yoyo/data/altcoin_history.py,95e993f40de6ee36dcf541399f2dade944b8e7aa0af85c1999ae924ed95e47ce,bf9aba98a974ea348d0504206bfd9d9166bf8392,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/frozen_pool/AAVE_USDT_SWAP_15m.csv,d84d1dfeb39634cf11c27ddd2a32198e5bff1263547a4dc08f17c9f422ef0369,d84d1dfeb39634cf11c27ddd2a32198e5bff1263547a4dc08f17c9f422ef0369,/Users/zhangzc/fable-trading/yoyo/evaluation/altseason_trend_data.py,3d9e7c0d10662feab3af18ffba2bf891c4d657096fd68c62758dc7f4b15fafaa,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,140007,2022-01-03T14:15:00+00:00,2026-01-01T00:00:00+00:00,8750,2022-01-03T16:00:00+00:00,2026-01-01T00:00:00+00:00,7,0,0,7213,2022-09-17 00:00:00+00:00
ADA,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/manifest.json,4aef5c69d86ed87e71ae22fc7c56fd8dac37fe033cf1d1cc014f97af7490a49d,2026-01-01T00:00:00+00:00,/Users/zhangzc/fable-trading/yoyo/data/altcoin_history.py,95e993f40de6ee36dcf541399f2dade944b8e7aa0af85c1999ae924ed95e47ce,bf9aba98a974ea348d0504206bfd9d9166bf8392,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/frozen_pool/ADA_USDT_SWAP_15m.csv,f44cd576a8151bbfa54d1e82f2c16ba783dc9980d718e32171b7dc731b1b49bc,f44cd576a8151bbfa54d1e82f2c16ba783dc9980d718e32171b7dc731b1b49bc,/Users/zhangzc/fable-trading/yoyo/evaluation/altseason_trend_data.py,3d9e7c0d10662feab3af18ffba2bf891c4d657096fd68c62758dc7f4b15fafaa,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,140007,2022-01-03T14:15:00+00:00,2026-01-01T00:00:00+00:00,8750,2022-01-03T16:00:00+00:00,2026-01-01T00:00:00+00:00,7,0,0,7213,2022-09-17 00:00:00+00:00
APE,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/manifest.json,4aef5c69d86ed87e71ae22fc7c56fd8dac37fe033cf1d1cc014f97af7490a49d,2026-01-01T00:00:00+00:00,/Users/zhangzc/fable-trading/yoyo/data/altcoin_history.py,95e993f40de6ee36dcf541399f2dade944b8e7aa0af85c1999ae924ed95e47ce,bf9aba98a974ea348d0504206bfd9d9166bf8392,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/frozen_pool/APE_USDT_SWAP_15m.csv,ff95ff33184c2abc816af6a771f4c78b9abbdad9d07cb75ee820acc60ca53747,ff95ff33184c2abc816af6a771f4c78b9abbdad9d07cb75ee820acc60ca53747,/Users/zhangzc/fable-trading/yoyo/evaluation/altseason_trend_data.py,3d9e7c0d10662feab3af18ffba2bf891c4d657096fd68c62758dc7f4b15fafaa,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,133004,2022-03-17T13:00:00+00:00,2026-01-01T00:00:00+00:00,8312,2022-03-17T16:00:00+00:00,2026-01-01T00:00:00+00:00,12,0,0,6775,2022-11-29 00:00:00+00:00
APT,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/manifest.json,4aef5c69d86ed87e71ae22fc7c56fd8dac37fe033cf1d1cc014f97af7490a49d,2026-01-01T00:00:00+00:00,/Users/zhangzc/fable-trading/yoyo/data/altcoin_history.py,95e993f40de6ee36dcf541399f2dade944b8e7aa0af85c1999ae924ed95e47ce,bf9aba98a974ea348d0504206bfd9d9166bf8392,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/frozen_pool/APT_USDT_SWAP_15m.csv,ba00031b9f7b142aa33d0b1621ebc133715894c33f1a31bb45594278e2edd83a,ba00031b9f7b142aa33d0b1621ebc133715894c33f1a31bb45594278e2edd83a,/Users/zhangzc/fable-trading/yoyo/evaluation/altseason_trend_data.py,3d9e7c0d10662feab3af18ffba2bf891c4d657096fd68c62758dc7f4b15fafaa,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,112315,2022-10-19T01:15:00+00:00,2026-01-01T00:00:00+00:00,7019,2022-10-19T04:00:00+00:00,2026-01-01T00:00:00+00:00,11,0,0,5479,2023-07-03 00:00:00+00:00
ARB,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/manifest.json,4aef5c69d86ed87e71ae22fc7c56fd8dac37fe033cf1d1cc014f97af7490a49d,2026-01-01T00:00:00+00:00,/Users/zhangzc/fable-trading/yoyo/data/altcoin_history.py,95e993f40de6ee36dcf541399f2dade944b8e7aa0af85c1999ae924ed95e47ce,bf9aba98a974ea348d0504206bfd9d9166bf8392,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/frozen_pool/ARB_USDT_SWAP_15m.csv,34e74e4397759d506cad3385df21a26de9b582452dbbf1f619571063f5ad714e,34e74e4397759d506cad3385df21a26de9b582452dbbf1f619571063f5ad714e,/Users/zhangzc/fable-trading/yoyo/evaluation/altseason_trend_data.py,3d9e7c0d10662feab3af18ffba2bf891c4d657096fd68c62758dc7f4b15fafaa,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,97384,2023-03-23T14:00:00+00:00,2026-01-01T00:00:00+00:00,6086,2023-03-23T16:00:00+00:00,2026-01-01T00:00:00+00:00,8,0,0,4549,2023-12-05 00:00:00+00:00
ATOM,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/manifest.json,4aef5c69d86ed87e71ae22fc7c56fd8dac37fe033cf1d1cc014f97af7490a49d,2026-01-01T00:00:00+00:00,/Users/zhangzc/fable-trading/yoyo/data/altcoin_history.py,95e993f40de6ee36dcf541399f2dade944b8e7aa0af85c1999ae924ed95e47ce,bf9aba98a974ea348d0504206bfd9d9166bf8392,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/frozen_pool/ATOM_USDT_SWAP_15m.csv,b1fba3d54889aaddb194a0326024adace75b8259e904cf6065d85e411d1a800b,b1fba3d54889aaddb194a0326024adace75b8259e904cf6065d85e411d1a800b,/Users/zhangzc/fable-trading/yoyo/evaluation/altseason_trend_data.py,3d9e7c0d10662feab3af18ffba2bf891c4d657096fd68c62758dc7f4b15fafaa,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,140007,2022-01-03T14:15:00+00:00,2026-01-01T00:00:00+00:00,8750,2022-01-03T16:00:00+00:00,2026-01-01T00:00:00+00:00,7,0,0,7213,2022-09-17 00:00:00+00:00
AVAX,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/manifest.json,4aef5c69d86ed87e71ae22fc7c56fd8dac37fe033cf1d1cc014f97af7490a49d,2026-01-01T00:00:00+00:00,/Users/zhangzc/fable-trading/yoyo/data/altcoin_history.py,95e993f40de6ee36dcf541399f2dade944b8e7aa0af85c1999ae924ed95e47ce,bf9aba98a974ea348d0504206bfd9d9166bf8392,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/frozen_pool/AVAX_USDT_SWAP_15m.csv,a89a95a43f6b62e4b68027044f359370917ab5c4ce117e2c3ad1b0d39ad1a6aa,a89a95a43f6b62e4b68027044f359370917ab5c4ce117e2c3ad1b0d39ad1a6aa,/Users/zhangzc/fable-trading/yoyo/evaluation/altseason_trend_data.py,3d9e7c0d10662feab3af18ffba2bf891c4d657096fd68c62758dc7f4b15fafaa,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,140007,2022-01-03T14:15:00+00:00,2026-01-01T00:00:00+00:00,8750,2022-01-03T16:00:00+00:00,2026-01-01T00:00:00+00:00,7,0,0,7213,2022-09-17 00:00:00+00:00
BCH,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/manifest.json,4aef5c69d86ed87e71ae22fc7c56fd8dac37fe033cf1d1cc014f97af7490a49d,2026-01-01T00:00:00+00:00,/Users/zhangzc/fable-trading/yoyo/data/altcoin_history.py,95e993f40de6ee36dcf541399f2dade944b8e7aa0af85c1999ae924ed95e47ce,bf9aba98a974ea348d0504206bfd9d9166bf8392,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/frozen_pool/BCH_USDT_SWAP_15m.csv,366ad7cf6ee07f8689c88b35f8598052411cd081fdd2413820b8377d21508d1e,366ad7cf6ee07f8689c88b35f8598052411cd081fdd2413820b8377d21508d1e,/Users/zhangzc/fable-trading/yoyo/evaluation/altseason_trend_data.py,3d9e7c0d10662feab3af18ffba2bf891c4d657096fd68c62758dc7f4b15fafaa,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,140007,2022-01-03T14:15:00+00:00,2026-01-01T00:00:00+00:00,8750,2022-01-03T16:00:00+00:00,2026-01-01T00:00:00+00:00,7,0,0,7213,2022-09-17 00:00:00+00:00
BNB,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/manifest.json,4aef5c69d86ed87e71ae22fc7c56fd8dac37fe033cf1d1cc014f97af7490a49d,2026-01-01T00:00:00+00:00,/Users/zhangzc/fable-trading/yoyo/data/altcoin_history.py,95e993f40de6ee36dcf541399f2dade944b8e7aa0af85c1999ae924ed95e47ce,bf9aba98a974ea348d0504206bfd9d9166bf8392,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/frozen_pool/BNB_USDT_SWAP_15m.csv,c440b7aa47ebcf77e20eb794087c978a0eb19838817f971187738586f8c6947a,c440b7aa47ebcf77e20eb794087c978a0eb19838817f971187738586f8c6947a,/Users/zhangzc/fable-trading/yoyo/evaluation/altseason_trend_data.py,3d9e7c0d10662feab3af18ffba2bf891c4d657096fd68c62758dc7f4b15fafaa,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,106053,2022-12-23T06:45:00+00:00,2026-01-01T00:00:00+00:00,6628,2022-12-23T08:00:00+00:00,2026-01-01T00:00:00+00:00,5,0,0,5089,2023-09-06 00:00:00+00:00
BTC,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/manifest.json,4aef5c69d86ed87e71ae22fc7c56fd8dac37fe033cf1d1cc014f97af7490a49d,2026-01-01T00:00:00+00:00,/Users/zhangzc/fable-trading/yoyo/data/altcoin_history.py,95e993f40de6ee36dcf541399f2dade944b8e7aa0af85c1999ae924ed95e47ce,bf9aba98a974ea348d0504206bfd9d9166bf8392,/Users/zhangzc/fable-trading/data/altcoin_trends_20260909_v1/history_development/frozen_pool/BTC_USDT_SWAP_15m.csv,5d4992b615c549cf9143e203a7f962e843456bdc33f21c83fbbb69846c67d04d,5d4992b615c549cf9143e203a7f962e843456bdc33f21c83fbbb69846c67d04d,/Users/zhangzc/fable-trading/yoyo/evaluation/altseason_trend_data.py,3d9e7c0d10662feab3af18ffba2bf891c4d657096fd68c62758dc7f4b15fafaa,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,140005,2022-01-03T14:45:00+00:00,2026-01-01T00:00:00+00:00,8750,2022-01-03T16:00:00+00:00,2026-01-01T00:00:00+00:00,5,0,0,7213,2022-09-17 00:00:00+00:00
