timeframe,exit_rule,gate,month,closed,net_r,mean_r,net_bp
15m,price,h1_sma120,2024-09,134,-51.47848827322585,-0.3841678229345213,-52.682760404921815
15m,price,h1_sma120,2024-10,156,11.70706194589524,0.07504526888394385,-11.612901151021488
15m,price,h1_sma120,2024-11,199,113.8260313989808,0.5719901075325668,141.95042584268447
15m,price,h1_sma120,2024-12,49,-27.05120451983632,-0.5520653983640065,-168.05051354473667
15m,price,h1_sma120,2025-01,306,-41.34063376059091,-0.13510011032872846,-61.24436814974184
15m,price,h1_sma120,2025-02,154,-57.85314097168703,-0.37566974656939633,-111.61506945721148
15m,price,h1_sma120,2025-03,259,-30.66119367021422,-0.11838298714368425,-28.842809433851553
15m,price,h1_sma120,2025-04,284,66.99457798998337,0.23589640137318088,37.17599774068037
15m,price,h1_sma120,2025-05,307,-27.053159262334464,-0.08812103994245754,-5.136861060309767
15m,price,h1_sma120,2025-06,388,84.59450536074931,0.2180270756720343,25.660549117639928
15m,price,h1_sma120,2025-07,171,139.0302369355461,0.8130423212605035,118.94690329847272
15m,price,h1_sma120,2025-08,154,-3.9260037094244304,-0.02549353058067812,18.191668514912063
15m,price,h1_sma120,2025-09,262,3.9722039574145933,0.01516108380692593,51.35011131768744
15m,price,h1_sma120,2025-10,253,-97.35137171505365,-0.3847880304942832,-53.7866533902214
15m,price,h1_sma120,2025-11,252,-133.1087391302072,-0.528209282262727,-111.72105251017493
15m,price,h1_sma120,2025-12,211,-166.376601107524,-0.7885146971920569,-174.12673021981314
15m,price,h1_sma120,2026-01,155,-61.738883803937014,-0.3983153793802388,-81.97388922252196
15m,price,h1_sma120,2026-02,124,-72.60349225842839,-0.5855120343421645,-91.32884428887672
15m,price,h1_sma120,2026-03,464,-130.53409862758403,-0.28132348842151733,-53.08354357804075
15m,price,h1_sma120,2026-04,389,-82.53929179748482,-0.2121832694022746,1.3222639680769164
15m,price,h1_sma240,2024-09,140,-53.72743525067356,-0.3837673946476683,-52.60876936031066
15m,price,h1_sma240,2024-10,146,20.940355434264962,0.14342709201551343,14.923377427626981
15m,price,h1_sma240,2024-11,195,93.09713438317551,0.47742120196500265,112.3294860088689
