timeframe,exit_rule,gate,status,n
15m,price,h1_sma120,censored_boundary,1
15m,price,h1_sma120,closed,4671
15m,price,h1_sma120,rejected_btc_gate,2418
15m,price,h1_sma120,risk_invalid,1
15m,price,h1_sma120,skipped_in_position,4
15m,price,h1_sma240,closed,4160
15m,price,h1_sma240,rejected_btc_gate,2930
15m,price,h1_sma240,risk_invalid,1
15m,price,h1_sma240,skipped_in_position,4
15m,price,h1_sma60,censored_boundary,2
15m,price,h1_sma60,closed,5026
15m,price,h1_sma60,rejected_btc_gate,2060
15m,price,h1_sma60,risk_invalid,1
15m,price,h1_sma60,skipped_in_position,6
15m,price,none,censored_boundary,4
15m,price,none,closed,7082
15m,price,none,risk_invalid,1
15m,price,none,skipped_in_position,8
15m,price,same_sma120,censored_boundary,4
15m,price,same_sma120,closed,5292
15m,price,same_sma120,rejected_btc_gate,1793
15m,price,same_sma120,risk_invalid,1
15m,price,same_sma120,skipped_in_position,5
15m,price,same_sma240,censored_boundary,2
15m,price,same_sma240,closed,5185
15m,price,same_sma240,rejected_btc_gate,1901
15m,price,same_sma240,risk_invalid,1
15m,price,same_sma240,skipped_in_position,6
15m,price,same_sma60,censored_boundary,3
15m,price,same_sma60,closed,5376
15m,price,same_sma60,rejected_btc_gate,1710
15m,price,same_sma60,risk_invalid,1
15m,price,same_sma60,skipped_in_position,5
15m,rsi7,h1_sma120,closed,4672
15m,rsi7,h1_sma120,rejected_btc_gate,2418
15m,rsi7,h1_sma120,risk_invalid,1
15m,rsi7,h1_sma120,skipped_in_position,4
15m,rsi7,h1_sma240,closed,4160
15m,rsi7,h1_sma240,rejected_btc_gate,2930
15m,rsi7,h1_sma240,risk_invalid,1
15m,rsi7,h1_sma240,skipped_in_position,4
15m,rsi7,h1_sma60,censored_boundary,1
15m,rsi7,h1_sma60,closed,5027
15m,rsi7,h1_sma60,rejected_btc_gate,2060
15m,rsi7,h1_sma60,risk_invalid,1
15m,rsi7,h1_sma60,skipped_in_position,6
15m,rsi7,none,censored_boundary,3
15m,rsi7,none,closed,7083
15m,rsi7,none,risk_invalid,1
15m,rsi7,none,skipped_in_position,8
15m,rsi7,same_sma120,censored_boundary,3
15m,rsi7,same_sma120,closed,5293
15m,rsi7,same_sma120,rejected_btc_gate,1793
15m,rsi7,same_sma120,risk_invalid,1
15m,rsi7,same_sma120,skipped_in_position,5
15m,rsi7,same_sma240,censored_boundary,1
15m,rsi7,same_sma240,closed,5186
15m,rsi7,same_sma240,rejected_btc_gate,1901
15m,rsi7,same_sma240,risk_invalid,1
15m,rsi7,same_sma240,skipped_in_position,6
15m,rsi7,same_sma60,censored_boundary,2
15m,rsi7,same_sma60,closed,5377
15m,rsi7,same_sma60,rejected_btc_gate,1710
15m,rsi7,same_sma60,risk_invalid,1
15m,rsi7,same_sma60,skipped_in_position,5
1h,price,h1_sma120,closed,1839
1h,price,h1_sma120,rejected_btc_gate,365
1h,price,h1_sma120,skipped_in_position,2
1h,price,h1_sma240,censored_boundary,1
1h,price,h1_sma240,closed,1789
1h,price,h1_sma240,rejected_btc_gate,415
1h,price,h1_sma240,skipped_in_position,1
1h,price,h1_sma60,closed,1802
1h,price,h1_sma60,rejected_btc_gate,402
1h,price,h1_sma60,skipped_in_position,2
1h,price,none,censored_boundary,2
1h,price,none,closed,2199
1h,price,none,skipped_in_position,5
1h,price,same_sma120,closed,1839
1h,price,same_sma120,rejected_btc_gate,365
1h,price,same_sma120,skipped_in_position,2
1h,price,same_sma240,censored_boundary,1
1h,price,same_sma240,closed,1789
1h,price,same_sma240,rejected_btc_gate,415
1h,price,same_sma240,skipped_in_position,1
1h,price,same_sma60,closed,1802
1h,price,same_sma60,rejected_btc_gate,402
1h,price,same_sma60,skipped_in_position,2
1h,rsi7,h1_sma120,closed,1839
1h,rsi7,h1_sma120,rejected_btc_gate,365
1h,rsi7,h1_sma120,skipped_in_position,2
1h,rsi7,h1_sma240,censored_boundary,1
1h,rsi7,h1_sma240,closed,1789
1h,rsi7,h1_sma240,rejected_btc_gate,415
1h,rsi7,h1_sma240,skipped_in_position,1
1h,rsi7,h1_sma60,closed,1802
1h,rsi7,h1_sma60,rejected_btc_gate,402
1h,rsi7,h1_sma60,skipped_in_position,2
1h,rsi7,none,censored_boundary,2
1h,rsi7,none,closed,2199
1h,rsi7,none,skipped_in_position,5
1h,rsi7,same_sma120,closed,1839
1h,rsi7,same_sma120,rejected_btc_gate,365
1h,rsi7,same_sma120,skipped_in_position,2
1h,rsi7,same_sma240,censored_boundary,1
1h,rsi7,same_sma240,closed,1789
1h,rsi7,same_sma240,rejected_btc_gate,415
1h,rsi7,same_sma240,skipped_in_position,1
1h,rsi7,same_sma60,closed,1802
1h,rsi7,same_sma60,rejected_btc_gate,402
1h,rsi7,same_sma60,skipped_in_position,2
