timeframe,exit_rule,gate,period,baseline_n,filtered_n,retained,removed,added,removed_winners,removed_losers,avoided_loss_r,forgone_profit_r,added_r,net_delta_r,baseline_gt10r,retained_gt10r,lost_gt10r,added_gt10r
15m,price,same_sma60,full,7082,5376,5373,1709,3,555,1154,1156.4735388014308,1228.9060265973503,-1.3031497365113633,-73.73563753243073,46,35,11,0
15m,price,same_sma60,earlier,3765,2974,2972,793,2,313,480,487.7233708982503,709.2814379236784,-0.22704584040746612,-221.78511286583546,33,27,6,0
15m,price,same_sma60,later,3313,2401,2400,913,1,241,672,668.1928356734322,519.1983912961701,-1.0761038961038971,147.91834048115825,13,8,5,0
15m,price,same_sma120,full,7082,5292,5289,1793,3,592,1201,1204.6975307607506,1277.8413483050103,-1.3031497365113633,-74.44696728077116,46,34,12,0
15m,price,same_sma120,earlier,3765,2973,2971,794,2,295,499,501.2781849056868,587.7756109842915,-0.22704584040746612,-86.7244719190121,33,29,4,0
15m,price,same_sma120,later,3313,2318,2317,996,1,296,700,702.8620136253156,689.6395399432173,-1.0761038961038971,12.146369785994485,13,5,8,0
15m,price,same_sma240,full,7082,5185,5183,1899,2,586,1313,1330.1683625399314,1240.1970649419936,-2.2158941376210994,87.75540346031656,46,37,9,0
15m,price,same_sma240,earlier,3765,2940,2939,826,1,291,535,540.5802886537817,541.0891776166122,-1.1696774193548445,-1.6785663821854488,33,31,2,0
15m,price,same_sma240,later,3313,2244,2243,1070,1,294,776,789.0307416564015,698.6816899478797,-1.046216718266255,89.30283499025555,13,6,7,0
15m,price,h1_sma60,full,7082,5026,5024,2058,2,669,1389,1394.1648837096427,1349.8735017013248,-2.2158941376210994,42.07548787069698,46,37,9,0
15m,price,h1_sma60,earlier,3765,2828,2827,938,1,366,572,570.7436556211309,663.0013929141551,-1.1696774193548445,-93.42741471237902,33,31,2,0
15m,price,h1_sma60,later,3313,2197,2196,1117,1,302,815,822.8638958587637,686.4459114096679,-1.046216718266255,135.3717677308295,13,6,7,0
15m,price,h1_sma120,full,7082,4671,4668,2414,3,748,1666,1678.8176876401142,1566.1662664820483,-3.3282052487322114,109.32321590933347,46,33,13,0
15m,price,h1_sma120,earlier,3765,2703,2702,1063,1,389,674,664.2949858039522,746.8566890614826,-1.1696774193548445,-83.73138067688522,33,28,5,0
15m,price,h1_sma120,later,3313,1967,1965,1348,2,358,990,1013.9653696064138,818.8833800430641,-2.158527829377367,192.92346173397226,13,5,8,0
15m,price,h1_sma240,full,7082,4160,4158,2924,2,882,2042,2077.9285811433024,1746.3458431924096,-2.158527829377367,329.4242101215154,46,34,12,0
15m,price,h1_sma240,earlier,3765,2373,2373,1392,0,509,883,890.7719716472948,921.1579375129437,0.0,-30.385965865648956,33,29,4,0
15m,price,h1_sma240,later,3313,1783,1781,1532,2,373,1159,1187.1566094960076,825.1879056794658,-2.158527829377367,359.81017598716437,13,5,8,0
15m,rsi7,same_sma60,full,7083,5377,5374,1709,3,555,1154,1156.4735388014308,1240.5158379842887,-1.3031497365113633,-85.34544891936913,46,34,12,0
15m,rsi7,same_sma60,earlier,3765,2974,2972,793,2,313,480,487.7233708982503,709.2814379236784,-0.22704584040746612,-221.78511286583546,32,26,6,0
15m,rsi7,same_sma60,later,3314,2402,2401,913,1,241,672,668.1928356734322,530.8082026831086,-1.0761038961038971,136.30852909421984,14,8,6,0
15m,rsi7,same_sma120,full,7083,5293,5290,1793,3,592,1201,1204.6975307607506,1286.0129543520095,-1.3031497365113633,-82.61857332777012,46,34,12,0
15m,rsi7,same_sma120,earlier,3765,2973,2971,794,2,295,499,501.2781849056868,587.7756109842915,-0.22704584040746612,-86.7244719190121,32,28,4,0
15m,rsi7,same_sma120,later,3314,2319,2318,996,1,296,700,702.8620136253156,697.8111459902163,-1.0761038961038971,3.974763738995511,14,6,8,0
15m,rsi7,same_sma240,full,7083,5186,5184,1899,2,586,1313,1330.1683625399314,1241.3343198439545,-2.2158941376210994,86.61814855835578,46,37,9,0
15m,rsi7,same_sma240,earlier,3765,2940,2939,826,1,291,535,540.5802886537817,541.0891776166122,-1.1696774193548445,-1.6785663821854488,32,30,2,0
15m,rsi7,same_sma240,later,3314,2245,2244,1070,1,294,776,789.0307416564015,699.8189448498406,-1.046216718266255,88.16558008829475,14,7,7,0
15m,rsi7,h1_sma60,full,7083,5027,5025,2058,2,669,1389,1394.1648837096427,1343.9505592539667,-2.2158941376210994,47.998430318054844,46,38,8,0
15m,rsi7,h1_sma60,earlier,3765,2828,2827,938,1,366,572,570.7436556211309,655.9411955648363,-1.1696774193548445,-86.36721736306039,32,31,1,0
