timeframe,exit_rule,gate,period,metric,delta_mean,ci_low,ci_high,months,valid_reps,empty_baseline_months,empty_filtered_months,delta_sum,sum_ci_low,sum_ci_high,weeks,p,p_holm
15m,price,same_sma60,full,net_r,-0.04386377157308255,-0.10692055024064678,0.01290910062389509,20,2000,0,0,-73.7356375324307,-499.6147402662583,307.6582958611534,86,0.9029097090290971,1.0
15m,price,same_sma60,full,net_bp,-8.401459253587824,-24.062197350155586,6.047797943876532,20,2000,0,0,-17382.373089520785,-114700.42834633378,81792.32810730409,86,0.8275172482751725,1.0
15m,price,same_sma60,earlier,net_r,-0.0538176932224938,-0.14915345251378279,0.026754014123677793,13,2000,0,0,-221.78511286583552,-536.7728558126109,66.41788522325456,53,0.8381161883811619,1.0
15m,price,same_sma60,earlier,net_bp,-9.284674393204448,-30.931394125687632,8.275635421361667,13,2000,0,0,-36612.99476424053,-103888.77309401057,25650.948579742755,53,0.7593240675932407,1.0
15m,price,same_sma60,later,net_r,-0.04934412527352533,-0.11038005795086565,0.017809901841468707,8,2000,0,0,147.91834048115834,-10.989285076258895,351.05796314318945,34,0.9095090490950904,1.0
15m,price,same_sma60,later,net_bp,-10.105126332203909,-30.80265706062128,13.129002937299525,8,2000,0,0,19422.0511906007,-37657.63806158245,90463.19771911202,34,0.7743225677432257,1.0
15m,price,same_sma120,full,net_r,-0.04620243028657259,-0.11153063113926664,0.008869537867559582,20,2000,0,0,-74.4469672807711,-389.79968406589154,240.3419036523512,86,0.9143085691430857,1.0
15m,price,same_sma120,full,net_bp,-8.313562291426063,-23.162361773037347,5.2491074867540375,20,2000,0,0,-14843.47796193391,-96571.40104954624,71133.47843996248,86,0.8235176482351765,1.0
15m,price,same_sma120,earlier,net_r,-0.008380469763482182,-0.08690571595175246,0.04766802256265765,13,2000,0,0,-86.7244719190121,-302.7617358063223,114.94144985358663,53,0.5620437956204379,1.0
15m,price,same_sma120,earlier,net_bp,-1.5278569198228293,-21.46845637988143,12.46454487710894,13,2000,0,0,-13554.070215717467,-68332.99904799009,37827.67976034554,53,0.5447455254474552,1.0
15m,price,same_sma120,later,net_r,-0.12014295449596935,-0.2188031369881463,-0.037686295628748125,8,2000,0,0,12.14636978599458,-190.10194270527248,232.9477539422787,34,0.994000599940006,1.0
15m,price,same_sma120,later,net_bp,-21.03455856659417,-43.18729883569575,-2.401775811291101,8,2000,0,0,-1097.9782303354878,-57857.83424201566,61170.616751938884,34,0.9339066093390661,1.0
15m,price,same_sma240,full,net_r,-0.017833416886550768,-0.08499909046378094,0.040093504998216734,20,2000,0,0,87.75540346031676,-206.9222148116164,408.165175696951,86,0.6867313268673133,1.0
15m,price,same_sma240,full,net_bp,-0.16969761703595054,-14.682178528466393,13.107211197174754,20,2000,0,0,30014.61077136887,-44153.52369334562,110002.82382625186,86,0.5038496150384961,1.0
15m,price,same_sma240,earlier,net_r,0.021328625136508475,-0.046871345800122775,0.08135893125848657,13,2000,0,0,-1.6785663821854655,-219.20467044401911,235.4111175368385,53,0.30616938306169383,1.0
15m,price,same_sma240,earlier,net_bp,5.199916023366864,-13.14466479259358,21.399404313802762,13,2000,0,0,5900.511865902539,-48421.36469343726,62315.144251713864,53,0.30856914308569144,1.0
15m,price,same_sma240,later,net_r,-0.09935390922328896,-0.1964612763787734,-0.0268468539290239,8,2000,0,0,89.30283499025563,-80.01015048573998,296.65203592987666,34,0.9567043295670433,1.0
15m,price,same_sma240,later,net_bp,-11.987153510938953,-27.8898125450115,3.324148167799412,8,2000,0,0,24305.52842134732,-20354.70827765976,79002.38268255784,34,0.8334166583341666,1.0
15m,price,h1_sma60,full,net_r,-0.03049179092801871,-0.09833367177959641,0.03304596829862734,20,2000,0,0,42.07548787069709,-323.19126970169924,444.05251421512327,86,0.795920407959204,1.0
15m,price,h1_sma60,full,net_bp,-2.504784965546939,-16.576295334857097,12.173305475824616,20,2000,0,0,20894.91356478457,-70495.22267387078,114852.26402045443,86,0.6131386861313869,1.0
15m,price,h1_sma60,earlier,net_r,-0.007178916670547389,-0.08451888995661422,0.0599520407461653,13,2000,0,0,-93.42741471237906,-357.3112360576835,171.44451430074383,53,0.5543445655434457,1.0
15m,price,h1_sma60,earlier,net_bp,-3.31047413199809,-23.3191625011322,14.142683045587855,13,2000,0,0,-20023.651202260156,-80759.78434810397,41859.223450117286,53,0.6201379862013798,1.0
15m,price,h1_sma60,later,net_r,-0.08675915172547477,-0.18595716994208764,-0.0010674138056633667,8,2000,0,0,135.37176773082956,-62.56032126004273,385.4845052653286,34,0.9276072392760724,1.0
15m,price,h1_sma60,later,net_bp,-5.6194761356414205,-20.135746934298705,13.345426957581724,8,2000,0,0,41109.994282925705,-13623.035030364104,103722.63949982043,34,0.6845315468453155,1.0
15m,price,h1_sma120,full,net_r,-0.02563268280378478,-0.08129779361082647,0.01586078390001256,20,2000,0,0,109.32321590933361,-239.81179897839112,428.59424728414336,86,0.7612238776122388,1.0
15m,price,h1_sma120,full,net_bp,-5.8451333274853035,-17.278714226528557,2.9680380671613555,20,2000,0,0,11962.865843422289,-72907.82609420503,91404.48758227829,86,0.7527247275272473,1.0
15m,price,h1_sma120,earlier,net_r,-0.0003147173709712736,-0.05803854354229681,0.05044842051638054,13,2000,0,0,-83.73138067688524,-357.2133789900606,171.0900817003015,53,0.49175082491750827,1.0
15m,price,h1_sma120,earlier,net_bp,-6.073338235029749,-20.831966290264052,5.245074627506089,13,2000,0,0,-28500.172885466494,-95549.73903135049,30974.011538607596,53,0.7448255174482552,1.0
15m,price,h1_sma120,later,net_r,-0.10180007885732506,-0.2319458151716978,-0.03145956021016352,8,2000,0,0,192.9234617339722,76.05490757492376,310.1438536846555,34,0.9401059894010599,1.0
15m,price,h1_sma120,later,net_bp,-12.109013340130353,-36.407672555087295,0.6980668637586253,8,2000,0,0,40654.46824476973,2239.565746235336,80192.7077137837,34,0.8057194280571943,1.0
15m,price,h1_sma240,full,net_r,0.012457676950777513,-0.08593730978933906,0.09999032552226539,20,2000,0,0,329.4242101215155,-83.76518604914813,736.197924347276,86,0.40275972402759724,1.0
15m,price,h1_sma240,full,net_bp,2.980431676442123,-19.68585013521255,21.257880161231625,20,2000,0,0,59986.21216813533,-34884.23387475062,155884.60891513698,86,0.38786121387861217,1.0
15m,price,h1_sma240,earlier,net_r,0.03297455687775351,-0.11854230456578474,0.1571739471266063,13,2000,0,0,-30.385965865648984,-315.69209580157985,248.73716916102472,53,0.3027697230276972,1.0
15m,price,h1_sma240,earlier,net_bp,0.12490749263383272,-31.38621416187804,23.004477354484514,13,2000,0,0,-15542.43065327941,-78370.51609053483,49165.33274256578,53,0.5010498950104989,1.0
15m,price,h1_sma240,later,net_r,-0.048850316925895976,-0.19024681828353038,0.03482166731929701,8,2000,0,0,359.8101759871645,203.09957762208788,541.3451405095088,34,0.7449255074492551,1.0
15m,price,h1_sma240,later,net_bp,1.2575513354501382,-33.52090647515263,31.00087804980752,8,2000,0,0,75528.64282141472,27371.13317072871,125988.70562933726,34,0.4744525547445255,1.0
15m,rsi7,same_sma60,full,net_r,-0.04588898138449503,-0.10928454287637429,0.01138901995603789,20,2000,0,0,-85.34544891936912,-515.1494668934653,300.5679724841663,86,0.9135086491350864,1.0
15m,rsi7,same_sma60,full,net_bp,-9.58776164341951,-25.488080887787863,5.325406976882573,20,2000,0,0,-24544.013431279294,-123578.48980184578,76728.03526868869,86,0.8556144385561444,1.0
15m,rsi7,same_sma60,earlier,net_r,-0.05441921788551535,-0.14918288372248714,0.026481346484826345,13,2000,0,0,-221.78511286583557,-536.772855812611,66.41788522325456,53,0.8416158384161584,1.0
15m,rsi7,same_sma60,earlier,net_bp,-9.550605418524167,-31.317273586103195,7.812158783155163,13,2000,0,0,-36612.99476424054,-103888.77309401058,25650.948579742744,53,0.7678232176782321,1.0
15m,rsi7,same_sma60,later,net_r,-0.05283709693053301,-0.1168975477271309,0.01535779704707244,8,2000,0,0,136.30852909421992,-25.755534830711106,343.4055609747038,34,0.9198080191980802,1.0
15m,rsi7,same_sma60,later,net_bp,-12.279137566366352,-34.45818728595328,11.50281068074643,8,2000,0,0,12260.410848842177,-49689.11502270725,86323.21034270707,34,0.8069193080691931,1.0
15m,rsi7,same_sma120,full,net_r,-0.04760347031264879,-0.11306506319120209,0.008049276160537156,20,2000,0,0,-82.61857332777004,-399.6726376687999,227.91007657380555,86,0.9205079492050795,1.0
15m,rsi7,same_sma120,full,net_bp,-8.876094168916852,-23.462641583240224,4.694383729811932,20,2000,0,0,-18641.898055981073,-102722.27348559178,71133.47843996248,86,0.8374162583741626,1.0
15m,rsi7,same_sma120,earlier,net_r,-0.008982957472491712,-0.0873240023133877,0.04634918680505907,13,2000,0,0,-86.72447191901222,-302.7617358063223,114.94144985358658,53,0.5666433356664333,1.0
15m,rsi7,same_sma120,earlier,net_bp,-1.794213702925651,-21.63565999988771,12.189806682277215,13,2000,0,0,-13554.070215717478,-68332.9990479901,37827.67976034554,53,0.5546445355464453,1.0
15m,rsi7,same_sma120,later,net_r,-0.12212337025742226,-0.22131958270513108,-0.03884530643196323,8,2000,0,0,3.9747637389955344,-201.21212611747833,229.95497188761578,34,0.994000599940006,1.0
15m,rsi7,same_sma120,later,net_bp,-21.755653175273494,-45.02056475485262,-2.660641995567981,8,2000,0,0,-4896.398324382608,-65508.873424055346,61051.659603059925,34,0.9352064793520648,1.0
15m,rsi7,same_sma240,full,net_r,-0.017904242068340834,-0.08530204954931546,0.04024453641016467,20,2000,0,0,86.61814855835587,-209.20595146968458,408.16517569695134,86,0.688031196880312,1.0
15m,rsi7,same_sma240,full,net_bp,-0.03175917262146655,-14.383079435122525,12.966450660295648,20,2000,0,0,29868.588616283276,-44547.68527512813,109785.94045517607,86,0.49855014498550143,1.0
