timeframe,exit_rule,gate,period,closed,wins,win_rate,mean_net_r,sum_net_r,mean_gross_r,mean_net_bp,mean_gross_bp,pf_r,realized_dd_r,gt5r,gt10r,gt10r_rate,matched,match_coverage,paired_actual_r,random_r,excess_r,random_bp,excess_bp,random_p_r,random_p_bp,random_weeks,cross_split_closed,censored_total,random_p_r_holm,random_p_bp_holm
15m,price,none,full,7082,2081,0.29384354702061566,-0.09500351608702295,-672.8149009282965,0.02527067172360672,-16.285974125303248,3.7140258746967585,0.8704925329798605,1056.2023435148585,180,46,0.006495340299350466,7072,0.9985879695001412,-0.09400891549005305,-0.18337534311935855,0.0893664276293055,-32.232516826607586,16.10069596865834,0.11128887111288871,0.1623837616238376,86,4,4,,
15m,price,none,earlier,3765,1274,0.3383798140770252,0.0780420900406308,293.82846900297494,0.19741806897468767,11.37847423369217,31.378474233692184,1.1138601528056555,453.62608226057364,105,33,0.008764940239043825,3755,0.99734395750332,0.07683935964516003,-0.17178643772469895,0.248625797369859,-25.443359726708756,36.857030826830155,0.0240975902409759,0.08869113088691132,53,4,4,,
15m,price,none,later,3313,805,0.24298219136734078,-0.29209822945492614,-967.7214341841703,-0.17074178416929495,-47.89962666033145,-27.899626660331446,0.6297952155857949,996.8067160164544,75,13,0.00392393600965892,3304,0.99728342891639,-0.29083449229688174,-0.19976195099590965,-0.09107254130097216,-40.227991195101424,-7.462627178760682,0.9168083191680831,0.6791320867913209,34,4,4,,
15m,price,same_sma60,full,5376,1527,0.28404017857142855,-0.1388672876601055,-746.5505384607272,-0.01541633248466475,-24.687433378891072,-4.6874333788910665,0.8152539134440893,912.9447073428066,132,35,0.006510416666666667,5369,0.9986979166666666,-0.13894298295706003,-0.1370603632690583,-0.0018826196880017206,-15.462975042172028,-9.222935183389076,0.5046495350464953,0.6894310568943106,86,1,3,1.0,1.0
15m,price,same_sma60,earlier,2974,962,0.3234700739744452,0.024224396818137,72.04335613713944,0.14443761491195622,2.0937998404877236,22.093799840487733,1.0344037599560862,385.88628963883696,83,27,0.009078681909885675,2973,0.9996637525218561,0.024629308807436225,-0.09087127819918647,0.11550058700662268,-8.612660856485697,10.751353206015889,0.21237876212378762,0.35356464353564643,53,1,3,1.0,1.0
15m,price,same_sma60,later,2401,564,0.2349021241149521,-0.34144235472845147,-819.803093703012,-0.2139607607317,-58.00475299253536,-38.00475299253535,0.578918707024057,821.3746211002713,49,8,0.003331945022907122,2395,0.9975010412328197,-0.34255407502551505,-0.19418175122934508,-0.14837232379616994,-23.938634568853267,-34.19071562769761,0.9418058194180582,0.9642035796420358,34,1,3,1.0,1.0
15m,price,same_sma120,full,5292,1490,0.281557067271353,-0.14120594637359554,-747.2618682090676,-0.015930449727360685,-24.59953641672931,-4.599536416729302,0.8128444036089199,987.679550104483,129,34,0.006424792139077854,5286,0.9988662131519275,-0.14049649197811123,-0.19594376053192378,0.05544726855381258,-28.369351497739803,3.9095955617116562,0.2773722627737226,0.41175882411758824,86,1,4,1.0,1.0
15m,price,same_sma120,earlier,2973,980,0.32963336696939116,0.06966162027714862,207.10399708396284,0.19244098205259996,9.850617313869341,29.85061731386935,1.0995453044070451,421.15866264166186,90,29,0.009754456777665657,2973,1.0,0.06966162027714862,-0.1514366152071298,0.2210982354842784,-21.0114249450281,30.862042258897432,0.08199180081991801,0.16878312168783122,53,1,4,1.0,1.0
15m,price,same_sma120,later,2318,509,0.21958584987057808,-0.4122411839508955,-955.5750643981758,-0.2837424917733687,-68.93418522692562,-48.93418522692559,0.5002825270417979,958.6266265780434,39,5,0.0021570319240724763,2312,0.997411561691113,-0.41132251418053817,-0.2532667898406682,-0.15805572433986997,-37.844469792920066,-30.885186139833746,0.9804019598040196,0.973002699730027,34,1,4,1.0,1.0
15m,price,same_sma240,full,5185,1495,0.28833172613307617,-0.11283693297357372,-585.0594974679798,0.010923405633418879,-16.4556717423392,3.5443282576608106,0.8487135437236798,899.1925463531707,127,37,0.007135969141755062,5181,0.999228543876567,-0.11205441281068597,-0.145148255111701,0.03309384230101503,-21.494414490281585,5.224888569727458,0.3361663833616638,0.38266173382661733,86,1,2,1.0,1.0
